,whose,chandelier,grace,the,rotunda,at,the,v,&,a,'s,main,entrance,?
one,0.38778331875801086,0.2222554236650467,0.1581878364086151,0.5514441132545471,0.2543286979198456,0.32580816745758057,0.5514441132545471,0.1586812287569046,0.0723944678902626,0.4910551905632019,0.06913424283266068,0.3519288897514343,0.23449130356311798,0.2673267424106598
of,0.37058958411216736,0.2433081418275833,0.2101200968027115,0.733189046382904,0.24289514124393463,0.42558613419532776,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.3177044689655304,0.2534947693347931,0.1826142966747284
the,0.38253846764564514,0.26032161712646484,0.20940588414669037,1.0,0.2560749650001526,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.38631999492645264,0.31372344493865967,0.22068053483963013
most,0.34039464592933655,0.11025036871433258,0.1280871331691742,0.47635307908058167,0.09896320104598999,0.22451047599315643,0.47635307908058167,0.14128151535987854,0.10219087451696396,0.3508910834789276,0.024445664137601852,0.288818359375,0.13544581830501556,0.2107497900724411
spectacular,0.18224094808101654,0.28575024008750916,0.17548955976963043,0.3252345323562622,0.2426861822605133,0.2712683379650116,0.3252345323562622,0.023743171244859695,0.13771836459636688,0.27283763885498047,0.06448861211538315,0.1988622397184372,0.3007461428642273,0.14826124906539917
items,0.13225071132183075,0.21885214745998383,0.06127668172121048,0.23580949008464813,0.14476370811462402,0.16135454177856445,0.23580949008464813,0.07684866338968277,0.07111205160617828,0.2916238307952881,0.075004942715168,0.18747615814208984,0.2045276165008545,0.19807128608226776
in,0.23496666550636292,0.21877990663051605,0.16484299302101135,0.6662389636039734,0.2481614053249359,0.4374977946281433,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,-0.037580832839012146,0.28862449526786804,0.215397909283638,0.20430970191955566
the,0.38253846764564514,0.26032161712646484,0.20940588414669037,1.0,0.2560749650001526,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.38631999492645264,0.31372344493865967,0.22068053483963013
collection,0.14954999089241028,0.23192641139030457,0.15051352977752686,0.25281965732574463,0.25440382957458496,0.15476343035697937,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.003388406243175268,0.1734519600868225,0.1811702847480774,0.20069393515586853
is,0.26491984724998474,0.16569755971431732,0.17061445116996765,0.5823672413825989,0.1803763508796692,0.25906258821487427,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.02396530658006668,0.3009335994720459,0.23472779989242554,0.22961433231830597
the,0.38253846764564514,0.26032161712646484,0.20940588414669037,1.0,0.2560749650001526,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.38631999492645264,0.31372344493865967,0.22068053483963013
