,how,many,points,did,the,broncos,score,in,the,last,three,minutes,of,the,game,versus,pittsburgh,?
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.34736719727516174,1.0,0.25985947251319885,0.2042495757341385,0.6662389636039734,1.0,0.3698786795139313,0.43452659249305725,0.20313966274261475,0.733189046382904,1.0,0.285271555185318,0.2504773736000061,0.22728557884693146,0.22068053483963013
broncos,0.11217407882213593,0.1706678420305252,0.22998562455177307,0.1738176792860031,0.25985947251319885,1.0000001192092896,0.20637564361095428,0.20316283404827118,0.25985947251319885,0.14458541572093964,0.23654358088970184,0.17653882503509521,0.19310332834720612,0.25985947251319885,0.32325026392936707,0.20732958614826202,0.46763214468955994,0.18377114832401276
defeated,0.10988643020391464,0.14528289437294006,0.18367953598499298,0.23103484511375427,0.2833898365497589,0.3003196120262146,0.19660666584968567,0.24813973903656006,0.2833898365497589,0.24976396560668945,0.21715450286865234,0.16038508713245392,0.21236225962638855,0.2833898365497589,0.20683228969573975,0.33394095301628113,0.21287693083286285,0.1413237303495407
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.34736719727516174,1.0,0.25985947251319885,0.2042495757341385,0.6662389636039734,1.0,0.3698786795139313,0.43452659249305725,0.20313966274261475,0.733189046382904,1.0,0.285271555185318,0.2504773736000061,0.22728557884693146,0.22068053483963013
pittsburgh,0.1903776377439499,0.15012553334236145,0.27592745423316956,0.11489082127809525,0.22728557884693146,0.46763214468955994,0.1927148848772049,0.1921023428440094,0.22728557884693146,0.1479659378528595,0.19655567407608032,0.22326667606830597,0.15459969639778137,0.22728557884693146,0.23751099407672882,0.18066538870334625,0.9999999403953552,0.17622371017932892
steelers,0.124976746737957,0.16708071529865265,0.2903539836406708,0.1293059140443802,0.24458691477775574,0.6163044571876526,0.23879046738147736,0.16642944514751434,0.24458691477775574,0.16599640250205994,0.25599342584609985,0.20103470981121063,0.18995454907417297,0.24458691477775574,0.2665574252605438,0.2122851014137268,0.566253662109375,0.2030561864376068
in,0.2601168751716614,0.41474202275276184,0.1616203784942627,0.2593238651752472,0.6662389636039734,0.20316283404827118,0.13240541517734528,1.0,0.6662389636039734,0.30714505910873413,0.34828072786331177,0.18828919529914856,0.5696388483047485,0.6662389636039734,0.23986028134822845,0.22641630470752716,0.1921023428440094,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.34736719727516174,1.0,0.25985947251319885,0.2042495757341385,0.6662389636039734,1.0,0.3698786795139313,0.43452659249305725,0.20313966274261475,0.733189046382904,1.0,0.285271555185318,0.2504773736000061,0.22728557884693146,0.22068053483963013
divisional,0.1030944287776947,0.1702820211648941,0.1835746020078659,0.17902438342571259,0.29866886138916016,0.32206958532333374,0.2060089260339737,0.27742800116539,0.29866886138916016,0.13079768419265747,0.26496973633766174,0.11845880001783371,0.3047286868095398,0.29866886138916016,0.1927962601184845,0.1679675430059433,0.1418951451778412,0.08093056827783585
round,0.1945047229528427,0.16634181141853333,0.22859230637550354,0.11159620434045792,0.19933617115020752,0.2565499246120453,0.24258959293365479,0.17063008248806,0.19933617115020752,0.1604827493429184,0.16050855815410614,0.20646609365940094,0.15754494071006775,0.19933617115020752,0.24281927943229675,0.20238983631134033,0.22934922575950623,0.17003268003463745
",",0.22659391164779663,0.40610817074775696,0.2862778604030609,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.16025088727474213,0.5201468467712402,0.4933079481124878,0.29026782512664795,0.3347506821155548,0.24640324711799622,0.4946078956127167,0.4933079481124878,0.2653886377811432,0.25357702374458313,0.2340477555990219,0.31091248989105225
23–16,-0.09592662751674652,-0.10954055190086365,0.16380073130130768,0.004766777623444796,0.0726022943854332,0.4549325406551361,0.14195455610752106,0.15335093438625336,0.0726022943854332,0.08254870772361755,0.11244138330221176,0.1262262761592865,0.04004323109984398,0.0726022943854332,0.2442157119512558,0.13782662153244019,0.4510735869407654,-0.04613818600773811
",",0.22659391164779663,0.40610817074775696,0.2862778604030609,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.16025088727474213,0.5201468467712402,0.4933079481124878,0.29026782512664795,0.3347506821155548,0.24640324711799622,0.4946078956127167,0.4933079481124878,0.2653886377811432,0.25357702374458313,0.2340477555990219,0.31091248989105225
by,0.34370526671409607,0.3409687578678131,0.19753165543079376,0.18574509024620056,0.4408751428127289,0.11333504319190979,0.19075021147727966,0.370934396982193,0.4408751428127289,0.24441376328468323,0.28754812479019165,0.2242448478937149,0.3646814823150635,0.4408751428127289,0.21372540295124054,0.17843815684318542,0.1554010957479477,0.17966607213020325
scoring,0.18229861557483673,0.1311546415090561,0.4390694797039032,0.1931239515542984,0.2582377791404724,0.3381083905696869,0.5737931132316589,0.19487565755844116,0.2582377791404724,0.21847215294837952,0.2239995151758194,0.2826785445213318,0.2550256550312042,0.2582377791404724,0.3741050362586975,0.22837771475315094,0.27444788813591003,0.0971682071685791
11,0.04696422442793846,0.13612139225006104,-0.134869784116745,0.07614340633153915,-0.0219515822827816,-0.0632704421877861,-0.06529316306114197,0.03469983860850334,-0.0219515822827816,0.024372126907110214,-0.06089702248573303,-0.01315676886588335,-0.022359032183885574,-0.0219515822827816,0.03408600389957428,-0.10761923342943192,-0.03493862599134445,-0.04295448586344719
points,0.22446410357952118,0.17477619647979736,1.0000001192092896,0.2069225311279297,0.2560983896255493,0.22998562455177307,0.28972378373146057,0.1616203784942627,0.2560983896255493,0.18245244026184082,0.2536293864250183,0.3473181426525116,0.20397144556045532,0.2560983896255493,0.3296988606452942,0.21066641807556152,0.27592745423316956,0.11006313562393188
in,0.2601168751716614,0.41474202275276184,0.1616203784942627,0.2593238651752472,0.6662389636039734,0.20316283404827118,0.13240541517734528,1.0,0.6662389636039734,0.30714505910873413,0.34828072786331177,0.18828919529914856,0.5696388483047485,0.6662389636039734,0.23986028134822845,0.22641630470752716,0.1921023428440094,0.20430970191955566
