,where,did,john,paul,ii,celebrate,mass,in,warsaw,?
in,0.5344807505607605,0.2593238651752472,0.22177861630916595,0.21331322193145752,0.21453368663787842,0.3029673099517822,0.1766357719898224,1.0,0.22642600536346436,0.20430970191955566
1979,0.21443982422351837,0.12377073615789413,0.06071684882044792,0.06355631351470947,0.13414698839187622,0.11708445101976395,0.07478228956460953,0.26264503598213196,0.006223110947757959,0.09159877151250839
",",0.3149496018886566,0.3015086054801941,0.23961079120635986,0.3070785701274872,0.27159881591796875,0.24608969688415527,0.2439754158258438,0.5201468467712402,0.25300899147987366,0.31091248989105225
less,0.25396642088890076,0.1984580159187317,0.14274749159812927,0.06526726484298706,0.11726357042789459,0.13454201817512512,0.25363579392433167,0.2661931812763214,0.09726187586784363,0.22418740391731262
than,0.2726525366306305,0.24820660054683685,0.13582810759544373,0.06293943524360657,0.10635167360305786,0.16400980949401855,0.2647872567176819,0.3270052373409271,0.0949111357331276,0.24917294085025787
a,0.40997210144996643,0.2552328109741211,0.20638683438301086,0.13667120039463043,0.2111874669790268,0.16881437599658966,0.21558082103729248,0.539380669593811,0.19591784477233887,0.23916715383529663
year,0.20427323877811432,0.21422851085662842,0.13745838403701782,0.16412168741226196,0.18872052431106567,0.3570003807544708,0.173365980386734,0.3359307050704956,0.15561209619045258,0.18315006792545319
after,0.31753596663475037,0.30330467224121094,0.22597751021385193,0.16661687195301056,0.20194965600967407,0.2568036913871765,0.09251433610916138,0.44050168991088867,0.20840071141719818,0.16608688235282898
becoming,0.19204576313495636,0.26583778858184814,0.17603106796741486,0.0584254115819931,0.18487820029258728,0.16390660405158997,0.12301373481750488,0.2425609976053238,0.19796085357666016,0.17354105412960052
pope,0.2051200419664383,0.17841137945652008,0.3403037488460541,0.38006865978240967,0.32252994179725647,0.27137279510498047,0.18126171827316284,0.19509877264499664,0.2113400548696518,0.25004681944847107
",",0.3149496018886566,0.3015086054801941,0.23961079120635986,0.3070785701274872,0.27159881591796875,0.24608969688415527,0.2439754158258438,0.5201468467712402,0.25300899147987366,0.31091248989105225
john,0.12403866648674011,0.18785913288593292,1.0000001192092896,0.40013134479522705,0.22211971879005432,0.10797839611768723,0.133133664727211,0.22177861630916595,0.2175639122724533,0.13162356615066528
paul,0.16152898967266083,0.16905230283737183,0.40013134479522705,1.0000001192092896,0.21350431442260742,0.09975172579288483,0.12409587949514389,0.21331322193145752,0.1713392585515976,0.16611461341381073
celebrated,0.1820574253797531,0.1900625377893448,0.10414213687181473,0.11606862396001816,0.17147377133369446,0.9049069881439209,0.19417579472064972,0.2994932532310486,0.11960991472005844,0.19592389464378357
mass,0.18837785720825195,0.1598033756017685,0.133133664727211,0.12409587949514389,0.11167902499437332,0.23455464839935303,1.0000001192092896,0.1766357719898224,0.1809118539094925,0.2076406031847
in,0.5344807505607605,0.2593238651752472,0.22177861630916595,0.21331322193145752,0.21453368663787842,0.3029673099517822,0.1766357719898224,1.0,0.22642600536346436,0.20430970191955566
victory,0.15321113169193268,0.18024887144565582,0.2299397885799408,0.16375505924224854,0.235833540558815,0.29809439182281494,0.11237995326519012,0.21562302112579346,0.20769356191158295,0.15412560105323792
square,0.23094722628593445,0.06816432625055313,0.13411296904087067,0.134406179189682,0.13265113532543182,0.1927187442779541,0.2745358645915985,0.2193731665611267,0.21351832151412964,0.1201515942811966
in,0.5344807505607605,0.2593238651752472,0.22177861630916595,0.21331322193145752,0.21453368663787842,0.3029673099517822,0.1766357719898224,1.0,0.22642600536346436,0.20430970191955566
