,what,language,other,than,english,has,the,scottish,parliament,had,meetings,in,?
the,0.42745697498321533,0.30198320746421814,0.44152235984802246,0.3227543234825134,0.23982001841068268,0.4177538752555847,1.0,0.21724988520145416,0.26521381735801697,0.3875846862792969,0.31532901525497437,0.6662389636039734,0.22068053483963013
scottish,0.13777151703834534,0.1482136994600296,0.10248319059610367,0.146635040640831,0.4443587064743042,0.09595897048711777,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.15331269800662994,0.19861873984336853,0.16512006521224976,0.06442669779062271
parliament,0.21650300920009613,0.2092086672782898,0.14233070611953735,0.11233259737491608,0.28013014793395996,0.1700625866651535,0.26521381735801697,0.3418616056442261,1.0,0.17816437780857086,0.40083083510398865,0.2323146015405655,0.1586504578590393
has,0.20338068902492523,0.1895800083875656,0.3162766396999359,0.32792407274246216,0.18010249733924866,1.0,0.4177538752555847,0.09595897048711777,0.1700625866651535,0.5787927508354187,0.20037062466144562,0.4173259735107422,0.15994466841220856
conducted,0.13546347618103027,0.1389804631471634,0.14280126988887787,0.14738312363624573,0.16566331684589386,0.13654540479183197,0.25795331597328186,0.15592694282531738,0.1511853188276291,0.2817268967628479,0.27675071358680725,0.31342044472694397,0.1105341762304306
debates,0.2959657907485962,0.18337756395339966,0.2533341646194458,0.21673992276191711,0.26323479413986206,0.24698719382286072,0.2661968469619751,0.24117453396320343,0.3488329350948334,0.1975107192993164,0.4905434846878052,0.23210375010967255,0.23877738416194916
in,0.30808621644973755,0.23268210887908936,0.39989137649536133,0.3270052373409271,0.19623121619224548,0.4173259735107422,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.385026752948761,0.24394764006137848,1.0,0.20430970191955566
the,0.42745697498321533,0.30198320746421814,0.44152235984802246,0.3227543234825134,0.23982001841068268,0.4177538752555847,1.0,0.21724988520145416,0.26521381735801697,0.3875846862792969,0.31532901525497437,0.6662389636039734,0.22068053483963013
gaelic,0.1209539994597435,0.32679715752601624,0.1630477011203766,0.11366337537765503,0.3644055724143982,0.1928345412015915,0.2461979240179062,0.5314286351203918,0.28329765796661377,0.16515961289405823,0.2340107262134552,0.2042301446199417,0.09839983284473419
language,0.28220435976982117,0.9999998807907104,0.2782444357872009,0.21318092942237854,0.4612087905406952,0.1895800083875656,0.30198320746421814,0.1482136994600296,0.2092086672782898,0.13676787912845612,0.18353579938411713,0.23268210887908936,0.25349316000938416
.,0.3567904531955719,0.2506868243217468,0.41511186957359314,0.3594527542591095,0.2881386876106262,0.4105546176433563,0.5934505462646484,0.20125295221805573,0.23747818171977997,0.37348684668540955,0.2372949719429016,0.5591574311256409,0.4130953550338745
,what,language,other,than,english,has,the,scottish,parliament,had,meetings,in,?
speeches,0.20405738055706024,0.2141394466161728,0.21397635340690613,0.15083305537700653,0.21804583072662354,0.15416377782821655,0.25798672437667847,0.14506162703037262,0.4113357961177826,0.23351508378982544,0.4847075045108795,0.22079135477542877,0.16433930397033691
