,how,many,study,contracts,were,awarded,on,october,25th,?
on,0.32655060291290283,0.32520127296447754,0.1889076977968216,0.21550267934799194,0.2774328887462616,0.1811772733926773,0.9999999403953552,0.3742676079273224,0.20006924867630005,0.2714994251728058
august,0.13369344174861908,0.14742273092269897,0.0953260138630867,0.07842409610748291,0.20438668131828308,0.20389974117279053,0.3564905822277069,0.8562352657318115,0.17176413536071777,0.3006744682788849
30,-0.0035910264123231173,0.09108389914035797,0.03252336010336876,-0.004795385524630547,0.10440058261156082,-0.0181726086884737,0.0936402678489685,0.07586808502674103,-0.02852078340947628,-0.08261742442846298
",",0.22659391164779663,0.40610817074775696,0.26425549387931824,0.20246046781539917,0.36755475401878357,0.2723027765750885,0.49057599902153015,0.4369233250617981,0.20907558500766754,0.31091248989105225
a,0.29312583804130554,0.2872205972671509,0.2268155962228775,0.21033822000026703,0.17203083634376526,0.21683081984519958,0.3848365545272827,0.2402924746274948,0.22260376811027527,0.23916715383529663
feasibility,0.3485289216041565,0.2945854961872101,0.33358293771743774,0.2803927958011627,0.18218688666820526,0.16141930222511292,0.24277523159980774,0.14385323226451874,0.18508939445018768,0.3188058137893677
study,0.2640102803707123,0.30255988240242004,1.0,0.24123872816562653,0.20556800067424774,0.12838342785835266,0.1889076977968216,0.09407491236925125,0.14150795340538025,0.15902167558670044
competition,0.2081141322851181,0.27233198285102844,0.22674886882305145,0.2423895001411438,0.1907191425561905,0.2934863567352295,0.20382913947105408,0.1557779163122177,0.1491360366344452,0.1394461691379547
was,0.16678167879581451,0.260356068611145,0.18420368432998657,0.19110457599163055,0.590133786201477,0.30614012479782104,0.3909217119216919,0.4627581834793091,0.2874145805835724,0.18412111699581146
announced,0.0913727879524231,0.10106436163187027,0.07347095012664795,0.24977561831474304,0.13495038449764252,0.3194023668766022,0.303989976644516,0.28522810339927673,0.19626377522945404,0.17416009306907654
",",0.22659391164779663,0.40610817074775696,0.26425549387931824,0.20246046781539917,0.36755475401878357,0.2723027765750885,0.49057599902153015,0.4369233250617981,0.20907558500766754,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.300253301858902,0.20802323520183563,0.42175528407096863,0.20351465046405792,0.4077630043029785,0.2883152663707733,0.29275739192962646,0.20544172823429108
on,0.32655060291290283,0.32520127296447754,0.1889076977968216,0.21550267934799194,0.2774328887462616,0.1811772733926773,0.9999999403953552,0.3742676079273224,0.20006924867630005,0.2714994251728058
october,0.11188025027513504,0.13967232406139374,0.09407491236925125,0.07597796618938446,0.1925499588251114,0.22062188386917114,0.3742676079273224,1.0,0.17942261695861816,0.29706719517707825
25,0.07429084926843643,0.11531345546245575,0.032921262085437775,0.06807209551334381,0.2546047866344452,0.2256704717874527,0.17010806500911713,0.1413683295249939,0.15867987275123596,0.09614268690347672
",",0.22659391164779663,0.40610817074775696,0.26425549387931824,0.20246046781539917,0.36755475401878357,0.2723027765750885,0.49057599902153015,0.4369233250617981,0.20907558500766754,0.31091248989105225
three,0.23807744681835175,0.4501400589942932,0.16613592207431793,0.158998504281044,0.38429051637649536,0.23172584176063538,0.2742598354816437,0.11185090988874435,0.16984324157238007,0.20928427577018738
study,0.2640102803707123,0.30255988240242004,1.0,0.24123872816562653,0.20556800067424774,0.12838342785835266,0.1889076977968216,0.09407491236925125,0.14150795340538025,0.15902167558670044
contracts,0.25725269317626953,0.21689729392528534,0.24123872816562653,1.0,0.170479878783226,0.22544661164283752,0.21550267934799194,0.07597796618938446,0.1030215248465538,0.09254205226898193
were,0.2082374095916748,0.4804460406303406,0.20556800067424774,0.170479878783226,1.0000001192092896,0.1946011483669281,0.2774328887462616,0.1925499588251114,0.12846854329109192,0.17890112102031708
awarded,0.09981115907430649,0.14274966716766357,0.12838342785835266,0.22544661164283752,0.1946011483669281,1.0,0.1811772733926773,0.22062188386917114,0.1719246506690979,0.1431703418493271
to,0.44169697165489197,0.40243685245513916,0.3326032757759094,0.30408602952957153,0.31913647055625916,0.17180772125720978,0.41031414270401,0.23106063902378082,0.1910732090473175,0.29463258385658264
general,0.19638104736804962,0.21976788341999054,0.1688927263021469,0.08453761041164398,0.16518442332744598,0.1493220031261444,0.18019753694534302,0.24260787665843964,0.10062457621097565,0.1972234547138214
dynamics/convair,0.2576860189437866,0.21474508941173553,0.356059193611145,0.2570517361164093,0.15795482695102692,0.2578108608722687,0.27066999673843384,0.2548668086528778,0.2185896635055542,0.35556355118751526
",",0.22659391164779663,0.40610817074775696,0.26425549387931824,0.20246046781539917,0.36755475401878357,0.2723027765750885,0.49057599902153015,0.4369233250617981,0.20907558500766754,0.31091248989105225
general,0.19638104736804962,0.21976788341999054,0.1688927263021469,0.08453761041164398,0.16518442332744598,0.1493220031261444,0.18019753694534302,0.24260787665843964,0.10062457621097565,0.1972234547138214
electric,0.22688037157058716,0.16117258369922638,0.08836278319358826,0.18482321500778198,0.18160271644592285,0.09932506829500198,0.2127806544303894,0.0758189857006073,0.17458359897136688,0.15674720704555511
",",0.22659391164779663,0.40610817074775696,0.26425549387931824,0.20246046781539917,0.36755475401878357,0.2723027765750885,0.49057599902153015,0.4369233250617981,0.20907558500766754,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.300253301858902,0.20802323520183563,0.42175528407096863,0.20351465046405792,0.4077630043029785,0.2883152663707733,0.29275739192962646,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.2533665597438812,0.246573343873024,0.3906462490558624,0.24971646070480347,0.5107308030128479,0.2621108889579773,0.297206848859787,0.22068053483963013
glenn,0.1407790333032608,0.10385835915803909,0.12791815400123596,0.14864270389080048,0.0944938138127327,0.2637169361114502,0.20436754822731018,0.2376379519701004,0.2529959976673126,0.10261409729719162
l.,-0.020134668797254562,-0.12138671427965164,-0.06528282165527344,-0.040748801082372665,-0.021123556420207024,-0.007888047955930233,0.127570241689682,0.04843907058238983,0.02971559762954712,0.05018472298979759
martin,0.08468687534332275,0.19689232110977173,0.07505775988101959,0.0822158232331276,0.15994206070899963,0.176742821931839,0.212642639875412,0.1869964599609375,0.13425354659557343,0.060103293508291245
company,0.15308363735675812,0.196149542927742,0.09536562114953995,0.2884080111980438,0.1783226877450943,0.12811017036437988,0.23664942383766174,0.15997104346752167,0.14675943553447723,0.12195809185504913
.,0.3287222981452942,0.3974229395389557,0.23432257771492004,0.16093319654464722,0.3378238379955292,0.25280869007110596,0.49257001280784607,0.36217865347862244,0.2555965185165405,0.4130953550338745
