,how,many,public,charter,schools,does,the,university,run,?
it,0.36714982986450195,0.39615920186042786,0.2047269344329834,0.21258969604969025,0.25572529435157776,0.34188351035118103,0.6251175999641418,0.20301668345928192,0.28241392970085144,0.25732165575027466
operates,0.16758139431476593,0.16700030863285065,0.29818838834762573,0.32386070489883423,0.2512872815132141,0.25847193598747253,0.2663705050945282,0.18956801295280457,0.36285755038261414,0.12270797789096832
the,0.33890387415885925,0.4335206151008606,0.22857438027858734,0.26436546444892883,0.22905772924423218,0.35928019881248474,1.0,0.263973206281662,0.27883726358413696,0.22068053483963013
university,0.12992997467517853,0.19385361671447754,0.35987716913223267,0.31848394870758057,0.4070035517215729,0.09909145534038544,0.263973206281662,1.0,0.1579725593328476,0.11887256056070328
of,0.2480744868516922,0.37253960967063904,0.2391265481710434,0.2438247799873352,0.265506386756897,0.3119818866252899,0.733189046382904,0.30646374821662903,0.2272813767194748,0.1826142966747284
chicago,0.2247859537601471,0.1944255828857422,0.248158261179924,0.14078429341316223,0.21805064380168915,0.17240707576274872,0.27360326051712036,0.29005804657936096,0.16510172188282013,0.16446958482265472
laboratory,0.1753118336200714,0.13267220556735992,0.2449406534433365,0.17721904814243317,0.19648495316505432,0.0983743742108345,0.19762322306632996,0.3646054267883301,0.09070311486721039,0.07445509731769562
schools,0.12874440848827362,0.3108086585998535,0.4260808527469635,0.3317524790763855,1.0,0.19430282711982727,0.22905772924423218,0.4070035517215729,0.20951882004737854,0.18349280953407288
(,0.1676948219537735,0.1455259770154953,0.1609111875295639,0.1613139510154724,0.15322564542293549,0.2728188931941986,0.33289089798927307,0.20313534140586853,0.1844223588705063,0.40561532974243164
a,0.29312583804130554,0.2872205972671509,0.19607044756412506,0.20456433296203613,0.2118925303220749,0.38201746344566345,0.5829201340675354,0.20256656408309937,0.2607046067714691,0.23916715383529663
private,0.08935344964265823,0.2148355096578598,0.5126727223396301,0.25982996821403503,0.4158569872379303,0.1316513568162918,0.18291357159614563,0.33786600828170776,0.14252924919128418,0.14389030635356903
day,0.20268619060516357,0.1936323195695877,0.1604219377040863,0.18499836325645447,0.13669390976428986,0.12629863619804382,0.3062323033809662,0.17589150369167328,0.20886877179145813,0.2141837179660797
school,0.11585085093975067,0.20931920409202576,0.3342896103858948,0.30727583169937134,0.7602541446685791,0.1536676436662674,0.22953221201896667,0.48676231503486633,0.14213740825653076,0.15091250836849213
for,0.3308170735836029,0.40972793102264404,0.3092794418334961,0.2007191777229309,0.2320515662431717,0.35159170627593994,0.4739971458911896,0.18573740124702454,0.27206581830978394,0.264628142118454
k-12,0.2545514702796936,0.2204166054725647,0.165018230676651,0.2104935348033905,0.19639074802398682,0.36293137073516846,0.40333887934684753,0.17231003940105438,0.16334694623947144,0.31244829297065735
students,0.25370386242866516,0.2713872492313385,0.3258378803730011,0.2828293740749359,0.6169943809509277,0.18956486880779266,0.25268980860710144,0.4958297908306122,0.17367467284202576,0.18017297983169556
and,0.33647966384887695,0.5296266674995422,0.3227643668651581,0.21405354142189026,0.29319998621940613,0.3461615741252899,0.5171257257461548,0.2665814459323883,0.2711782455444336,0.20544172823429108
day,0.20268619060516357,0.1936323195695877,0.1604219377040863,0.18499836325645447,0.13669390976428986,0.12629863619804382,0.3062323033809662,0.17589150369167328,0.20886877179145813,0.2141837179660797
care,0.3198530375957489,0.22981224954128265,0.23868843913078308,0.1498291939496994,0.22736674547195435,0.2256620228290558,0.1663842648267746,0.19394034147262573,0.20453958213329315,0.24279968440532684
),0.17939934134483337,0.16602720320224762,0.15635275840759277,0.15187720954418182,0.16219249367713928,0.2575884759426117,0.3456730246543884,0.20796938240528107,0.1813306212425232,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.2588968276977539,0.25566044449806213,0.2760516405105591,0.28617382049560547,0.4933079481124878,0.3017033040523529,0.2309936285018921,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.22857438027858734,0.26436546444892883,0.22905772924423218,0.35928019881248474,1.0,0.263973206281662,0.27883726358413696,0.22068053483963013
sonia,0.09614992141723633,0.1092040166258812,0.15860196948051453,0.09553182125091553,0.0910264179110527,0.1195923238992691,0.1256113201379776,0.171987384557724,0.1624099761247635,0.3330424427986145
