,classifying,the,stages,of,what,is,important,to,mapping,aspects,of,the,amazon,?
to,0.24402032792568207,0.535392165184021,0.1880870908498764,0.41548454761505127,0.455847829580307,0.42745086550712585,0.30913278460502625,1.0,0.24043463170528412,0.23851177096366882,0.41548454761505127,0.535392165184021,0.17033490538597107,0.29463258385658264
accurately,0.32331734895706177,0.2295762449502945,0.13512274622917175,0.15633516013622284,0.3832217752933502,0.21816204488277435,0.1622212529182434,0.3627360463142395,0.3129148781299591,0.3053287863731384,0.15633516013622284,0.2295762449502945,0.16885307431221008,0.22476822137832642
map,0.17298288643360138,0.2702621817588806,0.16100896894931793,0.22708505392074585,0.23936687409877777,0.2186950147151947,0.10649530589580536,0.19639305770397186,0.4845886826515198,0.14292502403259277,0.22708505392074585,0.2702621817588806,0.1497560441493988,0.1548176109790802
the,0.2822643518447876,1.0,0.29316213726997375,0.733189046382904,0.42745697498321533,0.5823672413825989,0.39348116517066956,0.535392165184021,0.2108994424343109,0.2620294690132141,0.733189046382904,1.0,0.260541707277298,0.22068053483963013
amazon,0.20506657660007477,0.260541707277298,0.14003661274909973,0.20143137872219086,0.16355936229228973,0.15197539329528809,0.15584325790405273,0.17033490538597107,0.2458280771970749,0.19577446579933167,0.20143137872219086,0.260541707277298,1.0000001192092896,0.18144656717777252
's,0.0016942102229222655,-0.01540423184633255,0.0494191013276577,-0.03817026689648628,0.02692362666130066,0.02396530658006668,-0.0359678789973259,0.03782717138528824,0.0030150797683745623,0.04867896810173988,-0.03817026689648628,-0.01540423184633255,0.062328040599823,-0.023395681753754616
biomass,0.3242412805557251,0.2455909252166748,0.20884814858436584,0.2884552776813507,0.22379423677921295,0.30122971534729004,0.21915678679943085,0.2237234115600586,0.2879873216152191,0.23612183332443237,0.2884552776813507,0.2455909252166748,0.3017635941505432,0.17773602902889252
and,0.24974320828914642,0.5171257257461548,0.207217738032341,0.5116966962814331,0.31309178471565247,0.3859752118587494,0.37549954652786255,0.48971283435821533,0.28013426065444946,0.2787165641784668,0.5116966962814331,0.5171257257461548,0.23464977741241455,0.20544172823429108
subsequent,0.17520365118980408,0.2562725245952606,0.1318095326423645,0.1740972250699997,0.20167095959186554,0.1758444607257843,0.1695503294467926,0.2506476640701294,0.16744409501552582,0.20418670773506165,0.1740972250699997,0.2562725245952606,0.13023293018341064,0.13111010193824768
carbon,0.2177935391664505,0.23183570802211761,0.2007628083229065,0.22596238553524017,0.22238978743553162,0.2770232558250427,0.22184045612812042,0.2865152955055237,0.2410161942243576,0.20660139620304108,0.22596238553524017,0.23183570802211761,0.1535501331090927,0.19040444493293762
related,0.34130969643592834,0.26962998509407043,0.15667708218097687,0.2691357135772705,0.258600115776062,0.20549555122852325,0.2555885314941406,0.2702969014644623,0.2271636426448822,0.3134579658508301,0.2691357135772705,0.26962998509407043,0.09120462089776993,0.17689068615436554
emissions,0.30022427439689636,0.24195483326911926,0.332845002412796,0.240469291806221,0.2559395730495453,0.23486566543579102,0.22071117162704468,0.28014418482780457,0.30537956953048706,0.3107542097568512,0.240469291806221,0.24195483326911926,0.1476656198501587,0.19590985774993896
",",0.24655549228191376,0.4933079481124878,0.24272145330905914,0.4946078956127167,0.3087472915649414,0.4691906273365021,0.3452564477920532,0.44245919585227966,0.20652662217617035,0.19650225341320038,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.31091248989105225
