,who,represents,the,scottish,parliament,at,home,and,abroad,in,an,official,capacity,?
amongst,0.2664080262184143,0.13499310612678528,0.30752041935920715,0.1945701241493225,0.16986475884914398,0.18706738948822021,0.13235647976398468,0.36246761679649353,0.23363535106182098,0.30727991461753845,0.07086097449064255,0.0677151009440422,0.09432044625282288,0.16806721687316895
the,0.3733934462070465,0.3328246772289276,1.0,0.21724988520145416,0.26521381735801697,0.457212895154953,0.28978195786476135,0.5171257257461548,0.23752523958683014,0.6662389636039734,0.4207492768764496,0.3133983910083771,0.1849547177553177,0.22068053483963013
duties,0.27397745847702026,0.14081382751464844,0.21765777468681335,0.18312442302703857,0.2642070949077606,0.1586799919605255,0.18512019515037537,0.2645578980445862,0.27917996048927307,0.18334469199180603,0.1821105182170868,0.18318502604961395,0.26419878005981445,0.1655227392911911
of,0.2827862501144409,0.3967677056789398,0.733189046382904,0.1698460429906845,0.2885259687900543,0.42558613419532776,0.24402645230293274,0.5116966962814331,0.18731701374053955,0.5696388483047485,0.32280945777893066,0.2864961326122284,0.21035969257354736,0.1826142966747284
the,0.3733934462070465,0.3328246772289276,1.0,0.21724988520145416,0.26521381735801697,0.457212895154953,0.28978195786476135,0.5171257257461548,0.23752523958683014,0.6662389636039734,0.4207492768764496,0.3133983910083771,0.1849547177553177,0.22068053483963013
bureau,0.18711698055267334,0.19309042394161224,0.26302388310432434,0.13587695360183716,0.21398843824863434,0.18818534910678864,0.15009891986846924,0.20569582283496857,0.17907926440238953,0.23286110162734985,0.17558978497982025,0.2855072319507599,0.2022768259048462,0.12716132402420044
are,0.27294138073921204,0.29424771666526794,0.40399202704429626,0.15686963498592377,0.09480422735214233,0.2074895054101944,0.17890439927577972,0.48576638102531433,0.20621472597122192,0.3841303884983063,0.1556541919708252,0.12171322852373123,0.1653287708759308,0.24591213464736938
to,0.42656609416007996,0.19242586195468903,0.535392165184021,0.1268421709537506,0.20290622115135193,0.36524343490600586,0.31056779623031616,0.48971283435821533,0.2938608229160309,0.45010748505592346,0.3138085603713989,0.18259026110172272,0.24764131009578705,0.29463258385658264
agree,0.3242025673389435,0.2244863361120224,0.23006735742092133,0.23322038352489471,0.23028109967708588,0.18415243923664093,0.09015517681837082,0.24357949197292328,0.14524833858013153,0.15189619362354279,0.15521140396595,0.09726310521364212,0.14282892644405365,0.33165234327316284
the,0.3733934462070465,0.3328246772289276,1.0,0.21724988520145416,0.26521381735801697,0.457212895154953,0.28978195786476135,0.5171257257461548,0.23752523958683014,0.6662389636039734,0.4207492768764496,0.3133983910083771,0.1849547177553177,0.22068053483963013
