,what,age,does,basic,education,start,?
basic,0.3564627468585968,0.12860195338726044,0.30405670404434204,1.0000001192092896,0.2635203003883362,0.225746288895607,0.26534420251846313
formal,0.26485171914100647,0.1934259682893753,0.22615361213684082,0.27094075083732605,0.28848952054977417,0.22491899132728577,0.1989586055278778
education,0.19940856099128723,0.2708311676979065,0.1943693906068802,0.2635203003883362,1.0,0.1569468080997467,0.18067774176597595
starts,0.24892903864383698,0.2307562530040741,0.3166840374469757,0.09854335337877274,0.09740208089351654,0.5974012613296509,0.17788195610046387
at,0.2838611304759979,0.32409605383872986,0.17465277016162872,0.19943657517433167,0.22585788369178772,0.3116826117038727,0.21978627145290375
age,0.1895245760679245,0.9999998807907104,0.10208502411842346,0.12860195338726044,0.2708311676979065,0.2771690785884857,0.16859300434589386
six,0.1779850870370865,0.2547744810581207,0.13226458430290222,0.22605057060718536,0.14846941828727722,0.18103069067001343,0.15298804640769958
years,0.1981470286846161,0.477315217256546,0.11878147721290588,0.13840252161026,0.24918466806411743,0.2326207011938095,0.1914375126361847
and,0.31309178471565247,0.20936404168605804,0.3461615741252899,0.3108116090297699,0.308173805475235,0.2890162169933319,0.20544172823429108
lasts,0.21729539334774017,0.26116374135017395,0.25900915265083313,0.20801226794719696,0.14988084137439728,0.28551608324050903,0.17807826399803162
12,0.1696145385503769,0.03256891295313835,0.167842298746109,0.08068741112947464,-0.06571482867002487,0.09698112308979034,0.10021790862083435
years,0.1981470286846161,0.477315217256546,0.11878147721290588,0.13840252161026,0.24918466806411743,0.2326207011938095,0.1914375126361847
comprising,0.13995948433876038,0.1453372687101364,0.10926849395036697,0.21024401485919952,0.17034700512886047,0.13858239352703094,0.043617378920316696
eight,0.15383057296276093,0.2637874186038971,0.11145713925361633,0.20733581483364105,0.13472957909107208,0.1587466299533844,0.11634626984596252
years,0.1981470286846161,0.477315217256546,0.11878147721290588,0.13840252161026,0.24918466806411743,0.2326207011938095,0.1914375126361847
in,0.30808621644973755,0.30576348304748535,0.214483380317688,0.2729884386062622,0.2654339671134949,0.29979339241981506,0.20430970191955566
primary,0.2113915979862213,0.2042756974697113,0.24340936541557312,0.26031243801116943,0.3644731044769287,0.1208227202296257,0.16286636888980865
school,0.18774057924747467,0.25097304582595825,0.1536676436662674,0.17746412754058838,0.5861870050430298,0.19215598702430725,0.15091250836849213
and,0.31309178471565247,0.20936404168605804,0.3461615741252899,0.3108116090297699,0.308173805475235,0.2890162169933319,0.20544172823429108
four,0.18057085573673248,0.16220204532146454,0.14431285858154297,0.21340177953243256,0.17069323360919952,0.15985731780529022,0.14532537758350372
years,0.1981470286846161,0.477315217256546,0.11878147721290588,0.13840252161026,0.24918466806411743,0.2326207011938095,0.1914375126361847
in,0.30808621644973755,0.30576348304748535,0.214483380317688,0.2729884386062622,0.2654339671134949,0.29979339241981506,0.20430970191955566
high,0.20466077327728271,0.17195738852024078,0.2028418332338333,0.1941162645816803,0.32903406023979187,0.15571045875549316,0.11137914657592773
school,0.18774057924747467,0.25097304582595825,0.1536676436662674,0.17746412754058838,0.5861870050430298,0.19215598702430725,0.15091250836849213
or,0.33867141604423523,0.15139344334602356,0.4248845875263214,0.32418715953826904,0.14504022896289825,0.29041650891304016,0.32389625906944275
secondary,0.20388361811637878,0.17793770134449005,0.24464774131774902,0.22560220956802368,0.4472634196281433,0.15736506879329681,0.18118004500865936
school,0.18774057924747467,0.25097304582595825,0.1536676436662674,0.17746412754058838,0.5861870050430298,0.19215598702430725,0.15091250836849213
.,0.3567904531955719,0.2498820275068283,0.3022993505001068,0.2838435769081116,0.27047446370124817,0.3501981496810913,0.4130953550338745
