,what,is,jacksonville,'s,hottest,month,on,average,?
mean,0.35852181911468506,0.3152560591697693,0.16192790865898132,0.023306747898459435,0.18397387862205505,0.22061507403850555,0.20877303183078766,0.3111130893230438,0.36234524846076965
monthly,0.22955510020256042,0.16676917672157288,0.15983469784259796,0.035364821553230286,0.2716071903705597,0.4241386950016022,0.2393789440393448,0.35176312923431396,0.19385789334774017
temperatures,0.2523624897003174,0.2816123366355896,0.1572873890399933,0.06270705163478851,0.5676555633544922,0.34236282110214233,0.25364840030670166,0.5268970727920532,0.1895846426486969
range,0.19613829255104065,0.2467041313648224,0.09747888147830963,-0.008888337761163712,0.195478156208992,0.15695394575595856,0.19070495665073395,0.24371084570884705,0.1204894632101059
from,0.2737620174884796,0.27355384826660156,0.20407649874687195,-0.01936490088701248,0.18694667518138885,0.17083653807640076,0.36926645040512085,0.14640052616596222,0.19969791173934937
around,0.27475327253341675,0.286477267742157,0.254739373922348,-0.039796680212020874,0.2808457612991333,0.23854239284992218,0.43118709325790405,0.3280741572380066,0.14729668200016022
53,0.17928816378116608,0.2136807143688202,0.09646543860435486,-0.07572173327207565,0.13995885848999023,0.20744937658309937,0.19248239696025848,0.08247951418161392,0.24864983558654785
f,0.12896136939525604,0.20386354625225067,0.18535731732845306,0.003173151519149542,0.13646551966667175,0.2004598081111908,0.12291212379932404,0.0967668667435646,0.1749851107597351
in,0.30808621644973755,0.5394441485404968,0.22147351503372192,-0.037580832839012146,0.2948496341705322,0.2385365217924118,0.46853652596473694,0.23465414345264435,0.20430970191955566
january,0.19257698953151703,0.23742131888866425,0.24695207178592682,-0.08409902453422546,0.20668871700763702,0.3335449695587158,0.3576357066631317,0.16250571608543396,0.28608936071395874
to,0.455847829580307,0.42745086550712585,0.1994343250989914,0.03782717138528824,0.15672020614147186,0.24505755305290222,0.41031414270401,0.2572915256023407,0.29463258385658264
82,0.022847721353173256,0.06685833632946014,0.024908969178795815,0.0358954519033432,-0.01278610434383154,-0.027940640226006508,-0.03262079507112503,-0.046966418623924255,-0.044889360666275024
