,how,many,total,volumes,are,in,the,harvard,library,system,?
the,0.33890387415885925,0.4335206151008606,0.27068960666656494,0.21537050604820251,0.40399202704429626,0.6662389636039734,1.0,0.24496200680732727,0.19920319318771362,0.3233085572719574,0.22068053483963013
harvard,0.19650645554065704,0.19690528512001038,0.1318056881427765,0.24615439772605896,0.1259138286113739,0.26072487235069275,0.24496200680732727,1.0,0.28255677223205566,0.19500991702079773,0.11685016006231308
university,0.12992997467517853,0.19385361671447754,0.18448065221309662,0.23509691655635834,0.16609783470630646,0.3201795518398285,0.263973206281662,0.6089406609535217,0.3760603964328766,0.16972410678863525,0.11887256056070328
library,0.09932420402765274,0.1814885139465332,0.016120783984661102,0.29893770813941956,0.13147571682929993,0.2101847380399704,0.19920319318771362,0.28255677223205566,0.9999999403953552,0.19369082152843475,0.18938742578029633
system,0.282820463180542,0.2631138563156128,0.20881521701812744,0.13934233784675598,0.21917270123958588,0.21978288888931274,0.3233085572719574,0.19500991702079773,0.19369082152843475,1.0000001192092896,0.15556083619594574
is,0.22544461488723755,0.2649032473564148,0.18159881234169006,0.12830698490142822,0.5330929756164551,0.5394441485404968,0.5823672413825989,0.15387701988220215,0.16916222870349884,0.2282046526670456,0.22961433231830597
centered,0.18371514976024628,0.21700547635555267,0.2139180600643158,0.22310703992843628,0.19494454562664032,0.33326560258865356,0.346942275762558,0.19449491798877716,0.16820105910301208,0.2101660519838333,0.17524833977222443
in,0.2601168751716614,0.41474202275276184,0.27667245268821716,0.23068252205848694,0.3841303884983063,1.0,0.6662389636039734,0.26072487235069275,0.2101847380399704,0.21978288888931274,0.20430970191955566
widener,0.18677100539207458,0.1634884625673294,0.13889281451702118,0.21771346032619476,0.09284790605306625,0.21723969280719757,0.324981153011322,0.3282196819782257,0.18616098165512085,0.1584167331457138,0.09369790554046631
library,0.09932420402765274,0.1814885139465332,0.016120783984661102,0.29893770813941956,0.13147571682929993,0.2101847380399704,0.19920319318771362,0.28255677223205566,0.9999999403953552,0.19369082152843475,0.18938742578029633
in,0.2601168751716614,0.41474202275276184,0.27667245268821716,0.23068252205848694,0.3841303884983063,1.0,0.6662389636039734,0.26072487235069275,0.2101847380399704,0.21978288888931274,0.20430970191955566
harvard,0.19650645554065704,0.19690528512001038,0.1318056881427765,0.24615439772605896,0.1259138286113739,0.26072487235069275,0.24496200680732727,1.0,0.28255677223205566,0.19500991702079773,0.11685016006231308
yard,0.15072651207447052,0.10225845128297806,0.17175447940826416,0.08146905899047852,0.12394832819700241,0.16734865307807922,0.22634266316890717,0.2091870754957199,0.14636021852493286,0.1444348841905594,0.06376948207616806
and,0.33647966384887695,0.5296266674995422,0.2520328164100647,0.2858909070491791,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.2453373372554779,0.18451033532619476,0.231138214468956,0.20544172823429108
comprises,0.09174761921167374,0.19863204658031464,0.2700250744819641,0.31871548295021057,0.3709706664085388,0.2665193974971771,0.30223149061203003,0.1422589272260666,0.20336681604385376,0.17856067419052124,0.037654489278793335
nearly,0.23273618519306183,0.4278171956539154,0.33497264981269836,0.25370076298713684,0.29865899682044983,0.3414846360683441,0.3409946858882904,0.1593310385942459,0.12534837424755096,0.2554430663585663,0.11670064926147461
80,0.07793577015399933,-0.0329921618103981,0.021741729229688644,-0.09326372295618057,0.16937381029129028,-0.03062376379966736,0.003630283521488309,-0.07138834148645401,-0.08448943495750427,0.07781290262937546,0.04445207491517067
individual,0.38188791275024414,0.3489879369735718,0.3328529894351959,0.14899849891662598,0.334160178899765,0.27755051851272583,0.3706541955471039,0.1592215597629547,0.0871775820851326,0.237809956073761,0.2058374285697937
libraries,0.13814528286457062,0.3066696524620056,0.07125052809715271,0.34301313757896423,0.2889662981033325,0.2760562300682068,0.2134861946105957,0.3088573217391968,0.7666171193122864,0.2806265354156494,0.20525334775447845
holding,0.20706279575824738,0.23670759797096252,0.14837883412837982,0.14438562095165253,0.21773134171962738,0.23142732679843903,0.31092849373817444,0.10444304347038269,0.16051776707172394,0.14113688468933105,0.17956523597240448
over,0.31446483731269836,0.47131630778312683,0.31193625926971436,0.21985457837581635,0.2778770923614502,0.3605569899082184,0.39856547117233276,0.12776897847652435,0.15256260335445404,0.20886710286140442,0.25742942094802856
18,-0.03501921147108078,-0.0017783388029783964,-0.0494605228304863,0.0012966798385605216,-0.09796016663312912,-0.061147160828113556,-0.07796193659305573,-0.0969080701470375,-0.02788235992193222,-0.08916128426790237,-0.04919438064098358
million,0.21114659309387207,0.3520967364311218,0.401465505361557,0.15186111629009247,0.21881309151649475,0.2596224844455719,0.277012437582016,0.13634052872657776,0.11873524636030197,0.1672525405883789,0.23092924058437347
volumes,0.20560778677463531,0.14458376169204712,0.2532726526260376,1.0000001192092896,0.17695239186286926,0.23068252205848694,0.21537050604820251,0.24615439772605896,0.29893770813941956,0.13934233784675598,0.11960393190383911
.,0.3287222981452942,0.3974229395389557,0.2295650690793991,0.26743245124816895,0.3452940285205841,0.5591574311256409,0.5934505462646484,0.254516065120697,0.23675528168678284,0.2277725487947464,0.4130953550338745
