,what,caused,luther,to,write,hymns,?
luther,0.2134782373905182,0.08839946240186691,1.0,0.18029534816741943,0.14316920936107635,0.30894896388053894,0.1732746809720993
's,0.02692362666130066,-0.0389891043305397,-0.009990512393414974,0.03782717138528824,0.041710954159498215,0.018269306048750877,-0.023395681753754616
hymns,0.17175553739070892,0.11011733114719391,0.30894896388053894,0.11944201588630676,0.34182026982307434,1.0000001192092896,0.17695237696170807
were,0.22298263013362885,0.2655269205570221,0.18652333319187164,0.31913647055625916,0.18767966330051422,0.23257111012935638,0.17890112102031708
frequently,0.2888586223125458,0.1851228028535843,0.1083173081278801,0.368136465549469,0.23074257373809814,0.2604828476905823,0.21401989459991455
evoked,0.1904175579547882,0.2571495771408081,0.162607803940773,0.21414293348789215,0.1098097413778305,0.13378705084323883,0.18719661235809326
by,0.2455483376979828,0.30491310358047485,0.15382802486419678,0.33534231781959534,0.16883166134357452,0.21136409044265747,0.17966607213020325
particular,0.4548671245574951,0.2731773555278778,0.15838967263698578,0.40318208932876587,0.31443363428115845,0.20500577986240387,0.2741454839706421
events,0.269866019487381,0.24692200124263763,0.14292483031749725,0.22643153369426727,0.18817123770713806,0.23224011063575745,0.09835197776556015
in,0.30808621644973755,0.2494886964559555,0.20523880422115326,0.45010748505592346,0.24632485210895538,0.1669730842113495,0.20430970191955566
his,0.26976513862609863,0.17088682949543,0.27093374729156494,0.3715193271636963,0.2745184898376465,0.20449216663837433,0.18075084686279297
life,0.24693015217781067,0.14582419395446777,0.20761863887310028,0.24560359120368958,0.21449708938598633,0.2527139186859131,0.21677987277507782
and,0.31309178471565247,0.2892237603664398,0.20796556770801544,0.48971283435821533,0.2489921897649765,0.2313949018716812,0.20544172823429108
the,0.42745697498321533,0.24990202486515045,0.1759674996137619,0.535392165184021,0.23380951583385468,0.1660911738872528,0.22068053483963013
unfolding,0.3868463933467865,0.34696078300476074,0.20454932749271393,0.2745766341686249,0.271366685628891,0.17901797592639923,0.22529473900794983
reformation,0.23052695393562317,0.19549041986465454,0.43711021542549133,0.27920275926589966,0.2111007422208786,0.3835795521736145,0.14843040704727173
.,0.3567904531955719,0.2413787543773651,0.24907569587230682,0.4645031690597534,0.2647448778152466,0.18507489562034607,0.4130953550338745
