,by,the,opening,of,the,2008,general,conference,",",what,was,the,total,umc,membership,overseas,?
by,1.0000001192092896,0.4408751428127289,0.19892098009586334,0.3646814823150635,0.4408751428127289,-0.05826305225491524,0.2654627859592438,0.13453824818134308,0.3680937886238098,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.20661480724811554,0.16236968338489532,0.21925228834152222,0.22144028544425964,0.17966607213020325
the,0.4408751428127289,1.0,0.37298497557640076,0.733189046382904,1.0,-0.06530369818210602,0.28634732961654663,0.25393402576446533,0.4933079481124878,0.42745697498321533,0.48711544275283813,1.0,0.27068960666656494,0.21262750029563904,0.2937599718570709,0.246591255068779,0.22068053483963013
opening,0.19892098009586334,0.37298497557640076,1.0,0.2651100158691406,0.37298497557640076,-0.006039331201463938,0.16485071182250977,0.15626388788223267,0.24495157599449158,0.18146683275699615,0.20817555487155914,0.37298497557640076,0.16235844790935516,0.16698643565177917,0.1657286137342453,0.21944572031497955,0.16502447426319122
of,0.3646814823150635,0.733189046382904,0.2651100158691406,1.0,0.733189046382904,-0.10678710788488388,0.28352999687194824,0.19579021632671356,0.4946078956127167,0.33290785551071167,0.4069072902202606,0.733189046382904,0.29045331478118896,0.18128293752670288,0.26808464527130127,0.22840926051139832,0.1826142966747284
the,0.4408751428127289,1.0,0.37298497557640076,0.733189046382904,1.0,-0.06530369818210602,0.28634732961654663,0.25393402576446533,0.4933079481124878,0.42745697498321533,0.48711544275283813,1.0,0.27068960666656494,0.21262750029563904,0.2937599718570709,0.246591255068779,0.22068053483963013
2008,-0.05826305225491524,-0.06530369818210602,-0.006039331201463938,-0.10678710788488388,-0.06530369818210602,1.0,-0.0002837306819856167,0.05192555859684944,-0.008566685020923615,-0.19703538715839386,0.09246674180030823,-0.06530369818210602,-0.06269481033086777,-0.03574115410447121,0.056003060191869736,-0.050929028540849686,-0.09852470457553864
general,0.2654627859592438,0.28634732961654663,0.16485071182250977,0.28352999687194824,0.28634732961654663,-0.0002837306819856167,1.0000001192092896,0.17838294804096222,0.3022127151489258,0.24928055703639984,0.2445744127035141,0.28634732961654663,0.18222637474536896,0.14920271933078766,0.16801397502422333,0.19252628087997437,0.1972234547138214
conference,0.13453824818134308,0.25393402576446533,0.15626388788223267,0.19579021632671356,0.25393402576446533,0.05192555859684944,0.17838294804096222,0.9999999403953552,0.21862302720546722,0.15329721570014954,0.1537582278251648,0.25393402576446533,0.08754419535398483,0.2516375780105591,0.3124026358127594,0.13974085450172424,0.11172781884670258
",",0.3680937886238098,0.4933079481124878,0.24495157599449158,0.4946078956127167,0.4933079481124878,-0.008566685020923615,0.3022127151489258,0.21862302720546722,1.0000001192092896,0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25815486907958984,0.1953766793012619,0.2181890308856964,0.2560080587863922,0.31091248989105225
total,0.20661480724811554,0.27068960666656494,0.16235844790935516,0.29045331478118896,0.27068960666656494,-0.06269481033086777,0.18222637474536896,0.08754419535398483,0.25815486907958984,0.19850242137908936,0.14069223403930664,0.27068960666656494,0.9999999403953552,0.029854554682970047,0.23844067752361298,0.20813481509685516,0.14396025240421295
