,what,can,people,work,towards,if,they,are,n't,denied,their,functionings,",",capabilities,and,agency,?
to,0.455847829580307,0.4979398250579834,0.37275731563568115,0.3482864499092102,0.3675195574760437,0.4559597074985504,0.5452046394348145,0.3504326641559601,-0.14541994035243988,0.31743186712265015,0.44619059562683105,0.27534425258636475,0.44245919585227966,0.30316877365112305,0.48971283435821533,0.24151217937469482,0.29463258385658264
prevent,0.2723881006240845,0.36072608828544617,0.20398177206516266,0.24546512961387634,0.3155377507209778,0.3717094361782074,0.2580011188983917,0.28334885835647583,-0.15310513973236084,0.25913411378860474,0.28334835171699524,0.2832489013671875,0.19234955310821533,0.3029491901397705,0.27715030312538147,0.16562631726264954,0.2547389566898346
such,0.23989605903625488,0.396209716796875,0.2260056734085083,0.2557113766670227,0.19570161402225494,0.29256609082221985,0.31174612045288086,0.4654397666454315,-0.11531715095043182,0.20957471430301666,0.30566170811653137,0.30859678983688354,0.39626169204711914,0.29772263765335083,0.44540345668792725,0.14826762676239014,0.17851735651493073
inequality,0.30072227120399475,0.2628359794616699,0.2395709902048111,0.30602675676345825,0.2912110686302185,0.2861393988132477,0.22270868718624115,0.24070033431053162,-0.003951065707951784,0.24855653941631317,0.2611862123012543,0.3389914929866791,0.21822890639305115,0.3289600908756256,0.2590520679950714,0.16525660455226898,0.23619021475315094
",",0.3087472915649414,0.3139454126358032,0.36644625663757324,0.3283594250679016,0.2550581693649292,0.257730096578598,0.390799880027771,0.4062570035457611,0.11016341298818588,0.2614631652832031,0.3045167922973633,0.23399600386619568,1.0000001192092896,0.21266590058803558,0.6633074283599854,0.21437011659145355,0.31091248989105225
this,0.5489566326141357,0.4006461203098297,0.27838850021362305,0.4280385971069336,0.2915070652961731,0.48231831192970276,0.4273154139518738,0.35762670636177063,-0.11459717154502869,0.3241303563117981,0.40095847845077515,0.3202565014362335,0.4316047728061676,0.2913326621055603,0.42353692650794983,0.22257567942142487,0.3155723512172699
approach,0.2636874318122864,0.196861132979393,0.20873238146305084,0.21740294992923737,0.32811275124549866,0.17563889920711517,0.15866497159004211,0.20236416161060333,0.04206622764468193,0.16096290946006775,0.17286263406276703,0.24438348412513733,0.3155236542224884,0.22072456777095795,0.2348477989435196,0.18504942953586578,0.181949645280838
believes,0.35397860407829285,0.19866913557052612,0.23137407004833221,0.2238786816596985,0.23147805035114288,0.27807140350341797,0.2784038186073303,0.2032141238451004,-0.013563339598476887,0.34828728437423706,0.2249973863363266,0.2097221314907074,0.24128273129463196,0.20949886739253998,0.2870352566242218,0.1667509526014328,0.21439975500106812
it,0.45803478360176086,0.3819273114204407,0.3940119743347168,0.28838732838630676,0.27592888474464417,0.35967332124710083,0.44394949078559875,0.3617996573448181,-0.08058576285839081,0.1966181993484497,0.3067983090877533,0.2656348645687103,0.48329564929008484,0.19356858730316162,0.40957894921302795,0.16144485771656036,0.25732165575027466
’,-0.01733604073524475,-0.03454741835594177,-0.02554408460855484,0.020365741103887558,0.042896803468465805,-0.060289714485406876,0.013253162615001202,-0.039561331272125244,0.06880166381597519,0.01851775124669075,0.007996875792741776,-0.03163215517997742,0.09620588272809982,-0.0365038700401783,-0.0002844194823410362,0.013130995444953442,0.045561522245407104
