,when,does,doctor,who,transition,to,a,new,body,?
the,0.5091903209686279,0.35928019881248474,0.2820442318916321,0.3733934462070465,0.30452099442481995,0.535392165184021,0.5829201340675354,0.3845241069793701,0.31682634353637695,0.22068053483963013
show,0.2859477698802948,0.19734367728233337,0.2094513326883316,0.2095358669757843,0.1859874725341797,0.29833272099494934,0.24886544048786163,0.20937778055667877,0.1828916221857071,0.2520138621330261
's,-0.03368149697780609,-0.02895052544772625,0.031664930284023285,0.05599616840481758,-0.032827526330947876,0.03782717138528824,0.04866964742541313,-0.008355522528290749,0.003652067156508565,-0.023395681753754616
premise,0.16499528288841248,0.3014669716358185,0.21078552305698395,0.19679304957389832,0.25514504313468933,0.21967510879039764,0.2745387554168701,0.1236695945262909,0.1902228593826294,0.21306073665618896
is,0.3471449911594391,0.4403602182865143,0.19875872135162354,0.24293622374534607,0.2905609607696533,0.42745086550712585,0.658733606338501,0.2208656519651413,0.2790417969226837,0.22961433231830597
that,0.5860282182693481,0.4764937460422516,0.2390732765197754,0.45444270968437195,0.2854991853237152,0.5436353087425232,0.47537946701049805,0.29177987575531006,0.32291916012763977,0.32716336846351624
this,0.4959332048892975,0.4166489243507385,0.16758373379707336,0.3345087468624115,0.3172425925731659,0.5759071707725525,0.5422310829162598,0.3234144449234009,0.314092218875885,0.3155723512172699
is,0.3471449911594391,0.4403602182865143,0.19875872135162354,0.24293622374534607,0.2905609607696533,0.42745086550712585,0.658733606338501,0.2208656519651413,0.2790417969226837,0.22961433231830597
a,0.44397395849227905,0.38201746344566345,0.22883038222789764,0.36608949303627014,0.31771281361579895,0.45503583550453186,1.0,0.3214259147644043,0.26263290643692017,0.23916715383529663
life,0.20499193668365479,0.14979252219200134,0.23802189528942108,0.2577245533466339,0.24049951136112213,0.24560359120368958,0.27076753973960876,0.20839716494083405,0.2704063653945923,0.21677987277507782
process,0.31665828824043274,0.2672620415687561,0.07622998207807541,0.22606876492500305,0.34271523356437683,0.35462963581085205,0.2601566016674042,0.17879632115364075,0.21844282746315002,0.2460896074771881
of,0.3757161796092987,0.3119818866252899,0.16895952820777893,0.2827862501144409,0.27408748865127563,0.41548454761505127,0.5052502155303955,0.343457967042923,0.25063133239746094,0.1826142966747284
time,0.4363728165626526,0.2519678771495819,0.22827142477035522,0.36634087562561035,0.28587812185287476,0.3679993152618408,0.3292340338230133,0.2320125252008438,0.22374941408634186,0.27391523122787476
lords,0.18473218381404877,0.18000002205371857,0.18355132639408112,0.2689010500907898,0.1248917281627655,0.20793196558952332,0.22270889580249786,0.14094483852386475,0.15775208175182343,0.04780716821551323
through,0.34666842222213745,0.21495459973812103,0.17974799871444702,0.17793183028697968,0.22205625474452972,0.4062686562538147,0.3399752974510193,0.23775440454483032,0.19350562989711761,0.16913433372974396
which,0.572554349899292,0.39111801981925964,0.19030126929283142,0.3688730001449585,0.33067160844802856,0.5345056653022766,0.56894451379776,0.33739399909973145,0.3445165753364563,0.25814583897590637
the,0.5091903209686279,0.35928019881248474,0.2820442318916321,0.3733934462070465,0.30452099442481995,0.535392165184021,0.5829201340675354,0.3845241069793701,0.31682634353637695,0.22068053483963013
character,0.23474615812301636,0.20811901986598969,0.3171660602092743,0.31209835410118103,0.19675935804843903,0.2381577491760254,0.3054544925689697,0.1614871472120285,0.23306229710578918,0.18056271970272064
of,0.3757161796092987,0.3119818866252899,0.16895952820777893,0.2827862501144409,0.27408748865127563,0.41548454761505127,0.5052502155303955,0.343457967042923,0.25063133239746094,0.1826142966747284
the,0.5091903209686279,0.35928019881248474,0.2820442318916321,0.3733934462070465,0.30452099442481995,0.535392165184021,0.5829201340675354,0.3845241069793701,0.31682634353637695,0.22068053483963013
doctor,0.16867952048778534,0.17192082107067108,0.9999999403953552,0.3504868149757385,0.050741568207740784,0.22950075566768646,0.22883038222789764,0.12563565373420715,0.23570314049720764,0.1462511420249939
takes,0.2802969813346863,0.38490039110183716,0.21762970089912415,0.16409184038639069,0.24692872166633606,0.29472896456718445,0.3491862416267395,0.19436563551425934,0.23342855274677277,0.10935472697019577
on,0.37706470489501953,0.2568802833557129,0.1636410653591156,0.2340552806854248,0.18953131139278412,0.41031414270401,0.3848365545272827,0.31106263399124146,0.20112086832523346,0.2714994251728058
a,0.44397395849227905,0.38201746344566345,0.22883038222789764,0.36608949303627014,0.31771281361579895,0.45503583550453186,1.0,0.3214259147644043,0.26263290643692017,0.23916715383529663
new,0.257220059633255,0.1745370477437973,0.12563565373420715,0.2378052920103073,0.16682299971580505,0.33159172534942627,0.3214259147644043,0.9999999403953552,0.15883728861808777,0.14782847464084625
