,what,is,considered,the,centerpiece,of,the,jameel,gallery,of,islamic,art,?
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,1.0,0.32091623544692993,0.733189046382904,1.0,0.3122138977050781,0.19251246750354767,0.733189046382904,0.27231070399284363,0.20297785103321075,0.22068053483963013
jameel,0.22656002640724182,0.2180454283952713,0.16306979954242706,0.3122138977050781,0.2395332306623459,0.2488299161195755,0.3122138977050781,1.0,0.1521780788898468,0.2488299161195755,0.32698744535446167,0.15651540458202362,0.184926837682724
gallery,0.1566055566072464,0.15374112129211426,0.12613655626773834,0.19251246750354767,0.32912975549697876,0.1971534639596939,0.19251246750354767,0.1521780788898468,1.0,0.1971534639596939,0.12468046694993973,0.5883238911628723,0.18202216923236847
of,0.33290785551071167,0.4854315221309662,0.4190242290496826,0.733189046382904,0.25852832198143005,1.0,0.733189046382904,0.2488299161195755,0.1971534639596939,1.0,0.25656506419181824,0.22648051381111145,0.1826142966747284
islamic,0.2204568088054657,0.17644661664962769,0.25010091066360474,0.27231070399284363,0.2725260555744171,0.25656506419181824,0.27231070399284363,0.32698744535446167,0.12468046694993973,0.25656506419181824,0.9999999403953552,0.22750411927700043,0.1692383587360382
art,0.19292277097702026,0.17386884987354279,0.17462949454784393,0.20297785103321075,0.3594702482223511,0.22648051381111145,0.20297785103321075,0.15651540458202362,0.5883238911628723,0.22648051381111145,0.22750411927700043,1.0,0.138971745967865
",",0.3087472915649414,0.4691906273365021,0.32932984828948975,0.4933079481124878,0.1924464851617813,0.4946078956127167,0.4933079481124878,0.29433247447013855,0.21593497693538666,0.4946078956127167,0.20175659656524658,0.2700960636138916,0.31091248989105225
opened,0.14500318467617035,0.15947836637496948,0.11635629832744598,0.28544309735298157,0.29435017704963684,0.16720551252365112,0.28544309735298157,0.23954686522483826,0.249263733625412,0.16720551252365112,0.10095607489347458,0.15857157111167908,0.1934700310230255
in,0.30808621644973755,0.5394441485404968,0.28591203689575195,0.6662389636039734,0.2592502236366272,0.5696388483047485,0.6662389636039734,0.23460082709789276,0.21665531396865845,0.5696388483047485,0.19633598625659943,0.2282189577817917,0.20430970191955566
2006,-0.0008085015579126775,0.07398132234811783,0.07633426040410995,0.11294147372245789,-0.033290084451436996,0.10009169578552246,0.11294147372245789,-0.015331649221479893,-0.10951395332813263,0.10009169578552246,0.014976481907069683,-0.06393606960773468,-0.1194092258810997
",",0.3087472915649414,0.4691906273365021,0.32932984828948975,0.4933079481124878,0.1924464851617813,0.4946078956127167,0.4933079481124878,0.29433247447013855,0.21593497693538666,0.4946078956127167,0.20175659656524658,0.2700960636138916,0.31091248989105225
houses,0.1434021294116974,0.1995694637298584,0.17162998020648956,0.2692612111568451,0.24775713682174683,0.2718559205532074,0.2692612111568451,0.16075652837753296,0.2945515215396881,0.2718559205532074,0.1385767161846161,0.21813693642616272,0.10120081901550293
a,0.3320399522781372,0.658733606338501,0.36109375953674316,0.5829201340675354,0.2936924695968628,0.5052502155303955,0.5829201340675354,0.2621832489967346,0.13071094453334808,0.5052502155303955,0.20177602767944336,0.1329297125339508,0.23916715383529663
representative,0.19021190702915192,0.1825934201478958,0.1870678961277008,0.23411999642848969,0.1859361231327057,0.31028270721435547,0.23411999642848969,0.2010764330625534,0.21660825610160828,0.31028270721435547,0.16501115262508392,0.19832924008369446,0.13044437766075134
display,0.1723564863204956,0.210763618350029,0.1402607560157776,0.2758708596229553,0.24136780202388763,0.23211264610290527,0.2758708596229553,0.16676127910614014,0.3224703371524811,0.23211264610290527,0.12400250136852264,0.22718213498592377,0.17059175670146942
of,0.33290785551071167,0.4854315221309662,0.4190242290496826,0.733189046382904,0.25852832198143005,1.0,0.733189046382904,0.2488299161195755,0.1971534639596939,1.0,0.25656506419181824,0.22648051381111145,0.1826142966747284
