,who,revolted,in,the,ispah,rebellion,?
the,0.3733934462070465,0.3181088864803314,0.6662389636039734,1.0,0.2692663073539734,0.2775774896144867,0.22068053483963013
muslims,0.2942625880241394,0.34162306785583496,0.18662098050117493,0.2657718360424042,0.4737482964992523,0.26492100954055786,0.18742211163043976
in,0.2792111933231354,0.2523462176322937,1.0,0.6662389636039734,0.18997493386268616,0.28367456793785095,0.20430970191955566
the,0.3733934462070465,0.3181088864803314,0.6662389636039734,1.0,0.2692663073539734,0.2775774896144867,0.22068053483963013
semu,0.15389709174633026,0.19718477129936218,0.23027397692203522,0.2706955075263977,0.315542995929718,0.10429727286100388,0.22317923605442047
class,0.17484316229820251,0.13249963521957397,0.1761927455663681,0.18034407496452332,0.16611787676811218,0.1319817155599594,0.12778934836387634
also,0.47919341921806335,0.23307617008686066,0.5073733329772949,0.6021018624305725,0.30108991265296936,0.22246037423610687,0.21848613023757935
revolted,0.3098694980144501,1.0000001192092896,0.2523462176322937,0.3181088864803314,0.19502806663513184,0.5617591142654419,0.17981886863708496
against,0.2942115366458893,0.36220720410346985,0.27273955941200256,0.3090755045413971,0.13731439411640167,0.3662467300891876,0.18095137178897858
the,0.3733934462070465,0.3181088864803314,0.6662389636039734,1.0,0.2692663073539734,0.2775774896144867,0.22068053483963013
yuan,0.20351146161556244,0.2286134958267212,0.14850552380084991,0.2548272907733917,0.262688547372818,0.24657662212848663,0.12871281802654266
dynasty,0.19946415722370148,0.4167809784412384,0.15246383845806122,0.26267939805984497,0.24036256968975067,0.36873897910118103,0.15884074568748474
in,0.2792111933231354,0.2523462176322937,1.0,0.6662389636039734,0.18997493386268616,0.28367456793785095,0.20430970191955566
the,0.3733934462070465,0.3181088864803314,0.6662389636039734,1.0,0.2692663073539734,0.2775774896144867,0.22068053483963013
ispah,0.2596109211444855,0.19502806663513184,0.18997493386268616,0.2692663073539734,1.0000001192092896,0.13991902768611908,0.4011134207248688
rebellion,0.21872887015342712,0.5617591142654419,0.28367456793785095,0.2775774896144867,0.13991902768611908,0.9999999403953552,0.10071789473295212
but,0.4487357437610626,0.30615144968032837,0.48674455285072327,0.4859698414802551,0.28693708777427673,0.22724725306034088,0.27921953797340393
the,0.3733934462070465,0.3181088864803314,0.6662389636039734,1.0,0.2692663073539734,0.2775774896144867,0.22068053483963013
rebellion,0.21872887015342712,0.5617591142654419,0.28367456793785095,0.2775774896144867,0.13991902768611908,0.9999999403953552,0.10071789473295212
was,0.3318818509578705,0.35691624879837036,0.45514053106307983,0.48711544275283813,0.2532540559768677,0.2940196692943573,0.18412111699581146
crushed,0.20199190080165863,0.4144270122051239,0.19896627962589264,0.274326890707016,0.09379725903272629,0.31325915455818176,0.09412815421819687
and,0.41279885172843933,0.26129111647605896,0.4954058527946472,0.5171257257461548,0.2111004739999771,0.18595951795578003,0.20544172823429108
the,0.3733934462070465,0.3181088864803314,0.6662389636039734,1.0,0.2692663073539734,0.2775774896144867,0.22068053483963013
muslims,0.2942625880241394,0.34162306785583496,0.18662098050117493,0.2657718360424042,0.4737482964992523,0.26492100954055786,0.18742211163043976
were,0.3188014328479767,0.3754776418209076,0.3815755248069763,0.3906462490558624,0.20085088908672333,0.2369358390569687,0.17890112102031708
massacred,0.24480818212032318,0.47996169328689575,0.23585501313209534,0.28119951486587524,0.2665404975414276,0.3629038631916046,0.2184208482503891
by,0.39727845788002014,0.2806377708911896,0.370934396982193,0.4408751428127289,0.2047668844461441,0.1959858387708664,0.17966607213020325
the,0.3733934462070465,0.3181088864803314,0.6662389636039734,1.0,0.2692663073539734,0.2775774896144867,0.22068053483963013
yuan,0.20351146161556244,0.2286134958267212,0.14850552380084991,0.2548272907733917,0.262688547372818,0.24657662212848663,0.12871281802654266
loyalist,0.284103661775589,0.441943883895874,0.21508365869522095,0.22690701484680176,0.19033865630626678,0.47641265392303467,0.05264445021748543
commander,0.24657247960567474,0.21991047263145447,0.17131969332695007,0.24218903481960297,0.2343212217092514,0.25721168518066406,0.2315494865179062
chen,0.18518587946891785,0.11503370106220245,0.15226097404956818,0.20816655457019806,0.246506929397583,0.15292352437973022,0.289856880903244
youding,0.44336169958114624,0.3160310685634613,0.31256961822509766,0.3845638036727905,0.3463376462459564,0.2205417901277542,0.4064781963825226
.,0.3541337847709656,0.24302756786346436,0.5591574311256409,0.5934505462646484,0.3037617802619934,0.16516093909740448,0.4130953550338745
