,how,was,religion,handled,in,the,mongol,empire,?
the,0.33890387415885925,0.48711544275283813,0.2757669985294342,0.22939974069595337,0.6662389636039734,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
mongol,0.11711648851633072,0.17204789817333221,0.2687280774116516,0.06780082732439041,0.16958336532115936,0.2924198508262634,1.0000001192092896,0.45230501890182495,0.12849251925945282
empire,0.14771032333374023,0.30602675676345825,0.32496997714042664,0.07962482422590256,0.24110576510429382,0.32532164454460144,0.45230501890182495,1.0000001192092896,0.14909450709819794
practiced,0.18914039433002472,0.2840479016304016,0.43534913659095764,0.16776138544082642,0.290182888507843,0.20430389046669006,0.166274294257164,0.24418678879737854,0.07469849288463593
religious,0.2058211863040924,0.20851445198059082,0.6981536149978638,0.14129601418972015,0.24099457263946533,0.22950971126556396,0.27299270033836365,0.22036117315292358,0.15727058053016663
tolerance,0.29178860783576965,0.1672930270433426,0.46337834000587463,0.15578903257846832,0.20118072628974915,0.26565825939178467,0.18528436124324799,0.22115597128868103,0.23532547056674957
because,0.48179173469543457,0.3841400742530823,0.2777157425880432,0.3223595917224884,0.37423941493034363,0.44596394896507263,0.16649261116981506,0.15414239466190338,0.2528740465641022
mongol,0.11711648851633072,0.17204789817333221,0.2687280774116516,0.06780082732439041,0.16958336532115936,0.2924198508262634,1.0000001192092896,0.45230501890182495,0.12849251925945282
tradition,0.17727917432785034,0.2609736919403076,0.414614737033844,0.10070734471082687,0.24601249396800995,0.2632053792476654,0.19224801659584045,0.23271913826465607,0.15717756748199463
had,0.2549138069152832,0.5927209258079529,0.19968242943286896,0.2455262392759323,0.385026752948761,0.3875846862792969,0.22751455008983612,0.21882809698581696,0.20728366076946259
long,0.2615325152873993,0.1968146562576294,0.1049366369843483,0.2514735758304596,0.2759332060813904,0.3075225353240967,0.10503730922937393,0.14034654200077057,0.19699987769126892
held,0.06776752322912216,0.30231067538261414,0.1576841175556183,0.2795710861682892,0.3127288818359375,0.32185450196266174,0.11930279433727264,0.16447950899600983,0.14103956520557404
that,0.557814359664917,0.33670201897621155,0.26975613832473755,0.3406955897808075,0.435920387506485,0.5473989248275757,0.20668581128120422,0.1784069836139679,0.32716336846351624
religion,0.24073021113872528,0.2115422934293747,0.9999999403953552,0.0944141373038292,0.2462482750415802,0.2757669985294342,0.2687280774116516,0.32496997714042664,0.2503177225589752
was,0.16678167879581451,1.0000001192092896,0.2115422934293747,0.18808238208293915,0.45514053106307983,0.48711544275283813,0.17204789817333221,0.30602675676345825,0.18412111699581146
a,0.29312583804130554,0.4508470594882965,0.2381647378206253,0.2336292713880539,0.539380669593811,0.5829201340675354,0.15921570360660553,0.1900206059217453,0.23916715383529663
personal,0.2369193285703659,0.1733088493347168,0.27632954716682434,0.26205208897590637,0.17110532522201538,0.19990217685699463,0.12673074007034302,0.16501112282276154,0.206199511885643
concept,0.2866419553756714,0.2765439450740814,0.39255207777023315,0.222059965133667,0.21857000887393951,0.2355310022830963,0.13692837953567505,0.22207152843475342,0.17160645127296448
",",0.22659391164779663,0.45456063747406006,0.2679629921913147,0.2650953531265259,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
and,0.33647966384887695,0.3740963041782379,0.2620435655117035,0.27274981141090393,0.4954058527946472,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
not,0.4869767427444458,0.2888734042644501,0.28435876965522766,0.31498563289642334,0.3403114080429077,0.4310511648654938,0.13350142538547516,0.1274372637271881,0.41942933201789856
subject,0.397165983915329,0.19509273767471313,0.3032924234867096,0.3077801465988159,0.21163184940814972,0.2387523651123047,0.10853291302919388,0.18955349922180176,0.33952999114990234
to,0.44169697165489197,0.3636345863342285,0.272845596075058,0.2785763442516327,0.45010748505592346,0.535392165184021,0.2125127911567688,0.21448755264282227,0.29463258385658264
law,0.18813064694404602,0.21553055942058563,0.31336548924446106,0.11101824045181274,0.24850773811340332,0.24548950791358948,0.13382850587368011,0.21350617706775665,0.1528988480567932
or,0.3378981947898865,0.2330796718597412,0.24533288180828094,0.3032573461532593,0.3586423695087433,0.4174870550632477,0.20351910591125488,0.17538774013519287,0.32389625906944275
interference,0.30670681595802307,0.18647605180740356,0.21876798570156097,0.2033238410949707,0.20951542258262634,0.26789531111717224,0.1653311848640442,0.1725451797246933,0.11166875064373016
.,0.3287222981452942,0.40146201848983765,0.28897368907928467,0.24443404376506805,0.5591574311256409,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
,how,was,religion,handled,in,the,mongol,empire,?
religious,0.2058211863040924,0.20851445198059082,0.6981536149978638,0.14129601418972015,0.24099457263946533,0.22950971126556396,0.27299270033836365,0.22036117315292358,0.15727058053016663
tolerance,0.29178860783576965,0.1672930270433426,0.46337834000587463,0.15578903257846832,0.20118072628974915,0.26565825939178467,0.18528436124324799,0.22115597128868103,0.23532547056674957
was,0.16678167879581451,1.0000001192092896,0.2115422934293747,0.18808238208293915,0.45514053106307983,0.48711544275283813,0.17204789817333221,0.30602675676345825,0.18412111699581146
thus,0.2931744158267975,0.22773678600788116,0.22219717502593994,0.2909078598022461,0.26358214020729065,0.4036877751350403,0.2357354611158371,0.20166181027889252,0.18769288063049316
a,0.29312583804130554,0.4508470594882965,0.2381647378206253,0.2336292713880539,0.539380669593811,0.5829201340675354,0.15921570360660553,0.1900206059217453,0.23916715383529663
well,0.410734087228775,0.3130364418029785,0.19772815704345703,0.2934861481189728,0.36612698435783386,0.42630070447921753,0.1624583899974823,0.2055317759513855,0.24815571308135986
established,0.10839782655239105,0.26515325903892517,0.22907137870788574,0.14373081922531128,0.3118882477283478,0.33092597126960754,0.19130797684192657,0.30176958441734314,0.15917523205280304
concept,0.2866419553756714,0.2765439450740814,0.39255207777023315,0.222059965133667,0.21857000887393951,0.2355310022830963,0.13692837953567505,0.22207152843475342,0.17160645127296448
on,0.32655060291290283,0.3909217119216919,0.15404590964317322,0.22203533351421356,0.46853652596473694,0.5107308030128479,0.13546301424503326,0.1508585810661316,0.2714994251728058
the,0.33890387415885925,0.48711544275283813,0.2757669985294342,0.22939974069595337,0.6662389636039734,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
asian,0.09642928838729858,0.15075916051864624,0.19817203283309937,0.19314466416835785,0.18836280703544617,0.2710895538330078,0.3237716853618622,0.15552052855491638,0.10526347905397415
steppe,0.15282250940799713,0.20982502400875092,0.12467801570892334,0.12260685861110687,0.18594466149806976,0.23938675224781036,0.34283876419067383,0.24792101979255676,0.08960098773241043
.,0.3287222981452942,0.40146201848983765,0.28897368907928467,0.24443404376506805,0.5591574311256409,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
