,which,park,hosts,the,largest,civil,war,reenactment,on,the,west,coast,?
roeding,0.37036871910095215,0.18166355788707733,0.273106187582016,0.41848480701446533,0.24712592363357544,0.4021550118923187,0.3729504644870758,0.45732352137565613,0.3544824421405792,0.41848480701446533,0.26425686478614807,0.2913101017475128,0.30348169803619385
park,0.22263368964195251,1.0,0.13189616799354553,0.24748283624649048,0.2416546791791916,0.09107095003128052,0.14717885851860046,0.24265806376934052,0.2332824319601059,0.24748283624649048,0.3027864396572113,0.24529410898685455,0.13508929312229156
",",0.3658004403114319,0.22495080530643463,0.2906741201877594,0.4933079481124878,0.26626327633857727,0.24795588850975037,0.2671184241771698,0.26406413316726685,0.49057599902153015,0.4933079481124878,0.28857502341270447,0.2553968131542206,0.31091248989105225
near,0.2737005650997162,0.22548368573188782,0.16524548828601837,0.2879819869995117,0.29446083307266235,0.15355485677719116,0.176861971616745,0.09700946509838104,0.3508072793483734,0.2879819869995117,0.3530140817165375,0.2603168487548828,0.10734958201646805
downtown,0.22559411823749542,0.3450911045074463,0.18467386066913605,0.2602716088294983,0.24599237740039825,0.11900989711284637,0.11889497190713882,0.266489177942276,0.2267572283744812,0.2602716088294983,0.2989719808101654,0.24035079777240753,0.15638743340969086
fresno,0.14756552875041962,0.2707971930503845,0.18866252899169922,0.22571885585784912,0.18572454154491425,0.14556270837783813,0.20021720230579376,0.2106269747018814,0.25826847553253174,0.22571885585784912,0.2787109911441803,0.22240842878818512,0.13224096596240997
",",0.3658004403114319,0.22495080530643463,0.2906741201877594,0.4933079481124878,0.26626327633857727,0.24795588850975037,0.2671184241771698,0.26406413316726685,0.49057599902153015,0.4933079481124878,0.28857502341270447,0.2553968131542206,0.31091248989105225
is,0.4457404911518097,0.2076987773180008,0.2958720028400421,0.5823672413825989,0.3413417339324951,0.16941262781620026,0.18502555787563324,0.1629267930984497,0.3635730445384979,0.5823672413825989,0.25201764702796936,0.25204822421073914,0.22961433231830597
home,0.223346546292305,0.28130054473876953,0.2625296115875244,0.28978195786476135,0.22477854788303375,0.04769039899110794,0.14435844123363495,0.19574320316314697,0.31595379114151,0.28978195786476135,0.27121251821517944,0.20743303000926971,0.0757145956158638
to,0.5345056653022766,0.14257338643074036,0.17537491023540497,0.535392165184021,0.18687231838703156,0.2019355595111847,0.2610234022140503,0.21045427024364471,0.41031414270401,0.535392165184021,0.24611181020736694,0.23308983445167542,0.29463258385658264
the,0.6521818041801453,0.24748283624649048,0.31077179312705994,1.0,0.3757036626338959,0.2477465271949768,0.366199791431427,0.2927513122558594,0.5107308030128479,1.0,0.32918402552604675,0.28366661071777344,0.22068053483963013
fresno,0.14756552875041962,0.2707971930503845,0.18866252899169922,0.22571885585784912,0.18572454154491425,0.14556270837783813,0.20021720230579376,0.2106269747018814,0.25826847553253174,0.22571885585784912,0.2787109911441803,0.22240842878818512,0.13224096596240997
chaffee,0.1841951608657837,0.23792746663093567,0.14628006517887115,0.2939971685409546,0.15578590333461761,0.28655868768692017,0.30470484495162964,0.34601470828056335,0.30124324560165405,0.2939971685409546,0.18658258020877838,0.1574474722146988,0.2570136785507202
zoo,0.19409945607185364,0.46924126148223877,0.16261352598667145,0.19178812205791473,0.3086366057395935,0.06067817658185959,0.17502358555793762,0.16911187767982483,0.18769650161266327,0.19178812205791473,0.17217497527599335,0.16753707826137543,0.13724514842033386
",",0.3658004403114319,0.22495080530643463,0.2906741201877594,0.4933079481124878,0.26626327633857727,0.24795588850975037,0.2671184241771698,0.26406413316726685,0.49057599902153015,0.4933079481124878,0.28857502341270447,0.2553968131542206,0.31091248989105225
and,0.506277859210968,0.21340665221214294,0.3068423569202423,0.5171257257461548,0.24602696299552917,0.25259146094322205,0.29695844650268555,0.20585529506206512,0.4077630043029785,0.5171257257461548,0.273951917886734,0.2847609519958496,0.20544172823429108
rotary,0.31748613715171814,0.11437613517045975,0.19002370536327362,0.22118352353572845,0.14815644919872284,0.1442858874797821,0.14810889959335327,0.14858464896678925,0.15527436137199402,0.22118352353572845,0.11108973622322083,0.16117917001247406,0.07097224146127701
storyland,0.28606823086738586,0.2679440975189209,0.18905025720596313,0.30377396941185,0.055563993752002716,0.21181966364383698,0.27963942289352417,0.40309879183769226,0.2778780162334442,0.30377396941185,0.23686626553535461,0.2071368545293808,0.2033701241016388
and,0.506277859210968,0.21340665221214294,0.3068423569202423,0.5171257257461548,0.24602696299552917,0.25259146094322205,0.29695844650268555,0.20585529506206512,0.4077630043029785,0.5171257257461548,0.273951917886734,0.2847609519958496,0.20544172823429108
playland,0.29111170768737793,0.35174086689949036,0.24477319419384003,0.29605910181999207,0.11460191011428833,0.2256326824426651,0.21658183634281158,0.36306455731391907,0.3022376596927643,0.29605910181999207,0.3046335279941559,0.27452754974365234,0.2266378551721573
.,0.45942068099975586,0.22825266420841217,0.21701855957508087,0.5934505462646484,0.18871670961380005,0.2541380822658539,0.3000848889350891,0.26172712445259094,0.49257001280784607,0.5934505462646484,0.2804967761039734,0.2627628743648529,0.4130953550338745
