,how,did,scientists,assess,the,dna/rna,of,yersinia,pestis,?
they,0.43247655034065247,0.4879390597343445,0.37977302074432373,0.3397226631641388,0.49925389885902405,0.23828648030757904,0.3426007330417633,0.31023621559143066,0.28547990322113037,0.2753053903579712
assessed,0.28878000378608704,0.23605011403560638,0.20986945927143097,0.7794073224067688,0.3013015687465668,0.1746031641960144,0.2995022237300873,0.12612272799015045,0.14133192598819733,0.2556779682636261
the,0.33890387415885925,0.34736719727516174,0.25988271832466125,0.2471352517604828,1.0,0.21884897351264954,0.733189046382904,0.26242390275001526,0.23376873135566711,0.22068053483963013
presence,0.18854846060276031,0.16884823143482208,0.18586982786655426,0.3169965445995331,0.34114351868629456,0.2475646287202835,0.2917717397212982,0.2077724039554596,0.19803909957408905,0.08592845499515533
of,0.2480744868516922,0.2513895630836487,0.20474955439567566,0.2644112706184387,0.733189046382904,0.20243991911411285,1.0,0.26018857955932617,0.19618989527225494,0.1826142966747284
dna/rna,0.13726496696472168,0.12984983623027802,0.16257917881011963,0.23022311925888062,0.21884897351264954,1.0,0.20243991911411285,0.4228495955467224,0.4003824293613434,0.1786694973707199
with,0.3525622487068176,0.25472134351730347,0.1702168732881546,0.21321304142475128,0.4223487675189972,0.19070766866207123,0.41827285289764404,0.18380749225616455,0.21760033071041107,0.2433311939239502
polymerase,0.23211972415447235,0.15234191715717316,0.26090118288993835,0.2902430295944214,0.225601464509964,0.6598020195960999,0.2564114034175873,0.38783153891563416,0.3383720815181732,0.1898203343153
chain,0.15062852203845978,0.09125258028507233,0.16153207421302795,0.16220472753047943,0.2761823236942291,0.2574464976787567,0.19438005983829498,0.09401270747184753,0.08738040924072266,0.09208294749259949
reaction,0.3258354365825653,0.2611085772514343,0.18391217291355133,0.2715470492839813,0.2163003534078598,0.3181198239326477,0.16853101551532745,0.31772276759147644,0.24356679618358612,0.2138621062040329
(,0.1676948219537735,0.18979617953300476,0.125387042760849,0.22394804656505585,0.33289089798927307,0.24213090538978577,0.35032153129577637,0.20810042321681976,0.165696382522583,0.40561532974243164
pcr,0.3006232678890228,0.17499183118343353,0.29539909958839417,0.35919538140296936,0.22549936175346375,0.44352731108665466,0.18568241596221924,0.2930499017238617,0.25641319155693054,0.23423458635807037
),0.17939934134483337,0.18584993481636047,0.11199764907360077,0.2203778475522995,0.3456730246543884,0.23644417524337769,0.3680361211299896,0.20359036326408386,0.15671733021736145,0.42300865054130554
techniques,0.30078184604644775,0.21477444469928741,0.2271493673324585,0.26301291584968567,0.18448615074157715,0.21520079672336578,0.2114233523607254,0.1346527636051178,0.18636104464530945,0.1533757448196411
for,0.3308170735836029,0.318512886762619,0.17087750136852264,0.32264527678489685,0.4739971458911896,0.1900773048400879,0.4185989499092102,0.14848415553569794,0.18700870871543884,0.264628142118454
y.,0.091265007853508,-0.08142596483230591,-0.009953705593943596,0.17060734331607819,-0.0005152968224138021,0.12750187516212463,0.013823704794049263,0.012402636930346489,0.008903087116777897,0.14909613132476807
pestis,0.22477349638938904,0.14983123540878296,0.25728869438171387,0.15981364250183105,0.23376873135566711,0.4003824293613434,0.19618989527225494,0.5700177550315857,1.0000001192092896,0.2471543848514557
from,0.22939439117908478,0.20248863101005554,0.2609514594078064,0.12052898854017258,0.40150508284568787,0.1905285269021988,0.4249346852302551,0.2744576036930084,0.19019633531570435,0.19969791173934937
the,0.33890387415885925,0.34736719727516174,0.25988271832466125,0.2471352517604828,1.0,0.21884897351264954,0.733189046382904,0.26242390275001526,0.23376873135566711,0.22068053483963013
tooth,0.20752644538879395,0.1516563892364502,0.16572830080986023,0.19510550796985626,0.21613124012947083,0.32214128971099854,0.1862955540418625,0.26403218507766724,0.22728034853935242,0.0623156912624836
sockets,0.20934078097343445,0.12577085196971893,0.22789156436920166,0.22190502285957336,0.21827857196331024,0.2682943046092987,0.1009155884385109,0.21063190698623657,0.2718496322631836,0.13044747710227966
in,0.2601168751716614,0.2593238651752472,0.1995355486869812,0.20535141229629517,0.6662389636039734,0.2408783733844757,0.5696388483047485,0.2823023796081543,0.16708125174045563,0.20430970191955566
human,0.29366981983184814,0.15822581946849823,0.2633882761001587,0.30344417691230774,0.3103327453136444,0.2145601361989975,0.3083189129829407,0.26576775312423706,0.34866657853126526,0.19748784601688385
skeletons,0.21046210825443268,0.1630324423313141,0.26878130435943604,0.2085976004600525,0.24023963510990143,0.263105183839798,0.23421138525009155,0.22633527219295502,0.2730523347854614,0.13581369817256927
from,0.22939439117908478,0.20248863101005554,0.2609514594078064,0.12052898854017258,0.40150508284568787,0.1905285269021988,0.4249346852302551,0.2744576036930084,0.19019633531570435,0.19969791173934937
mass,0.28030452132225037,0.1598033756017685,0.17614254355430603,0.19746719300746918,0.2284930944442749,0.17550501227378845,0.26915112137794495,0.1832883358001709,0.1523699313402176,0.2076406031847
graves,0.21692052483558655,0.1933411806821823,0.20864903926849365,0.10890509188175201,0.2546413242816925,0.16872601211071014,0.26505351066589355,0.19006268680095673,0.20141108334064484,0.1868567168712616
in,0.2601168751716614,0.2593238651752472,0.1995355486869812,0.20535141229629517,0.6662389636039734,0.2408783733844757,0.5696388483047485,0.2823023796081543,0.16708125174045563,0.20430970191955566
northern,0.08842652291059494,0.14611519873142242,0.11964086443185806,0.08478961139917374,0.3422943353652954,0.17941071093082428,0.32586339116096497,0.22537025809288025,0.1592225879430771,0.13149388134479523
",",0.22659391164779663,0.3015086054801941,0.25785407423973083,0.20483890175819397,0.4933079481124878,0.2753058969974518,0.4946078956127167,0.22470152378082275,0.2664850056171417,0.31091248989105225
central,0.1351521760225296,0.14962437748908997,0.1862601935863495,0.1281418800354004,0.3417201042175293,0.19059064984321594,0.3415789008140564,0.1964123696088791,0.1657809317111969,0.14787602424621582
and,0.33647966384887695,0.34479495882987976,0.20514336228370667,0.23977629840373993,0.5171257257461548,0.22221466898918152,0.5116966962814331,0.2126704752445221,0.21790508925914764,0.20544172823429108
southern,0.11308442056179047,0.13322393596172333,0.1453702449798584,0.07462044060230255,0.3282862603664398,0.1372218281030655,0.31933003664016724,0.179264098405838,0.16847196221351624,0.11225555837154388
europe,0.1606675088405609,0.22473940253257751,0.16927121579647064,0.10913026332855225,0.34463706612586975,0.15970230102539062,0.29299741983413696,0.3057984709739685,0.22805875539779663,0.18278923630714417
that,0.557814359664917,0.47518548369407654,0.3470602035522461,0.3547878861427307,0.5473989248275757,0.2230570912361145,0.41498205065727234,0.29945167899131775,0.2785785496234894,0.32716336846351624
were,0.2082374095916748,0.4162326455116272,0.2644626498222351,0.1477949023246765,0.3906462490558624,0.18529371917247772,0.34038281440734863,0.17552681267261505,0.19339026510715485,0.17890112102031708
associated,0.22210390865802765,0.1503729224205017,0.16876740753650665,0.2659483253955841,0.2742886245250702,0.16297881305217743,0.3077163100242615,0.18388022482395172,0.2465537041425705,0.1453326791524887
archaeologically,0.20285391807556152,0.12003779411315918,0.2489130198955536,0.28259193897247314,0.3133283257484436,0.3116280436515808,0.3088477849960327,0.291858434677124,0.27380433678627014,0.13284285366535187
with,0.3525622487068176,0.25472134351730347,0.1702168732881546,0.21321304142475128,0.4223487675189972,0.19070766866207123,0.41827285289764404,0.18380749225616455,0.21760033071041107,0.2433311939239502
the,0.33890387415885925,0.34736719727516174,0.25988271832466125,0.2471352517604828,1.0,0.21884897351264954,0.733189046382904,0.26242390275001526,0.23376873135566711,0.22068053483963013
black,0.2023327350616455,0.14310608804225922,0.1829344779253006,0.0484505221247673,0.28466513752937317,0.14033880829811096,0.23966942727565765,0.26224657893180847,0.18916335701942444,0.15159966051578522
death,0.19782234728336334,0.2252790331840515,0.10051016509532928,0.10655103623867035,0.21438048779964447,0.12516358494758606,0.23778599500656128,0.2143717110157013,0.2285131812095642,0.21149799227714539
and,0.33647966384887695,0.34479495882987976,0.20514336228370667,0.23977629840373993,0.5171257257461548,0.22221466898918152,0.5116966962814331,0.2126704752445221,0.21790508925914764,0.20544172823429108
subsequent,0.2477182298898697,0.27863436937332153,0.11043128371238708,0.23459234833717346,0.2562725245952606,0.21591725945472717,0.1740972250699997,0.19997788965702057,0.16983485221862793,0.13111010193824768
resurgences,0.24683831632137299,0.24981249868869781,0.28298652172088623,0.2697264552116394,0.3285307288169861,0.19176232814788818,0.30056309700012207,0.17140768468379974,0.26025697588920593,0.17963463068008423
.,0.3287222981452942,0.35288307070732117,0.22514508664608002,0.2612558901309967,0.5934505462646484,0.23745740950107574,0.5352458953857422,0.2827284634113312,0.2792564034461975,0.4130953550338745
