,when,was,the,riemann,hypothesis,proposed,?
the,0.5091903209686279,0.48711544275283813,1.0,0.22838398814201355,0.2221619188785553,0.23840250074863434,0.22068053483963013
unproven,0.26561489701271057,0.14620500802993774,0.161139115691185,0.3220384120941162,0.3651224970817566,0.25212347507476807,0.29078683257102966
riemann,0.21588844060897827,0.22613126039505005,0.22838398814201355,1.0,0.4592725336551666,0.2595703899860382,0.1997363567352295
hypothesis,0.20918194949626923,0.15402233600616455,0.2221619188785553,0.4592725336551666,1.0,0.39410844445228577,0.20027662813663483
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.260956346988678,0.15448060631752014,0.23817701637744904,0.31091248989105225
dating,0.21857233345508575,0.17555896937847137,0.23401090502738953,0.23553131520748138,0.14564727246761322,0.13882823288440704,0.1135709211230278
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.15205073356628418,0.08770541846752167,0.19478890299797058,0.19969791173934937
1859,-0.04244093969464302,0.005101411137729883,0.012682649306952953,-0.05368126928806305,0.0010036301100626588,-0.0961412638425827,0.08665214478969574
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.260956346988678,0.15448060631752014,0.23817701637744904,0.31091248989105225
states,0.24639196693897247,0.2847922146320343,0.3463578522205353,0.13656620681285858,0.1534101366996765,0.21368126571178436,0.16272737085819244
that,0.5860282182693481,0.33670201897621155,0.5473989248275757,0.2777266800403595,0.3562784492969513,0.3023551106452942,0.32716336846351624
except,0.2821159362792969,0.18849630653858185,0.31242886185646057,0.1391153633594513,0.051037609577178955,0.17402192950248718,0.16405975818634033
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.20640519261360168,0.19596698880195618,0.24884271621704102,0.264628142118454
s,0.3388965129852295,0.3674983084201813,0.46610721945762634,0.21255996823310852,0.14783254265785217,0.27289876341819763,0.25130221247673035
=,-0.00605643168091774,-0.17945078015327454,-0.01352626271545887,-0.07280214130878448,-0.0017886182758957148,-0.12889157235622406,-0.005643122363835573
−2,-0.0026156147941946983,-0.09987078607082367,-0.024587878957390785,-0.05072883889079094,-0.10210868716239929,-0.04741456359624863,-0.03087463043630123
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.260956346988678,0.15448060631752014,0.23817701637744904,0.31091248989105225
−4,-0.029018735513091087,0.0098832743242383,-0.07538416236639023,0.05632957071065903,-0.0031462358310818672,0.03462616354227066,0.048171307891607285
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.260956346988678,0.15448060631752014,0.23817701637744904,0.31091248989105225
...,0.017524629831314087,0.1733308732509613,0.04743409901857376,0.1333363652229309,0.06004572659730911,0.03406329080462456,-0.07163430005311966
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.260956346988678,0.15448060631752014,0.23817701637744904,0.31091248989105225
all,0.35107192397117615,0.23179835081100464,0.4860881567001343,0.1885560303926468,0.17662912607192993,0.17055417597293854,0.29575422406196594
zeroes,0.20917382836341858,0.11834143102169037,0.26670578122138977,0.30931445956230164,0.20815595984458923,0.14436711370944977,0.2374504804611206
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.25200456380844116,0.18608006834983826,0.26188141107559204,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.22838398814201355,0.2221619188785553,0.23840250074863434,0.22068053483963013
ζ-function,0.2506215572357178,0.13970471918582916,0.2709183692932129,0.3528326153755188,0.332475870847702,0.2752062678337097,0.21316823363304138
have,0.40555819869041443,0.2863433063030243,0.40389683842658997,0.22323133051395416,0.26380831003189087,0.2717863917350769,0.32991164922714233
real,0.20850564539432526,0.1580289602279663,0.19885718822479248,0.25375446677207947,0.18907780945301056,0.09934934973716736,0.20019613206386566
part,0.35435768961906433,0.3407018780708313,0.527681291103363,0.22493690252304077,0.12816500663757324,0.1669578105211258,0.08557961881160736
equal,0.24602913856506348,0.1280919909477234,0.21154357492923737,0.22872264683246613,0.19134779274463654,0.24229559302330017,0.15421567857265472
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.24055254459381104,0.22394606471061707,0.28162798285484314,0.29463258385658264
1/2,0.07046506553888321,0.1393650621175766,0.08184071630239487,0.04347603768110275,-0.07296153157949448,0.07981269806623459,-0.022870099171996117
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2941560745239258,0.16023044288158417,0.22405166923999786,0.4130953550338745
