,who,was,warsaw,under,the,administration,of,when,it,came,under,the,rule,of,the,general,goverment,?
central,0.14618510007858276,0.21519865095615387,0.19905970990657806,0.12046600133180618,0.3417201042175293,0.26611414551734924,0.3415789008140564,0.16662165522575378,0.28471311926841736,0.17976340651512146,0.12046600133180618,0.3417201042175293,0.03152582421898842,0.3415789008140564,0.3417201042175293,0.2234363853931427,0.2125963270664215,0.14787602424621582
poland,0.16356982290744781,0.19694356620311737,0.6352760195732117,0.15030714869499207,0.24871079623699188,0.17408360540866852,0.26632049679756165,0.1766313761472702,0.2027914971113205,0.15780797600746155,0.15030714869499207,0.24871079623699188,0.2494649440050125,0.26632049679756165,0.24871079623699188,0.09901008009910583,0.21718047559261322,0.14259830117225647
",",0.3365725874900818,0.45456063747406006,0.25300899147987366,0.24875585734844208,0.4933079481124878,0.25292783975601196,0.4946078956127167,0.36674630641937256,0.48329564929008484,0.3049119710922241,0.24875585734844208,0.4933079481124878,0.24230371415615082,0.4946078956127167,0.4933079481124878,0.3022127151489258,0.30620667338371277,0.31091248989105225
including,0.2835840582847595,0.21884717047214508,0.11240771412849426,0.2822725474834442,0.3738902807235718,0.21422408521175385,0.44195112586021423,0.24633030593395233,0.21794912219047546,0.26359930634498596,0.2822725474834442,0.3738902807235718,0.15664097666740417,0.44195112586021423,0.3738902807235718,0.18835937976837158,0.1833299696445465,0.1633303165435791
warsaw,0.16496863961219788,0.2614976763725281,1.0,0.11571282148361206,0.23137180507183075,0.17587625980377197,0.19253842532634735,0.1615014374256134,0.1582006961107254,0.11472894251346588,0.11571282148361206,0.23137180507183075,0.1441623866558075,0.19253842532634735,0.23137180507183075,0.13967229425907135,0.155461847782135,0.09769917279481888
",",0.3365725874900818,0.45456063747406006,0.25300899147987366,0.24875585734844208,0.4933079481124878,0.25292783975601196,0.4946078956127167,0.36674630641937256,0.48329564929008484,0.3049119710922241,0.24875585734844208,0.4933079481124878,0.24230371415615082,0.4946078956127167,0.4933079481124878,0.3022127151489258,0.30620667338371277,0.31091248989105225
came,0.26680538058280945,0.4994563162326813,0.11472894251346588,0.23703667521476746,0.39390382170677185,0.14040444791316986,0.3201526999473572,0.2824265956878662,0.27454036474227905,1.0,0.23703667521476746,0.39390382170677185,0.23961417376995087,0.3201526999473572,0.39390382170677185,0.17605435848236084,0.17267614603042603,0.1739392727613449
under,0.2962189018726349,0.2672741413116455,0.11571282148361206,0.9999999403953552,0.3348022699356079,0.3318018913269043,0.32766106724739075,0.3172987401485443,0.21007636189460754,0.23703667521476746,0.9999999403953552,0.3348022699356079,0.3618678152561188,0.32766106724739075,0.3348022699356079,0.33664318919181824,0.21607168018817902,0.18233340978622437
the,0.3733934462070465,0.48711544275283813,0.23137180507183075,0.3348022699356079,1.0,0.3083578944206238,0.733189046382904,0.5091903209686279,0.6251175999641418,0.39390382170677185,0.3348022699356079,1.0,0.29894936084747314,0.733189046382904,1.0,0.28634732961654663,0.3272540271282196,0.22068053483963013
rule,0.31803420186042786,0.19895824790000916,0.1441623866558075,0.3618678152561188,0.29894936084747314,0.27086690068244934,0.25175079703330994,0.28752797842025757,0.22308661043643951,0.23961417376995087,0.3618678152561188,0.29894936084747314,1.0,0.25175079703330994,0.29894936084747314,0.24411356449127197,0.38488397002220154,0.1955260932445526
of,0.2827862501144409,0.4069072902202606,0.19253842532634735,0.32766106724739075,0.733189046382904,0.3326551914215088,1.0,0.3757161796092987,0.38761502504348755,0.3201526999473572,0.32766106724739075,0.733189046382904,0.25175079703330994,1.0,0.733189046382904,0.28352999687194824,0.3910406827926636,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.23137180507183075,0.3348022699356079,1.0,0.3083578944206238,0.733189046382904,0.5091903209686279,0.6251175999641418,0.39390382170677185,0.3348022699356079,1.0,0.29894936084747314,0.733189046382904,1.0,0.28634732961654663,0.3272540271282196,0.22068053483963013
general,0.2461782991886139,0.2445744127035141,0.13967229425907135,0.33664318919181824,0.28634732961654663,0.2752644121646881,0.28352999687194824,0.20438088476657867,0.21158641576766968,0.17605435848236084,0.33664318919181824,0.28634732961654663,0.24411356449127197,0.28352999687194824,0.28634732961654663,1.0000001192092896,0.29222816228866577,0.1972234547138214
