,what,type,of,homes,is,fresno,known,for,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22941356897354126,0.5823672413825989,0.22571885585784912,0.3624623417854309,0.4739971458911896,0.22068053483963013
area,0.21965408325195312,0.11782461404800415,0.3409860134124756,0.34835630655288696,0.29283958673477173,0.21332328021526337,0.17146120965480804,0.20941852033138275,0.12640461325645447
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.1548708975315094,1.0,0.2127077877521515,0.41921812295913696,0.43268078565597534,0.22961433231830597
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.253743439912796,0.5012649297714233,0.2253323197364807,0.4766203761100769,0.5373267531394958,0.21848613023757935
known,0.20381177961826324,0.15942366421222687,0.35814476013183594,0.1414431929588318,0.41921812295913696,0.18501479923725128,1.0,0.363901823759079,0.18314571678638458
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.223987877368927,0.43268078565597534,0.17504577338695526,0.363901823759079,0.9999999403953552,0.264628142118454
its,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.21904636919498444,0.4447362422943115,0.1913203001022339,0.31007078289985657,0.2992613911628723,0.15103481709957123
early,0.2454567849636078,0.24463579058647156,0.30937549471855164,0.24938401579856873,0.18880519270896912,0.13687995076179504,0.2710604667663574,0.2892865538597107,0.15272949635982513
twentieth,0.17927373945713043,0.09028105437755585,0.23795203864574432,0.27646592259407043,0.14378473162651062,0.13940846920013428,0.22667886316776276,0.22854240238666534,0.05639015510678291
century,0.20422613620758057,0.12631413340568542,0.2826060354709625,0.23148690164089203,0.20648397505283356,0.13060958683490753,0.2454954832792282,0.18660898506641388,0.1026201918721199
homes,0.1709814965724945,0.07057777047157288,0.2122298777103424,1.0,0.1548708975315094,0.25636863708496094,0.1414431929588318,0.223987877368927,0.12707971036434174
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2378510683774948,0.4691906273365021,0.2561432421207428,0.3604377806186676,0.4464869201183319,0.31091248989105225
many,0.36131182312965393,0.19664129614830017,0.37253960967063904,0.3374091684818268,0.2649032473564148,0.1503066122531891,0.30594465136528015,0.40972793102264404,0.2124512493610382
of,0.33290785551071167,0.18112817406654358,1.0,0.2122298777103424,0.4854315221309662,0.1875009983778,0.35814476013183594,0.4185989499092102,0.1826142966747284
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.2442801296710968,0.4457404911518097,0.14756552875041962,0.30223485827445984,0.44095608592033386,0.25814583897590637
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.28429946303367615,0.3613572418689728,0.18168938159942627,0.1978331357240677,0.41175219416618347,0.32991164922714233
been,0.2567804455757141,0.19062602519989014,0.31685134768486023,0.2550206482410431,0.39566612243652344,0.13149011135101318,0.2256493717432022,0.39068686962127686,0.24354910850524902
restored,0.23375621438026428,0.11361876130104065,0.2796242833137512,0.1756376326084137,0.14326339960098267,0.1255602389574051,0.12707918882369995,0.20781317353248596,0.1778445541858673
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2459857165813446,0.5394441485404968,0.26126348972320557,0.32641831040382385,0.4322226941585541,0.20430970191955566
recent,0.24256184697151184,0.16975468397140503,0.2896444797515869,0.2320655733346939,0.2643822133541107,0.128650963306427,0.20261329412460327,0.3207632005214691,0.2544887959957123
decades,0.12673556804656982,0.06129062920808792,0.22400543093681335,0.2358308732509613,0.1783199906349182,0.1835944652557373,0.24155206978321075,0.29732394218444824,0.06808225065469742
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.27827757596969604,0.4569662809371948,0.2480216920375824,0.283290296792984,0.4726039469242096,0.4130953550338745
