,which,sculpture,by,rodin,was,not,donated,by,the,artist,?
rodin,0.17974749207496643,0.4559405446052551,0.17763222754001617,1.0,0.258503258228302,0.16791841387748718,0.2668737769126892,0.17763222754001617,0.22058722376823425,0.29159900546073914,0.2113768309354782
is,0.4457404911518097,0.20341666042804718,0.3899846076965332,0.1474413424730301,0.5810302495956421,0.3776007890701294,0.188657745718956,0.3899846076965332,0.5823672413825989,0.20089514553546906,0.22961433231830597
represented,0.2635336220264435,0.21276383101940155,0.23673410713672638,0.16870157420635223,0.28321829438209534,0.20617760717868805,0.18903802335262299,0.23673410713672638,0.3256146013736725,0.16785162687301636,0.11276352405548096
by,0.40543368458747864,0.17374664545059204,1.0000001192092896,0.17763222754001617,0.4752357602119446,0.291808545589447,0.24880395829677582,1.0000001192092896,0.4408751428127289,0.24115848541259766,0.17966607213020325
more,0.4639437198638916,0.18588276207447052,0.2627272307872772,0.16810345649719238,0.21525104343891144,0.4605548083782196,0.2209550440311432,0.2627272307872772,0.39758381247520447,0.1823703497648239,0.27894994616508484
than,0.3974681496620178,0.13562552630901337,0.2015816867351532,0.14158867299556732,0.1872616857290268,0.3858577013015747,0.17567910254001617,0.2015816867351532,0.3227543234825134,0.10503999888896942,0.24917294085025787
20,-0.061742693185806274,0.03474591672420502,-0.023094383999705315,0.09725194424390793,-0.09198236465454102,-0.0008739718468859792,-0.006860785651952028,-0.023094383999705315,-0.06418957561254501,-0.023105815052986145,0.11360422521829605
works,0.2730301022529602,0.27663424611091614,0.2887086570262909,0.2773949205875397,0.2401018887758255,0.21809817850589752,0.2451373040676117,0.2887086570262909,0.26337864995002747,0.27076712250709534,0.19597402215003967
in,0.4840516746044159,0.23036405444145203,0.370934396982193,0.22827556729316711,0.45514053106307983,0.3403114080429077,0.2671816647052765,0.370934396982193,0.6662389636039734,0.18431559205055237,0.20430970191955566
the,0.6521818041801453,0.23690329492092133,0.4408751428127289,0.22058722376823425,0.48711544275283813,0.4310511648654938,0.24606364965438843,0.4408751428127289,1.0,0.1862100064754486,0.22068053483963013
museum,0.22731433808803558,0.405792236328125,0.15592984855175018,0.2495928704738617,0.21266788244247437,0.08068925887346268,0.32454055547714233,0.15592984855175018,0.24861779808998108,0.213733971118927,0.14128351211547852
collection,0.30199134349823,0.3205874264240265,0.2678082287311554,0.277570903301239,0.1743653565645218,0.1327776312828064,0.3425122797489166,0.2678082287311554,0.25281965732574463,0.2585020363330841,0.20069393515586853
",",0.3658004403114319,0.2533513307571411,0.3680937886238098,0.20436488091945648,0.45456063747406006,0.3769696354866028,0.2569865584373474,0.3680937886238098,0.4933079481124878,0.2583858072757721,0.31091248989105225
making,0.38859307765960693,0.20512674748897552,0.2781944274902344,0.13563117384910583,0.28285154700279236,0.35901206731796265,0.1505230814218521,0.2781944274902344,0.35185980796813965,0.19312143325805664,0.2539324164390564
