,who,invented,the,first,nuclear,reactor,?
a.,0.0677177682518959,0.08596804738044739,-0.06011331453919411,-0.005757660139352083,-0.020872017368674278,0.05308905988931656,0.04165230318903923
michelson,0.27096688747406006,0.26414111256599426,0.20293888449668884,0.2865661084651947,0.293619841337204,0.1997704952955246,0.1441011279821396
",",0.3365725874900818,0.21420055627822876,0.4933079481124878,0.34503069519996643,0.23752127587795258,0.1914381980895996,0.31091248989105225
elementary,0.15313595533370972,0.20821888744831085,0.1842510998249054,0.17233264446258545,0.23133617639541626,0.2090645134449005,0.14365358650684357
charge,0.2713773250579834,0.1873234212398529,0.2730984687805176,0.18632015585899353,0.22255831956863403,0.24129803478717804,0.0958876758813858
calculator,0.2052597850561142,0.33345237374305725,0.1913321614265442,0.18975690007209778,0.21029092371463776,0.2948679029941559,0.19662337005138397
robert,0.2748492956161499,0.14514514803886414,0.2257954627275467,0.23740129172801971,0.1843893676996231,0.1809985488653183,0.11293095350265503
a.,0.0677177682518959,0.08596804738044739,-0.06011331453919411,-0.005757660139352083,-0.020872017368674278,0.05308905988931656,0.04165230318903923
millikan,0.27059006690979004,0.2688714265823364,0.24676664173603058,0.3456629812717438,0.2619188725948334,0.2971701920032501,0.1613718867301941
",",0.3365725874900818,0.21420055627822876,0.4933079481124878,0.34503069519996643,0.23752127587795258,0.1914381980895996,0.31091248989105225
discoverer,0.21377472579479218,0.38139861822128296,0.23508000373840332,0.2561991512775421,0.2206459492444992,0.26869890093803406,0.13923315703868866
of,0.2827862501144409,0.18887928128242493,0.733189046382904,0.3536086082458496,0.2591283917427063,0.22016942501068115,0.1826142966747284
the,0.3733934462070465,0.16009420156478882,1.0,0.49448907375335693,0.23911187052726746,0.25504618883132935,0.22068053483963013
compton,0.15395206212997437,0.17998310923576355,0.2691735029220581,0.22236625850200653,0.14268939197063446,0.11808683723211288,0.20586760342121124
effect,0.18047219514846802,0.22117303311824799,0.2865084111690521,0.2410399615764618,0.22988182306289673,0.24804888665676117,0.1783771812915802
arthur,0.19130396842956543,0.12664079666137695,0.19352269172668457,0.26154395937919617,0.17599502205848694,0.11744502931833267,0.16990946233272552
h.,-0.20266836881637573,-0.1656108796596527,-0.10884115099906921,-0.18619415163993835,-0.010368416085839272,-0.03587998449802399,-0.10847286134958267
compton,0.15395206212997437,0.17998310923576355,0.2691735029220581,0.22236625850200653,0.14268939197063446,0.11808683723211288,0.20586760342121124
",",0.3365725874900818,0.21420055627822876,0.4933079481124878,0.34503069519996643,0.23752127587795258,0.1914381980895996,0.31091248989105225
the,0.3733934462070465,0.16009420156478882,1.0,0.49448907375335693,0.23911187052726746,0.25504618883132935,0.22068053483963013
creator,0.25051745772361755,0.25983119010925293,0.20919115841388702,0.19467899203300476,0.16243280470371246,0.14130081236362457,0.2028008997440338
of,0.2827862501144409,0.18887928128242493,0.733189046382904,0.3536086082458496,0.2591283917427063,0.22016942501068115,0.1826142966747284
the,0.3733934462070465,0.16009420156478882,1.0,0.49448907375335693,0.23911187052726746,0.25504618883132935,0.22068053483963013
first,0.39065709710121155,0.3352304697036743,0.49448907375335693,1.0,0.22378550469875336,0.2098262757062912,0.18701928853988647
nuclear,0.1059286817908287,0.16073457896709442,0.23911187052726746,0.22378550469875336,1.0000001192092896,0.6266277432441711,0.1865687519311905
reactor,0.15813225507736206,0.22193390130996704,0.25504618883132935,0.2098262757062912,0.6266277432441711,1.0,0.1394413560628891
enrico,0.19534245133399963,0.19263909757137299,0.16877995431423187,0.17849797010421753,0.31907913088798523,0.2655496895313263,0.13077311217784882
fermi,0.18591725826263428,0.23276597261428833,0.18884438276290894,0.22637861967086792,0.416083425283432,0.3417300581932068,0.16229401528835297
",",0.3365725874900818,0.21420055627822876,0.4933079481124878,0.34503069519996643,0.23752127587795258,0.1914381980895996,0.31091248989105225
``,0.02397952415049076,0.014601243659853935,0.029072100296616554,0.006519378628581762,-0.04986165836453438,-0.09490422159433365,0.0685480609536171
the,0.3733934462070465,0.16009420156478882,1.0,0.49448907375335693,0.23911187052726746,0.25504618883132935,0.22068053483963013
