,this,causes,the,rock,unit,as,a,whole,to,become,longer,and,thinner,.
extension,0.3017192482948303,0.15111051499843597,0.3090997040271759,0.10581083595752716,0.16055646538734436,0.19535157084465027,0.2708335816860199,0.2111601084470749,0.3166155517101288,0.14972776174545288,0.2225753366947174,0.18303018808364868,0.20323891937732697,0.2750958800315857
causes,0.26710045337677,0.9999998807907104,0.2518732249736786,0.09984750300645828,0.08472761511802673,0.17395921051502228,0.27698835730552673,0.16341343522071838,0.2537674903869629,0.27203911542892456,0.15227927267551422,0.2964467406272888,0.2283046394586563,0.26090872287750244
the,0.6274310946464539,0.2518732249736786,1.0,0.23786304891109467,0.24230392277240753,0.48381632566452026,0.5829201340675354,0.4517841339111328,0.535392165184021,0.31731709837913513,0.361417293548584,0.5171257257461548,0.2809189558029175,0.5934505462646484
rock,0.21980036795139313,0.09984750300645828,0.23786304891109467,1.0,0.14410579204559326,0.18617595732212067,0.25165656208992004,0.12925495207309723,0.22657817602157593,0.1476992815732956,0.11701259016990662,0.2808155119419098,0.1720651090145111,0.24835698306560516
units,0.24677670001983643,0.14375251531600952,0.2691343426704407,0.1478174924850464,0.7486259937286377,0.20228685438632965,0.2457057684659958,0.23539091646671295,0.22514180839061737,0.10836708545684814,0.1731867641210556,0.2126137614250183,0.25116822123527527,0.2587635815143585
as,0.43993282318115234,0.17395921051502228,0.48381632566452026,0.18617595732212067,0.2282111644744873,1.0,0.39550232887268066,0.26461637020111084,0.42092081904411316,0.36734503507614136,0.2959308624267578,0.49487000703811646,0.27124664187431335,0.515582263469696
a,0.5422310829162598,0.27698835730552673,0.5829201340675354,0.25165656208992004,0.26746660470962524,0.39550232887268066,1.0,0.4061710238456726,0.45503583550453186,0.3215816617012024,0.3114657700061798,0.3739250600337982,0.29235607385635376,0.50484299659729
whole,0.4573236405849457,0.16341343522071838,0.4517841339111328,0.12925495207309723,0.21860963106155396,0.26461637020111084,0.4061710238456726,1.0,0.3655387759208679,0.2208758294582367,0.29386186599731445,0.28917279839515686,0.28487467765808105,0.29110342264175415
to,0.5759071707725525,0.2537674903869629,0.535392165184021,0.22657817602157593,0.19828897714614868,0.42092081904411316,0.45503583550453186,0.3655387759208679,1.0,0.36996012926101685,0.3737102746963501,0.48971283435821533,0.24828018248081207,0.4645031690597534
become,0.32014283537864685,0.27203911542892456,0.31731709837913513,0.1476992815732956,0.07888108491897583,0.36734503507614136,0.3215816617012024,0.2208758294582367,0.36996012926101685,1.0,0.3569006025791168,0.3416603207588196,0.2266475260257721,0.32859939336776733
longer,0.45648688077926636,0.15227927267551422,0.361417293548584,0.11701259016990662,0.13050678372383118,0.2959308624267578,0.3114657700061798,0.29386186599731445,0.3737102746963501,0.3569006025791168,1.0,0.28952836990356445,0.4309110641479492,0.3278593122959137
and,0.42353692650794983,0.2964467406272888,0.5171257257461548,0.2808155119419098,0.19952000677585602,0.49487000703811646,0.3739250600337982,0.28917279839515686,0.48971283435821533,0.3416603207588196,0.28952836990356445,1.0,0.32641175389289856,0.588965117931366
thinner,0.34581270813941956,0.2283046394586563,0.2809189558029175,0.1720651090145111,0.20106911659240723,0.27124664187431335,0.29235607385635376,0.28487467765808105,0.24828018248081207,0.2266475260257721,0.4309110641479492,0.32641175389289856,0.9999998807907104,0.29380983114242554
.,0.500583827495575,0.26090872287750244,0.5934505462646484,0.24835698306560516,0.2251177579164505,0.515582263469696,0.50484299659729,0.29110342264175415,0.4645031690597534,0.32859939336776733,0.3278593122959137,0.588965117931366,0.29380983114242554,1.0000001192092896
