,what,are,deacons,granted,if,they,are,appointed,as,pastor,in,a,local,church,?
deacons,0.19948117434978485,0.29669779539108276,0.9999999403953552,0.19139422476291656,0.15129350125789642,0.35086071491241455,0.29669779539108276,0.33201563358306885,0.2576013207435608,0.3771989941596985,0.19536463916301727,0.19436484575271606,0.1740892231464386,0.42201054096221924,0.1353975385427475
assist,0.2079332321882248,0.2231636494398117,0.2824859917163849,0.2849510908126831,0.2755957841873169,0.20185276865959167,0.2231636494398117,0.33278757333755493,0.3043099045753479,0.20364047586917877,0.1882847547531128,0.22511160373687744,0.1878248006105423,0.10448620468378067,0.1584155559539795
elders,0.1815560907125473,0.1925610899925232,0.36311930418014526,0.22465857863426208,0.204055055975914,0.2968265116214752,0.1925610899925232,0.2789372503757477,0.14939628541469574,0.2443099021911621,0.1353733092546463,0.15844552218914032,0.21094626188278198,0.22644998133182526,0.11241849511861801
in,0.30808621644973755,0.3841303884983063,0.19536463916301727,0.21880222856998444,0.2589588761329651,0.4330179989337921,0.3841303884983063,0.23088723421096802,0.3887844979763031,0.203180730342865,1.0,0.539380669593811,0.2223825752735138,0.2493300437927246,0.20430970191955566
the,0.42745697498321533,0.40399202704429626,0.28766658902168274,0.27588096261024475,0.33724796772003174,0.49925389885902405,0.40399202704429626,0.2626524269580841,0.48381632566452026,0.13653714954853058,0.6662389636039734,0.5829201340675354,0.2130540907382965,0.23846197128295898,0.22068053483963013
sacraments,0.2700600326061249,0.2944084703922272,0.5029195547103882,0.1951986849308014,0.23749597370624542,0.29086053371429443,0.2944084703922272,0.2412993460893631,0.21203775703907013,0.3251434564590454,0.18858598172664642,0.1798344850540161,0.19365964829921722,0.40464910864830017,0.1550581455230713
of,0.33290785551071167,0.39081433415412903,0.2586137056350708,0.32803481817245483,0.2557544410228729,0.3426007330417633,0.39081433415412903,0.3280673027038574,0.3886612355709076,0.173655703663826,0.5696388483047485,0.5052502155303955,0.20668989419937134,0.3079429268836975,0.1826142966747284
holy,0.21269184350967407,0.11163660883903503,0.3083884119987488,0.27061927318573,0.1645219922065735,0.16426382958889008,0.11163660883903503,0.1791253238916397,0.18535472452640533,0.23048129677772522,0.2163282334804535,0.19890426099300385,0.1358339786529541,0.4132955074310303,0.18148104846477509
communion,0.20635846257209778,0.284186452627182,0.41857218742370605,0.24735550582408905,0.1912563145160675,0.24501991271972656,0.284186452627182,0.27147653698921204,0.2247954159975052,0.39706483483314514,0.19935038685798645,0.24468812346458435,0.22909291088581085,0.553836464881897,0.17005951702594757
and,0.31309178471565247,0.48576638102531433,0.2748076021671295,0.20955990254878998,0.3498523235321045,0.5073080658912659,0.48576638102531433,0.2608291208744049,0.49487000703811646,0.19818736612796783,0.4954058527946472,0.3739250600337982,0.2468787580728531,0.1976170688867569,0.20544172823429108
baptism,0.23295360803604126,0.13698863983154297,0.34633126854896545,0.23237751424312592,0.15675543248653412,0.14861378073692322,0.13698863983154297,0.12799572944641113,0.18410710990428925,0.43276411294937134,0.12040549516677856,0.14281411468982697,0.11967598646879196,0.5213735699653625,0.18744641542434692
",",0.3087472915649414,0.4062570035457611,0.2645339369773865,0.2980138957500458,0.257730096578598,0.390799880027771,0.4062570035457611,0.27665549516677856,0.48816442489624023,0.25443756580352783,0.5201468467712402,0.427140474319458,0.20673875510692596,0.2707274258136749,0.31091248989105225
