,who,hired,tesla,in,1888,?
in,0.2792111933231354,0.18746300041675568,0.17097744345664978,1.0,0.13696274161338806,0.20430970191955566
july,0.2606464624404907,0.16934508085250854,0.1044287383556366,0.26500701904296875,0.10143990814685822,0.2897891402244568
1888,0.13229268789291382,0.026238486170768738,0.12613868713378906,0.13696274161338806,1.0000001192092896,0.07625395059585571
",",0.3365725874900818,0.19597217440605164,0.20599327981472015,0.5201468467712402,0.12918877601623535,0.31091248989105225
brown,0.2131863683462143,0.23996704816818237,0.07134627550840378,0.20236437022686005,0.1264459490776062,0.18920691311359406
and,0.41279885172843933,0.2731825113296509,0.19560420513153076,0.4954058527946472,0.1184256449341774,0.20544172823429108
peck,0.2801194190979004,0.2131073772907257,0.09895811975002289,0.2105751633644104,0.12512972950935364,0.22361880540847778
negotiated,0.21122373640537262,0.35304391384124756,0.13065177202224731,0.2906990051269531,0.05843335762619972,0.09223373234272003
a,0.36608949303627014,0.1733359545469284,0.2211925983428955,0.539380669593811,0.1832958608865738,0.23916715383529663
licensing,0.21822284162044525,0.21222297847270966,0.19400954246520996,0.16309748589992523,0.10876548290252686,0.23048727214336395
deal,0.25110870599746704,0.23505279421806335,0.15370967984199524,0.23030675947666168,0.0644935816526413,0.2513751685619354
with,0.3282766342163086,0.23727227747440338,0.16424812376499176,0.4080928862094879,0.12261278927326202,0.2433311939239502
george,0.25805044174194336,0.17752279341220856,0.1784614771604538,0.18167929351329803,0.09634005278348923,0.1479024887084961
westinghouse,0.23585543036460876,0.3047245144844055,0.35764777660369873,0.2579890191555023,0.05404873937368393,0.17307911813259125
for,0.37110671401023865,0.2668524980545044,0.13983871042728424,0.4322226941585541,0.11201612651348114,0.264628142118454
tesla,0.1520961970090866,0.15152283012866974,0.9999999403953552,0.17097744345664978,0.12613868713378906,0.10250775516033173
's,0.05599616840481758,-0.030750012025237083,0.06449045985937119,-0.037580832839012146,0.00017254317936021835,-0.023395681753754616
polyphase,0.19903063774108887,0.04821227490901947,0.148346409201622,0.20455771684646606,0.180828258395195,0.13757970929145813
induction,0.1360868364572525,0.11356659233570099,0.3487966060638428,0.18288569152355194,0.13599686324596405,0.1510571390390396
motor,0.1466689109802246,0.1490972638130188,0.3617369830608368,0.21732762455940247,0.12562808394432068,0.0637441948056221
and,0.41279885172843933,0.2731825113296509,0.19560420513153076,0.4954058527946472,0.1184256449341774,0.20544172823429108
transformer,0.26836028695106506,0.17067305743694305,0.2919376790523529,0.16120894253253937,0.06859680265188217,0.10542736202478409
designs,0.1905442327260971,0.29091355204582214,0.2896032929420471,0.18954916298389435,0.07252877205610275,0.12927207350730896
for,0.37110671401023865,0.2668524980545044,0.13983871042728424,0.4322226941585541,0.11201612651348114,0.264628142118454
$,0.14688296616077423,0.26103079319000244,0.23458653688430786,0.21616753935813904,0.225019171833992,0.2786129117012024
"60,000",-0.005649313796311617,0.10292654484510422,-0.03314570337533951,-0.005461204797029495,-0.03602670505642891,0.017969369888305664
in,0.2792111933231354,0.18746300041675568,0.17097744345664978,1.0,0.13696274161338806,0.20430970191955566
cash,0.2100055068731308,0.2112705111503601,0.21231217682361603,0.14899717271327972,0.09670203179121017,0.19009602069854736
and,0.41279885172843933,0.2731825113296509,0.19560420513153076,0.4954058527946472,0.1184256449341774,0.20544172823429108
stock,0.12242768704891205,0.12913478910923004,0.17497079074382782,0.20128266513347626,0.014878552407026291,0.14784406125545502
and,0.41279885172843933,0.2731825113296509,0.19560420513153076,0.4954058527946472,0.1184256449341774,0.20544172823429108
a,0.36608949303627014,0.1733359545469284,0.2211925983428955,0.539380669593811,0.1832958608865738,0.23916715383529663
royalty,0.19702699780464172,0.10547295957803726,0.19688311219215393,0.17315049469470978,-0.014268011786043644,0.17703236639499664
of,0.2827862501144409,0.10122424364089966,0.18837453424930573,0.5696388483047485,0.16667240858078003,0.1826142966747284
$,0.14688296616077423,0.26103079319000244,0.23458653688430786,0.21616753935813904,0.225019171833992,0.2786129117012024
2.50,-0.1850644201040268,-0.18414893746376038,-0.1272410899400711,-0.03540473431348801,-0.20561769604682922,-0.2835139334201813
per,0.13033156096935272,0.05477141961455345,0.2078201323747635,0.1975519210100174,0.1772303730249405,0.22323818504810333
ac,0.12106219679117203,0.03804454952478409,0.31766265630722046,0.09242649376392365,0.09188488125801086,0.19071458280086517
horsepower,0.14946995675563812,0.149140402674675,0.42120325565338135,0.17095385491847992,0.26487770676612854,0.2179865539073944
produced,0.12907662987709045,0.28502222895622253,0.1640479862689972,0.2542861998081207,0.15093201398849487,0.1623450517654419
by,0.39727845788002014,0.2718183696269989,0.16513796150684357,0.370934396982193,0.09257477521896362,0.17966607213020325
each,0.27337536215782166,0.13882282376289368,0.16513977944850922,0.30816060304641724,0.2025080770254135,0.21173812448978424
motor,0.1466689109802246,0.1490972638130188,0.3617369830608368,0.21732762455940247,0.12562808394432068,0.0637441948056221
.,0.3541337847709656,0.20825324952602386,0.17949827015399933,0.5591574311256409,0.15230658650398254,0.4130953550338745
