,what,did,his,design,avoid,in,not,having,a,commutator,?
this,0.5489566326141357,0.3609912693500519,0.3549620509147644,0.26571303606033325,0.3292587697505951,0.45205554366111755,0.557635486125946,0.4056638777256012,0.5422310829162598,0.1742018163204193,0.3155723512172699
innovative,0.20474673807621002,0.1849694401025772,0.21910503506660461,0.4020383954048157,0.20096516609191895,0.2283012419939041,0.26326996088027954,0.2135176956653595,0.3301420509815216,0.23154859244823456,0.20593076944351196
electric,0.15451551973819733,0.12459144741296768,0.1696784496307373,0.21938520669937134,0.11676958203315735,0.19779469072818756,0.15085411071777344,0.1804356426000595,0.24061402678489685,0.2532157599925995,0.15674720704555511
motor,0.18952611088752747,0.13840025663375854,0.18394465744495392,0.3118845522403717,0.12713244557380676,0.21732762455940247,0.16915901005268097,0.19791822135448456,0.23198452591896057,0.31020697951316833,0.0637441948056221
",",0.3087472915649414,0.3015086054801941,0.3378419280052185,0.19350415468215942,0.22226782143115997,0.5201468467712402,0.3769696354866028,0.3154076039791107,0.427140474319458,0.2323647141456604,0.31091248989105225
patented,0.1101711094379425,0.17659124732017517,0.14803577959537506,0.37964653968811035,0.12016626447439194,0.1809646189212799,0.19138287007808685,0.1803184598684311,0.2284489870071411,0.21110178530216217,0.08803384751081467
in,0.30808621644973755,0.2593238651752472,0.3598145842552185,0.21856798231601715,0.2092532515525818,1.0,0.3403114080429077,0.32022708654403687,0.539380669593811,0.2257746160030365,0.20430970191955566
may,0.25739946961402893,0.3038632869720459,0.17931339144706726,0.15666541457176208,0.21887119114398956,0.3424151837825775,0.39885732531547546,0.29920798540115356,0.29255667328834534,0.13065417110919952,0.2768254578113556
1888,0.15734994411468506,0.08121363818645477,0.12162206321954727,0.0887383297085762,0.03708604723215103,0.13696274161338806,0.08176608383655548,0.13712310791015625,0.1832958608865738,0.21428298950195312,0.07625395059585571
",",0.3087472915649414,0.3015086054801941,0.3378419280052185,0.19350415468215942,0.22226782143115997,0.5201468467712402,0.3769696354866028,0.3154076039791107,0.427140474319458,0.2323647141456604,0.31091248989105225
was,0.22111038863658905,0.41399896144866943,0.4405253231525421,0.2780803442001343,0.16494938731193542,0.45514053106307983,0.2888734042644501,0.2792723774909973,0.4508470594882965,0.17025943100452423,0.18412111699581146
a,0.3320399522781372,0.2552328109741211,0.3497250974178314,0.25211480259895325,0.2583659291267395,0.539380669593811,0.3791346549987793,0.3929923176765442,1.0,0.2885395586490631,0.23916715383529663
simple,0.4218197166919708,0.24971726536750793,0.20944049954414368,0.22702054679393768,0.33926206827163696,0.18105459213256836,0.4411424398422241,0.31337857246398926,0.34160614013671875,0.2271370142698288,0.4614735543727875
self-starting,0.3427344560623169,0.26544177532196045,0.2864859700202942,0.25672903656959534,0.25678372383117676,0.3436002731323242,0.35617896914482117,0.30192241072654724,0.3869573473930359,0.3525470197200775,0.2861192524433136
design,0.23893405497074127,0.23409053683280945,0.17410343885421753,1.0000001192092896,0.17023776471614838,0.21856798231601715,0.21063774824142456,0.16814690828323364,0.25211480259895325,0.21169954538345337,0.16351860761642456
