,of,what,material,were,the,death,rays,pellets,made,?
his,0.38364991545677185,0.26976513862609863,0.23005783557891846,0.3142043352127075,0.4394008219242096,0.3678654432296753,0.14173176884651184,0.15769526362419128,0.29201897978782654,0.18075084686279297
records,0.17885147035121918,0.17999422550201416,0.20914049446582794,0.17725536227226257,0.23809710144996643,0.17810457944869995,0.07802628725767136,0.10537207871675491,0.17269983887672424,0.12384546548128128
indicate,0.25098979473114014,0.24538113176822662,0.26573917269706726,0.19501860439777374,0.2430160641670227,0.1399003267288208,0.13734811544418335,0.11711740493774414,0.158477783203125,0.23544088006019592
that,0.41498205065727234,0.6297725439071655,0.3408452570438385,0.35517072677612305,0.5473989248275757,0.25607815384864807,0.2559034526348114,0.2558326721191406,0.3437977731227875,0.32716336846351624
the,0.733189046382904,0.42745697498321533,0.26762521266937256,0.3906462490558624,1.0,0.21438048779964447,0.22839847207069397,0.24087105691432953,0.3885267674922943,0.22068053483963013
device,0.17168864607810974,0.2484142780303955,0.34263795614242554,0.08910427242517471,0.2555081248283386,0.08157379925251007,0.2727855145931244,0.33651822805404663,0.17569869756698608,0.09819377958774567
is,0.4854315221309662,0.28837618231773376,0.2518187463283539,0.29386836290359497,0.5823672413825989,0.17991963028907776,0.16911551356315613,0.26972612738609314,0.29543453454971313,0.22961433231830597
based,0.3033197224140167,0.274813175201416,0.09989212453365326,0.2693869471549988,0.29860720038414,0.12771956622600555,0.15491338074207306,0.10540314018726349,0.3004448413848877,0.134929820895195
on,0.3966929316520691,0.34226128458976746,0.26862505078315735,0.2774328887462616,0.5107308030128479,0.16915851831436157,0.15001645684242249,0.19249722361564636,0.37619519233703613,0.2714994251728058
a,0.5052502155303955,0.3320399522781372,0.28408434987068176,0.17203083634376526,0.5829201340675354,0.16249743103981018,0.16786757111549377,0.3294554650783539,0.3180864453315735,0.23916715383529663
narrow,0.248264878988266,0.21173065900802612,0.21097250282764435,0.18402600288391113,0.3104094862937927,0.06719844043254852,0.24805130064487457,0.19366782903671265,0.16902382671833038,0.1023377925157547
stream,0.1779453009366989,0.15652818977832794,0.232383593916893,0.090183787047863,0.2507912814617157,0.036104679107666016,0.1984415352344513,0.15468758344650269,0.11378875374794006,0.11238504201173782
of,1.0,0.33290785551071167,0.27520954608917236,0.34038281440734863,0.733189046382904,0.23778599500656128,0.20951195061206818,0.20625127851963043,0.33167365193367004,0.1826142966747284
small,0.353353351354599,0.2504110634326935,0.2269369512796402,0.2632170021533966,0.39655908942222595,0.04472905769944191,0.212282195687294,0.2998603582382202,0.25679367780685425,0.13914890587329865
tungsten,0.1991235911846161,0.17547520995140076,0.3596150279045105,0.16006159782409668,0.2307133823633194,0.12005127966403961,0.33276209235191345,0.3817903995513916,0.2750685214996338,0.11468294262886047
pellets,0.20625127851963043,0.110909104347229,0.30218303203582764,0.16654831171035767,0.24087105691432953,0.1592874675989151,0.2788119912147522,0.9999999403953552,0.2677989900112152,0.16517013311386108
that,0.41498205065727234,0.6297725439071655,0.3408452570438385,0.35517072677612305,0.5473989248275757,0.25607815384864807,0.2559034526348114,0.2558326721191406,0.3437977731227875,0.32716336846351624
are,0.39081433415412903,0.29724663496017456,0.25142809748649597,0.6489362716674805,0.40399202704429626,0.11845523118972778,0.24376912415027618,0.2877957820892334,0.2941095530986786,0.24591213464736938
accelerated,0.2292671948671341,0.2256019562482834,0.2574540078639984,0.18124254047870636,0.24464751780033112,0.17437629401683807,0.2920907735824585,0.20563681423664093,0.16152657568454742,0.12856028974056244
via,0.1293322592973709,0.16736915707588196,0.15328675508499146,0.11589916050434113,0.23979412019252777,0.03204137831926346,0.1317080855369568,0.05850375071167946,0.10171922296285629,0.19443516433238983
high,0.2803038954734802,0.20466077327728271,0.20993101596832275,0.15924203395843506,0.28034812211990356,0.16574876010417938,0.22239281237125397,0.12254773080348969,0.1815108060836792,0.11137914657592773
voltage,0.16948643326759338,0.21734528243541718,0.3587493300437927,0.16856728494167328,0.22843067348003387,0.16097605228424072,0.294960618019104,0.22570133209228516,0.157304584980011,0.16769391298294067
(,0.35032153129577637,0.2411840260028839,0.1441175639629364,0.14743882417678833,0.33289089798927307,0.15356801450252533,0.21276506781578064,0.169943705201149,0.20796485245227814,0.40561532974243164
by,0.3646814823150635,0.2455483376979828,0.21369655430316925,0.4406847059726715,0.4408751428127289,0.23285827040672302,0.13005127012729645,0.19939905405044556,0.34175434708595276,0.17966607213020325
means,0.29942914843559265,0.2553325295448303,0.24632413685321808,0.1760343760251999,0.32225894927978516,0.06672811508178711,0.16814783215522766,0.14830408990383148,0.21353085339069366,0.21233566105365753
akin,0.2078983187675476,0.29544252157211304,0.2666234076023102,0.17215900123119354,0.19404323399066925,0.12708072364330292,0.09756768494844437,0.1377279907464981,0.1562654674053192,0.25172919034957886
to,0.41548454761505127,0.455847829580307,0.29219651222229004,0.31913647055625916,0.535392165184021,0.19568277895450592,0.24316629767417908,0.2555795907974243,0.3377571105957031,0.29463258385658264
his,0.38364991545677185,0.26976513862609863,0.23005783557891846,0.3142043352127075,0.4394008219242096,0.3678654432296753,0.14173176884651184,0.15769526362419128,0.29201897978782654,0.18075084686279297
magnifying,0.3054589033126831,0.2841658294200897,0.3268473446369171,0.1254461705684662,0.27377721667289734,0.1146794781088829,0.3036050796508789,0.24324829876422882,0.21729126572608948,0.2310979813337326
transformer,0.2702288031578064,0.16914811730384827,0.24926726520061493,0.11228878796100616,0.23115745186805725,0.15866640210151672,0.1622105836868286,0.21356353163719177,0.1831393986940384,0.10542736202478409
),0.3680361211299896,0.26259949803352356,0.14725950360298157,0.1566188633441925,0.3456730246543884,0.18010789155960083,0.17775265872478485,0.16620944440364838,0.22539687156677246,0.42300865054130554
.,0.5352458953857422,0.3567904531955719,0.24824832379817963,0.3378238379955292,0.5934505462646484,0.24631039798259735,0.17002330720424652,0.29177603125572205,0.4032190144062042,0.4130953550338745
