,how,far,did,the,sea,level,drop,in,the,ice,ages,?
since,0.2347431182861328,0.327460914850235,0.27613121271133423,0.4054957628250122,0.15245658159255981,0.23897820711135864,0.10242795199155807,0.4325680434703827,0.4054957628250122,0.16192100942134857,0.2670823037624359,0.2876587212085724
approximately,0.17167454957962036,0.28313279151916504,0.10670274496078491,0.33137547969818115,0.22330090403556824,0.18121935427188873,0.17266075313091278,0.3145860731601715,0.33137547969818115,0.15655319392681122,0.19268423318862915,0.10237617790699005
"600,000",0.13321542739868164,-0.055653028190135956,0.1498323678970337,0.07101691514253616,-0.07822331041097641,0.045788392424583435,0.07719191163778305,0.007453162223100662,0.07101691514253616,0.07043095678091049,0.08865704387426376,0.11965212970972061
years,0.21949264407157898,0.23578692972660065,0.2695724070072174,0.2912273406982422,0.14155210554599762,0.1529536247253418,0.13910895586013794,0.33554986119270325,0.2912273406982422,0.20277342200279236,0.3761079013347626,0.1914375126361847
ago,0.3028433620929718,0.254878968000412,0.19972491264343262,0.23063679039478302,0.2567644417285919,0.17056135833263397,0.1268174797296524,0.2414315938949585,0.23063679039478302,0.25471147894859314,0.3802117109298706,0.2202194780111313
",",0.22659391164779663,0.346853643655777,0.3015086054801941,0.4933079481124878,0.30078184604644775,0.23317520320415497,0.21217185258865356,0.5201468467712402,0.4933079481124878,0.23877936601638794,0.20853061974048615,0.31091248989105225
six,0.20644865930080414,0.185337632894516,0.20388470590114594,0.3614266812801361,0.21904005110263824,0.14942988753318787,0.12626832723617554,0.3013422191143036,0.3614266812801361,0.14045478403568268,0.1257263720035553,0.15298804640769958
major,0.12500809133052826,0.1403573602437973,0.20997437834739685,0.31775903701782227,0.19465169310569763,0.19781681895256042,0.05124465748667717,0.3249945342540741,0.31775903701782227,0.16575108468532562,0.1106913611292839,0.19788557291030884
ice,0.14110125601291656,0.12578129768371582,0.11581595242023468,0.22322975099086761,0.21768063306808472,0.1979951411485672,0.1828448325395584,0.18398158252239227,0.22322975099086761,1.0000001192092896,0.25899574160575867,0.1261633038520813
ages,0.2198406457901001,0.2044934332370758,0.17693941295146942,0.28271523118019104,0.19491682946681976,0.20934328436851501,0.12271127849817276,0.23238429427146912,0.28271523118019104,0.25899574160575867,1.0,0.16701677441596985
have,0.4370637536048889,0.3647712469100952,0.3783526122570038,0.40389683842658997,0.19277073442935944,0.28482067584991455,0.27503377199172974,0.36843645572662354,0.40389683842658997,0.18945515155792236,0.23925703763961792,0.32991164922714233
occurred,0.11476008594036102,0.19894109666347504,0.2772168517112732,0.3372073173522949,0.1577189564704895,0.17505086958408356,0.14193551242351532,0.3479720652103424,0.3372073173522949,0.15090397000312805,0.20791912078857422,0.15880417823791504
",",0.22659391164779663,0.346853643655777,0.3015086054801941,0.4933079481124878,0.30078184604644775,0.23317520320415497,0.21217185258865356,0.5201468467712402,0.4933079481124878,0.23877936601638794,0.20853061974048615,0.31091248989105225
in,0.2601168751716614,0.2599720060825348,0.2593238651752472,0.6662389636039734,0.2302369773387909,0.279204785823822,0.18230557441711426,1.0,0.6662389636039734,0.18398158252239227,0.23238429427146912,0.20430970191955566
which,0.4852597713470459,0.26849839091300964,0.2750149369239807,0.6521818041801453,0.25416871905326843,0.3123716711997986,0.30560606718063354,0.4840516746044159,0.6521818041801453,0.18831948935985565,0.24161876738071442,0.25814583897590637
sea,0.16549281775951385,0.2322877198457718,0.1665116548538208,0.30363768339157104,1.0,0.3468961715698242,0.21258486807346344,0.2302369773387909,0.30363768339157104,0.21768063306808472,0.19491682946681976,0.15551945567131042
level,0.27169108390808105,0.1786092221736908,0.1976850926876068,0.31442487239837646,0.3468961715698242,0.9999998807907104,0.3109046518802643,0.279204785823822,0.31442487239837646,0.1979951411485672,0.20934328436851501,0.20528386533260345
dropped,0.16252435743808746,0.18471777439117432,0.3167249262332916,0.2875209450721741,0.1121039167046547,0.24696438014507294,0.5324323177337646,0.22307343780994415,0.2875209450721741,0.17559555172920227,0.11209046840667725,0.1272711455821991
120,-0.09803985804319382,0.05466734990477562,0.0904313176870346,0.19426260888576508,-0.011943351477384567,0.04845723882317543,-0.03061887063086033,0.2371283769607544,0.19426260888576508,0.028560196980834007,-0.01717783510684967,0.01702505350112915
