,what,protection,comes,after,the,innate,response,?
if,0.5277165174484253,0.2839553654193878,0.15695852041244507,0.2528844475746155,0.33724796772003174,0.27825209498405457,0.2783529460430145,0.4441644251346588
pathogens,0.24503889679908752,0.28533244132995605,0.18280935287475586,0.1809246838092804,0.23115308582782745,0.5864718556404114,0.33384186029434204,0.21364152431488037
successfully,0.20084762573242188,0.196161687374115,0.04078719764947891,0.3572782576084137,0.32525569200515747,0.25022539496421814,0.2981874644756317,0.0971045047044754
evade,0.24703608453273773,0.35728946328163147,0.11745579540729523,0.15875288844108582,0.22844162583351135,0.36611708998680115,0.3475566804409027,0.2483198642730713
the,0.42745697498321533,0.26689648628234863,0.32399529218673706,0.4565047025680542,1.0,0.2196919023990631,0.28909924626350403,0.22068053483963013
innate,0.2683543860912323,0.22561760246753693,0.16884258389472961,0.10644978284835815,0.2196919023990631,1.0000001192092896,0.4607735872268677,0.16386382281780243
response,0.3532308340072632,0.3009861409664154,0.16555187106132507,0.2113122195005417,0.28909924626350403,0.4607735872268677,1.0000001192092896,0.2007838636636734
",",0.3087472915649414,0.2575337290763855,0.289667546749115,0.38860568404197693,0.4933079481124878,0.16148243844509125,0.24039098620414734,0.31091248989105225
vertebrates,0.21643035113811493,0.22904936969280243,0.1951778084039688,0.1396726667881012,0.3000766634941101,0.4854750335216522,0.24205924570560455,0.19819197058677673
possess,0.26773881912231445,0.2817692756652832,0.17834940552711487,0.1443764865398407,0.2654380798339844,0.4164798855781555,0.20598825812339783,0.1285712569952011
a,0.3320399522781372,0.26957836747169495,0.2963891625404358,0.3831600844860077,0.5829201340675354,0.22946256399154663,0.25924429297447205,0.23916715383529663
second,0.19948028028011322,0.11360366642475128,0.15581221878528595,0.3736267685890198,0.4620301127433777,0.09745554625988007,0.1863795667886734,0.17239587008953094
layer,0.20606225728988647,0.2894596457481384,0.22609864175319672,0.1207934245467186,0.22831332683563232,0.3268699645996094,0.14953139424324036,0.11266916990280151
of,0.33290785551071167,0.22774651646614075,0.2978210747241974,0.3867455720901489,0.733189046382904,0.255485475063324,0.21864040195941925,0.1826142966747284
protection,0.24867326021194458,1.0,0.15228721499443054,0.1730344146490097,0.26689648628234863,0.22561760246753693,0.3009861409664154,0.21348094940185547
",",0.3087472915649414,0.2575337290763855,0.289667546749115,0.38860568404197693,0.4933079481124878,0.16148243844509125,0.24039098620414734,0.31091248989105225
the,0.42745697498321533,0.26689648628234863,0.32399529218673706,0.4565047025680542,1.0,0.2196919023990631,0.28909924626350403,0.22068053483963013
adaptive,0.22806508839130402,0.2143101841211319,0.16345182061195374,0.18860435485839844,0.25968632102012634,0.526890218257904,0.3731633722782135,0.12147218734025955
immune,0.2410416603088379,0.23693980276584625,0.11307404190301895,0.15239761769771576,0.21364226937294006,0.6130988597869873,0.43541768193244934,0.16080476343631744
system,0.23557309806346893,0.22491855919361115,0.14881634712219238,0.1537032574415207,0.3233085572719574,0.3689802289009094,0.2933112382888794,0.15556083619594574
",",0.3087472915649414,0.2575337290763855,0.289667546749115,0.38860568404197693,0.4933079481124878,0.16148243844509125,0.24039098620414734,0.31091248989105225
which,0.5261979103088379,0.30457010865211487,0.2863384485244751,0.3217443823814392,0.6521818041801453,0.36236342787742615,0.33102378249168396,0.25814583897590637
is,0.28837618231773376,0.2101222276687622,0.4279782474040985,0.2835143506526947,0.5823672413825989,0.1780463606119156,0.21022158861160278,0.22961433231830597
activated,0.21431195735931396,0.2702887952327728,0.12547340989112854,0.21590889990329742,0.2966001629829407,0.39780083298683167,0.3819968104362488,0.23727594316005707
by,0.2455483376979828,0.16545379161834717,0.14446964859962463,0.41259682178497314,0.4408751428127289,0.20461761951446533,0.2863168716430664,0.17966607213020325
the,0.42745697498321533,0.26689648628234863,0.32399529218673706,0.4565047025680542,1.0,0.2196919023990631,0.28909924626350403,0.22068053483963013
innate,0.2683543860912323,0.22561760246753693,0.16884258389472961,0.10644978284835815,0.2196919023990631,1.0000001192092896,0.4607735872268677,0.16386382281780243
response,0.3532308340072632,0.3009861409664154,0.16555187106132507,0.2113122195005417,0.28909924626350403,0.4607735872268677,1.0000001192092896,0.2007838636636734
.,0.3567904531955719,0.2332351952791214,0.17545032501220703,0.35870397090911865,0.5934505462646484,0.2064800262451172,0.2878446877002716,0.4130953550338745
