,where,was,france,concentraing,efforts,?
france,0.21451038122177124,0.2715669870376587,1.0000001192092896,0.22285087406635284,0.19149892032146454,0.15069349110126495
concentrated,0.27967604994773865,0.22351744771003723,0.20938585698604584,0.8417222499847412,0.2409793883562088,0.11501483619213104
its,0.27530840039253235,0.3518870174884796,0.21158620715141296,0.2653891444206238,0.23206721246242523,0.15103481709957123
forces,0.20385611057281494,0.22620010375976562,0.2028265744447708,0.2372802346944809,0.3153339624404907,0.16984491050243378
against,0.27812469005584717,0.22972732782363892,0.13826583325862885,0.17781661450862885,0.26966172456741333,0.18095137178897858
prussia,0.12945537269115448,0.2695194482803345,0.4247954189777374,0.23544920980930328,0.19648879766464233,0.09988865256309509
and,0.43859338760375977,0.3740963041782379,0.2925812005996704,0.3722371459007263,0.3115611970424652,0.20544172823429108
its,0.27530840039253235,0.3518870174884796,0.21158620715141296,0.2653891444206238,0.23206721246242523,0.15103481709957123
allies,0.1211005300283432,0.28652453422546387,0.2978318929672241,0.24883948266506195,0.31052467226982117,0.16798950731754303
in,0.5344807505607605,0.45514053106307983,0.3812309503555298,0.29586318135261536,0.21540255844593048,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,0.35517507791519165,0.2747010886669159,0.26890742778778076,0.22068053483963013
european,0.17414534091949463,0.22463937103748322,0.290926992893219,0.17712795734405518,0.18679024279117584,0.14560863375663757
theatre,0.2170681208372116,0.2824205458164215,0.19653582572937012,0.16387887299060822,0.1301550269126892,0.1159285232424736
of,0.38066378235816956,0.4069072902202606,0.3265724182128906,0.2962282598018646,0.23738951981067657,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,0.35517507791519165,0.2747010886669159,0.26890742778778076,0.22068053483963013
war,0.2167234867811203,0.3560331463813782,0.2819103002548218,0.2563668489456177,0.32331201434135437,0.15510529279708862
.,0.41390106081962585,0.40146201848983765,0.33719199895858765,0.2972933053970337,0.22250142693519592,0.4130953550338745
