,what,type,of,climate,does,kenya,have,?
kenya,0.18398970365524292,0.1258518099784851,0.22226637601852417,0.18503479659557343,0.15162554383277893,1.0,0.17783501744270325,0.17197901010513306
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.2747833728790283,0.42885294556617737,0.18851779401302338,0.6353569626808167,0.15994466841220856
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1805623322725296,0.38201746344566345,0.1701713502407074,0.338716596364975,0.23916715383529663
warm,0.23657123744487762,0.16283389925956726,0.21449124813079834,0.5317013263702393,0.20650042593479156,0.10059690475463867,0.26444724202156067,0.15442228317260742
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2292918860912323,0.3461615741252899,0.20742860436439514,0.4711785912513733,0.20544172823429108
humid,0.20818693935871124,0.1742132157087326,0.21882779896259308,0.676008403301239,0.1943783313035965,0.16016477346420288,0.18073670566082,0.18080666661262512
tropical,0.204971045255661,0.14161665737628937,0.18125450611114502,0.37714511156082153,0.12278344482183456,0.17994311451911926,0.23852360248565674,0.16629411280155182
climate,0.2854173183441162,0.23705290257930756,0.25840428471565247,1.0000001192092896,0.22213737666606903,0.18503479659557343,0.2120167762041092,0.19998492300510406
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.23228000104427338,0.2568802833557129,0.18445201218128204,0.36494916677474976,0.2714994251728058
its,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.25045743584632874,0.33437713980674744,0.1375100165605545,0.3852778375148773,0.15103481709957123
indian,0.18037962913513184,0.09164533019065857,0.24303589761257172,0.14051803946495056,0.11206359416246414,0.2965203821659088,0.14501652121543884,0.09909533709287643
ocean,0.21858152747154236,0.07601698487997055,0.25798606872558594,0.34318622946739197,0.1630823165178299,0.2293577343225479,0.20145320892333984,0.15205028653144836
coastline,0.2966231405735016,0.1099032610654831,0.27101853489875793,0.3260265290737152,0.16715572774410248,0.24258941411972046,0.22990518808364868,0.17697879672050476
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22208234667778015,0.3022993505001068,0.24234211444854736,0.41614407300949097,0.4130953550338745
