,what,was,the,style,of,luther,'s,salute,at,the,end,of,his,speech,?
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.1690666377544403,0.42558613419532776,0.13834704458713531,-0.08481216430664062,0.2164013385772705,1.0,0.457212895154953,0.3223728835582733,0.42558613419532776,0.27659502625465393,0.1494930535554886,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.2331719547510147,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.2599598467350006,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,0.4394008219242096,0.2542078197002411,0.22068053483963013
end,0.29234179854393005,0.19220198690891266,0.39658910036087036,0.18965694308280945,0.2215006798505783,0.08824415504932404,0.030466308817267418,0.14193303883075714,0.3223728835582733,0.39658910036087036,1.0,0.2215006798505783,0.18775546550750732,0.15346060693264008,0.12543344497680664
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23203764855861664,1.0,0.1719115972518921,-0.03817026689648628,0.24833343923091888,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.38364991545677185,0.23325279355049133,0.1826142966747284
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.2789948880672455,0.45148900151252747,0.17328955233097076,0.02106832154095173,0.19321368634700775,0.32544323801994324,0.6274310946464539,0.33479824662208557,0.45148900151252747,0.3549620509147644,0.260648638010025,0.3155723512172699
speech,0.2549518346786499,0.19483859837055206,0.2542078197002411,0.13373643159866333,0.23325279355049133,0.2792437970638275,-0.031413331627845764,0.23458579182624817,0.1494930535554886,0.2542078197002411,0.15346060693264008,0.23325279355049133,0.24528160691261292,1.0,0.1412617564201355
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2071632742881775,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.25171998143196106,0.38314947485923767,0.4933079481124878,0.25448864698410034,0.4946078956127167,0.3378419280052185,0.19290532171726227,0.31091248989105225
luther,0.2134782373905182,0.19185513257980347,0.1759674996137619,0.1673441231250763,0.1719115972518921,1.0,-0.009990512393414974,0.2154252529144287,0.13834704458713531,0.1759674996137619,0.08824415504932404,0.1719115972518921,0.27093374729156494,0.2792437970638275,0.1732746809720993
raised,0.12998360395431519,0.29697737097740173,0.2089216411113739,0.06643330305814743,0.21491092443466187,0.1631360948085785,-0.08130557090044022,0.19670477509498596,0.25713419914245605,0.2089216411113739,0.10103313624858856,0.21491092443466187,0.2343466430902481,0.09372519701719284,0.1332261711359024
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.21572482585906982,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.28417977690696716,0.27659502625465393,0.4394008219242096,0.18775546550750732,0.38364991545677185,0.9999998807907104,0.24528160691261292,0.18075084686279297
arm,0.1625373512506485,0.1614151895046234,0.2214433252811432,0.18229497969150543,0.17655016481876373,0.07209109514951706,-0.021379897370934486,0.20644132792949677,0.13889813423156738,0.2214433252811432,0.18758250772953033,0.17655016481876373,0.17735014855861664,0.1678873747587204,0.12539196014404297
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,-0.02586839720606804,0.06780257821083069,-0.013964727520942688,-0.03416389226913452,0.05051461234688759,-0.07642947137355804,0.029072100296616554,0.09823527187108994,0.06780257821083069,0.008275155909359455,0.08571683615446091,0.0685480609536171
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.21896705031394958,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.24516762793064117,0.4374977946281433,0.6662389636039734,0.28539085388183594,0.5696388483047485,0.3598145842552185,0.22392018139362335,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2331719547510147,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.2599598467350006,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,0.4394008219242096,0.2542078197002411,0.22068053483963013
traditional,0.20066824555397034,0.1784529834985733,0.25703898072242737,0.3299800455570221,0.32287317514419556,0.16050830483436584,0.05243854969739914,0.2535533308982849,0.08783790469169617,0.25703898072242737,0.13271567225456238,0.32287317514419556,0.2661146819591522,0.0720534548163414,0.1327509582042694
salute,0.20609712600708008,0.2896697223186493,0.2599598467350006,0.16809312999248505,0.24833343923091888,0.2154252529144287,0.0737612172961235,0.9999998807907104,0.2164013385772705,0.2599598467350006,0.14193303883075714,0.24833343923091888,0.28417977690696716,0.23458579182624817,0.1636352837085724
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23203764855861664,1.0,0.1719115972518921,-0.03817026689648628,0.24833343923091888,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.38364991545677185,0.23325279355049133,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.23984776437282562,0.5052502155303955,0.17967689037322998,0.04866964742541313,0.2388385683298111,0.3095070421695709,0.5829201340675354,0.28924596309661865,0.5052502155303955,0.3497250974178314,0.2413124442100525,0.23916715383529663
knight,0.21160534024238586,0.21130309998989105,0.2147035151720047,0.14307543635368347,0.17145107686519623,0.18146932125091553,-0.05993250757455826,0.1589215248823166,0.13046257197856903,0.2147035151720047,0.09098849445581436,0.17145107686519623,0.24875596165657043,0.07516026496887207,0.12124335020780563
