,who,was,ogedei,'s,wife,?
the,0.3733934462070465,0.48711544275283813,0.3310999870300293,-0.01540423184633255,0.18555577099323273,0.22068053483963013
publication,0.10561572015285492,0.22530198097229004,0.2450910210609436,-0.06007235124707222,0.1283552348613739,0.2191428393125534
of,0.2827862501144409,0.4069072902202606,0.34182456135749817,-0.03817026689648628,0.2074100226163864,0.1826142966747284
a,0.36608949303627014,0.4508470594882965,0.285025954246521,0.04866964742541313,0.15953688323497772,0.23916715383529663
taoist,0.23239803314208984,0.19659830629825592,0.3078549802303314,0.041618283838033676,0.1433846354484558,0.16967397928237915
text,0.10967402905225754,0.13834922015666962,0.30343762040138245,0.010910018347203732,0.06976795941591263,0.263901948928833
inscribed,0.18045566976070404,0.2238219678401947,0.2724323272705078,-0.008641812950372696,0.1814803183078766,0.14062443375587463
with,0.3282766342163086,0.27411898970603943,0.18729497492313385,-0.04624466598033905,0.2190551608800888,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,0.3310999870300293,-0.01540423184633255,0.18555577099323273,0.22068053483963013
name,0.2027527540922165,0.2646567225456238,0.2955508530139923,0.08507627248764038,0.18573977053165436,0.15381577610969543
of,0.2827862501144409,0.4069072902202606,0.34182456135749817,-0.03817026689648628,0.2074100226163864,0.1826142966747284
töregene,0.2657553255558014,0.2560173571109772,0.4097954332828522,-0.01865551620721817,0.2538183033466339,0.15313191711902618
khatun,0.26827096939086914,0.2808169424533844,0.46249592304229736,0.0835471972823143,0.28452134132385254,0.15617743134498596
",",0.3365725874900818,0.45456063747406006,0.36148595809936523,-0.0016132977325469255,0.27755871415138245,0.31091248989105225
ögedei,0.34607383608818054,0.3649882376194,0.9002277851104736,-0.005691892933100462,0.3468444347381592,0.20177854597568512
's,0.05599616840481758,0.008974763564765453,-0.032107822597026825,0.9999999403953552,0.004705954808741808,-0.023395681753754616
wife,0.3764849305152893,0.3110053539276123,0.32578665018081665,0.004705954808741808,1.0000001192092896,0.19987250864505768
",",0.3365725874900818,0.45456063747406006,0.36148595809936523,-0.0016132977325469255,0.27755871415138245,0.31091248989105225
is,0.24293622374534607,0.5810302495956421,0.2507098615169525,0.02396530658006668,0.14306695759296417,0.22961433231830597
one,0.40083858370780945,0.3752199709415436,0.25482848286628723,0.06913424283266068,0.23168930411338806,0.2673267424106598
of,0.2827862501144409,0.4069072902202606,0.34182456135749817,-0.03817026689648628,0.2074100226163864,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.3310999870300293,-0.01540423184633255,0.18555577099323273,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.26830142736434937,-0.014458609744906425,0.27100875973701477,0.18701928853988647
printed,0.16090945899486542,0.218587726354599,0.11904340982437134,0.05069957301020622,0.1220247745513916,0.1726173758506775
works,0.2919859290122986,0.2401018887758255,0.15904109179973602,0.04286740720272064,0.1637631058692932,0.19597402215003967
sponsored,0.22509317100048065,0.26169130206108093,0.20106905698776245,-0.02404741570353508,0.17464376986026764,0.12262218445539474
by,0.39727845788002014,0.4752357602119446,0.22544023394584656,-0.010884488001465797,0.20560935139656067,0.17966607213020325
the,0.3733934462070465,0.48711544275283813,0.3310999870300293,-0.01540423184633255,0.18555577099323273,0.22068053483963013
mongols,0.2709572911262512,0.19519121944904327,0.3721899390220642,-0.027451662346720695,0.13551391661167145,0.11517509818077087
.,0.3541337847709656,0.40146201848983765,0.30704283714294434,-0.003708066651597619,0.24426577985286713,0.4130953550338745
