,what,company,released,the,cd,versions,of,the,doctor,who,stories,?
since,0.29783400893211365,0.23046186566352844,0.1930806040763855,0.4054957628250122,0.1455782651901245,0.24728161096572876,0.35513219237327576,0.4054957628250122,0.10913390666246414,0.27765995264053345,0.1543450802564621,0.2876587212085724
1999,0.09112130105495453,-0.044282641261816025,0.004771615378558636,0.06755080074071884,-0.02416968159377575,-0.11087068170309067,0.06211002916097641,0.06755080074071884,0.05676430091261864,0.0312652513384819,-0.05916161462664604,0.05416720360517502
",",0.3087472915649414,0.2697763442993164,0.2775750756263733,0.4933079481124878,0.19353729486465454,0.23377446830272675,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.22120293974876404,0.31091248989105225
big,0.2788069546222687,0.1937519758939743,0.1527719795703888,0.308749794960022,0.07246360182762146,0.13441011309623718,0.2513701021671295,0.308749794960022,0.1275855153799057,0.2366105318069458,0.1535804569721222,0.20497842133045197
finish,0.21988750994205475,0.2193506360054016,0.1515960991382599,0.23846492171287537,0.18130622804164886,0.11410856246948242,0.13930197060108185,0.23846492171287537,0.20019887387752533,0.20959937572479248,0.13134588301181793,0.11681990325450897
productions,0.18529511988162994,0.3998022973537445,0.3460097312927246,0.2695383131504059,0.2750709652900696,0.36969396471977234,0.18559667468070984,0.2695383131504059,0.1531556099653244,0.1643865406513214,0.2944868505001068,0.22681239247322083
has,0.20338068902492523,0.16623350977897644,0.17749027907848358,0.4177538752555847,0.12899033725261688,0.2272404134273529,0.3909035325050354,0.4177538752555847,0.1778179407119751,0.2558172643184662,0.1521075963973999,0.15994466841220856
released,0.20228935778141022,0.16887199878692627,1.0,0.24578391015529633,0.4166692793369293,0.33288973569869995,0.17721395194530487,0.24578391015529633,0.16010989248752594,0.15033993124961853,0.15151366591453552,0.20329579710960388
several,0.22446060180664062,0.1799900233745575,0.1620100885629654,0.40559855103492737,0.09959450364112854,0.3646298050880432,0.3271615505218506,0.40559855103492737,0.1561049073934555,0.30628830194473267,0.2267022281885147,0.15595775842666626
different,0.39262300729751587,0.16784438490867615,0.2155047506093979,0.36412742733955383,0.1929929405450821,0.38681814074516296,0.3747533857822418,0.36412742733955383,0.11029156297445297,0.27202165126800537,0.28703582286834717,0.24476227164268494
series,0.17328087985515594,0.23864467442035675,0.29918766021728516,0.31376904249191284,0.1886206418275833,0.2652052342891693,0.22268271446228027,0.31376904249191284,0.2712797522544861,0.21484537422657013,0.36305397748947144,0.1709602326154709
of,0.33290785551071167,0.20467796921730042,0.17721395194530487,0.733189046382904,0.13952325284481049,0.17600277066230774,1.0,0.733189046382904,0.16895952820777893,0.2827862501144409,0.2577437460422516,0.1826142966747284
doctor,0.20870667695999146,0.11374695599079132,0.16010989248752594,0.2820442318916321,0.15725518763065338,0.11197001487016678,0.16895952820777893,0.2820442318916321,0.9999999403953552,0.3504868149757385,0.20147667825222015,0.1462511420249939
who,0.40942975878715515,0.2383776307106018,0.15033993124961853,0.3733934462070465,0.14219516515731812,0.19284802675247192,0.2827862501144409,0.3733934462070465,0.3504868149757385,0.9999998807907104,0.3021683990955353,0.26220351457595825
audios,0.20862974226474762,0.2873111367225647,0.2469763606786728,0.23073934018611908,0.3036579489707947,0.2825477421283722,0.1671394258737564,0.23073934018611908,0.15853320062160492,0.18216699361801147,0.25211453437805176,0.1627766638994217
on,0.34226128458976746,0.23664942383766174,0.31313204765319824,0.5107308030128479,0.1485246866941452,0.28932979702949524,0.3966929316520691,0.5107308030128479,0.1636410653591156,0.2340552806854248,0.19654057919979095,0.2714994251728058
cd,0.16275504231452942,0.09374959021806717,0.4166692793369293,0.1441466212272644,0.9999999403953552,0.31988805532455444,0.13952325284481049,0.1441466212272644,0.15725518763065338,0.14219516515731812,0.17141248285770416,0.18615885078907013
.,0.3567904531955719,0.266353577375412,0.298698753118515,0.5934505462646484,0.21611766517162323,0.2660890817642212,0.5352458953857422,0.5934505462646484,0.22361043095588684,0.3541337847709656,0.23087488114833832,0.4130953550338745
