,what,did,a,1996,study,by,perotti,examine,?
a,0.3320399522781372,0.2552328109741211,1.0,0.04588954523205757,0.2268155962228775,0.32094135880470276,0.2277001440525055,0.2953856885433197,0.23916715383529663
1996,0.1822642683982849,0.24150575697422028,0.04588954523205757,1.0,0.07632151991128922,0.04583617299795151,0.04776584729552269,0.07612349838018417,0.18022380769252777
study,0.3123835027217865,0.21215762197971344,0.2268155962228775,0.07632151991128922,1.0,0.1623244434595108,0.1686064600944519,0.5135955214500427,0.15902167558670044
by,0.2455483376979828,0.18574509024620056,0.32094135880470276,0.04583617299795151,0.1623244434595108,1.0000001192092896,0.2333737313747406,0.23696355521678925,0.17966607213020325
perotti,0.19231794774532318,0.23576733469963074,0.2277001440525055,0.04776584729552269,0.1686064600944519,0.2333737313747406,1.0,0.19515696167945862,0.24260155856609344
examined,0.24823111295700073,0.2601720690727234,0.23971526324748993,0.03653769567608833,0.4812731146812439,0.2787661552429199,0.16089506447315216,0.8805478811264038,0.13838334381580353
the,0.42745697498321533,0.34736719727516174,0.5829201340675354,0.10029517859220505,0.2533665597438812,0.4408751428127289,0.20284722745418549,0.285955548286438,0.22068053483963013
channels,0.1923084557056427,0.0628243163228035,0.18764011561870575,-0.0059648547321558,0.1407073587179184,0.2033657431602478,0.10603883117437363,0.19899395108222961,0.19657258689403534
through,0.23167094588279724,0.14190755784511566,0.3399752974510193,0.04068275913596153,0.1752694994211197,0.3433202803134918,0.1373298019170761,0.2563707232475281,0.16913433372974396
which,0.5261979103088379,0.2750149369239807,0.56894451379776,-0.0436936654150486,0.29003599286079407,0.40543368458747864,0.21959008276462555,0.33042579889297485,0.25814583897590637
inequality,0.30072227120399475,0.2228473722934723,0.1783585250377655,0.10563980787992477,0.25449204444885254,0.17648567259311676,0.14465700089931488,0.19975917041301727,0.23619021475315094
may,0.25739946961402893,0.3038632869720459,0.29255667328834534,0.09097855538129807,0.2356858253479004,0.1970296949148178,0.31142356991767883,0.20418667793273926,0.2768254578113556
affect,0.34042587876319885,0.21110296249389648,0.20271271467208862,-0.008510028012096882,0.2887178957462311,0.1960909515619278,0.08713353425264359,0.31154945492744446,0.26275068521499634
economic,0.18082544207572937,0.14787930250167847,0.2234611213207245,0.20050747692584991,0.25701895356178284,0.129435196518898,0.12306950986385345,0.19081471860408783,0.1206481084227562
growth,0.1739405393600464,0.09287795424461365,0.21544985473155975,-0.08976181596517563,0.30610087513923645,0.1624399870634079,0.10765431821346283,0.13830015063285828,0.07547862827777863
.,0.3567904531955719,0.35288307070732117,0.50484299659729,0.12802715599536896,0.23432257771492004,0.3936232924461365,0.2912367880344391,0.2390889972448349,0.4130953550338745
