,what,was,the,average,cost,for,a,30,second,commercial,during,super,bowl,50,?
cbs,0.1950361132621765,0.26256829500198364,0.2283918708562851,0.19109442830085754,0.1723526418209076,0.20941372215747833,0.16314536333084106,0.015075087547302246,0.1601424217224121,0.16281317174434662,0.25509363412857056,0.23111854493618011,0.2528696060180664,-0.030295440927147865,0.14594407379627228
broadcast,0.17857211828231812,0.24068336188793182,0.2713715434074402,0.200475811958313,0.13827234506607056,0.2546502649784088,0.2046348601579666,-0.032415688037872314,0.17843694984912872,0.2591072916984558,0.24461494386196136,0.1449931412935257,0.18237876892089844,-0.01586120016872883,0.15760008990764618
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.127910777926445,0.1336439698934555,0.22938419878482819,0.26005712151527405,0.02300216630101204,0.25671592354774475,0.20105868577957153,0.16951335966587067,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.1515442579984665,0.2092275321483612,0.24430087208747864,0.19533146917819977,-0.030675051733851433,0.20302696526050568,0.16026756167411804,0.22041946649551392,0.4848237931728363,1.0,0.005446359980851412,0.21118052303791046
50,-0.04124141484498978,-0.0011744623770937324,0.03602437674999237,0.03536339849233627,-0.040493376553058624,0.029183456674218178,0.034183140844106674,0.060261838138103485,0.09172467887401581,0.04720782861113548,0.07054752856492996,0.0833745002746582,0.005446359980851412,0.9999999403953552,0.030512850731611252
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.23465414345264435,0.25200018286705017,0.4322226941585541,0.539380669593811,-0.005278158001601696,0.34510284662246704,0.2615188956260681,0.4627237319946289,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.23177006840705872,0.4739971458911896,0.5829201340675354,0.0730796679854393,0.4620301127433777,0.23051398992538452,0.4838213622570038,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
u.s.,0.11178889125585556,0.06837434321641922,0.06592652946710587,0.07241999357938766,0.024254169315099716,0.11615988612174988,0.0347411222755909,-0.12361244112253189,0.15216992795467377,-0.0730244517326355,0.027661997824907303,0.18026593327522278,0.1647888869047165,-0.02133081667125225,0.07886100560426712
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23098047077655792,0.20970560610294342,0.4464869201183319,0.427140474319458,-0.002004974754527211,0.29927265644073486,0.26546892523765564,0.3225448727607727,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2138829380273819,0.2846847474575043,0.5064792633056641,0.3739250600337982,0.08511074632406235,0.2743909955024719,0.240259051322937,0.36462149024009705,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.20544172823429108
charged,0.191240593791008,0.2394018918275833,0.2047804892063141,0.18032048642635345,0.24120937287807465,0.17613565921783447,0.21603477001190186,-0.0606057345867157,0.13451999425888062,0.04050228372216225,0.21743762493133545,0.1307750940322876,0.13330021500587463,0.052119180560112,0.1305682212114334
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.27438971400260925,0.15845364332199097,0.3236706852912903,0.44552403688430786,0.042109210044145584,0.2587711215019226,0.19474388659000397,0.21076080203056335,0.09755856543779373,0.13908697664737701,0.02188069000840187,0.19793890416622162
average,0.24068789184093475,0.18843130767345428,0.27058175206184387,1.0,0.2914794087409973,0.20724235475063324,0.23812800645828247,-0.04201429709792137,0.17650006711483002,0.07954645156860352,0.2458241730928421,0.127910777926445,0.1515442579984665,0.03536339849233627,0.21764592826366425
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23717734217643738,0.23332229256629944,0.4185989499092102,0.5052502155303955,0.003304550424218178,0.353416383266449,0.21107374131679535,0.3869180977344513,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.2754773199558258,0.5133980512619019,0.22711659967899323,0.22939236462116241,-0.00666854390874505,0.20867706835269928,0.23296304047107697,0.18413951992988586,0.14851532876491547,0.24415016174316406,-0.044484999030828476,0.2786129117012024
5,0.09269922226667404,-0.020029501989483833,0.09255307912826538,0.013141149654984474,0.0013155064079910517,0.06971735507249832,0.07282212376594543,-0.05842862278223038,0.054858531802892685,0.1487063467502594,0.012544178403913975,0.024198191240429878,0.052770476788282394,0.0577104315161705,0.06222071498632431
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.2824518382549286,0.3814373016357422,0.18660776317119598,0.1811940222978592,0.030009422451257706,0.2324155867099762,0.20363874733448029,0.25557681918144226,0.15958677232265472,0.18768401443958282,-0.07849453389644623,0.23092924058437347
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.20724235475063324,0.2728281319141388,0.9999999403953552,0.44038116931915283,0.005358967464417219,0.25438159704208374,0.25690725445747375,0.3448435664176941,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.23812800645828247,0.21993719041347504,0.44038116931915283,1.0,-0.003403416834771633,0.3655064105987549,0.2696971893310547,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
