,what,dynasties,inspired,the,chinese-like,elements,of,kublai,'s,government,?
the,0.42745697498321533,0.30397531390190125,0.271378755569458,1.0,0.32074835896492004,0.22297804057598114,0.733189046382904,0.32886171340942383,-0.01540423184633255,0.31798112392425537,0.22068053483963013
chinese-style,0.23103506863117218,0.45507532358169556,0.26486554741859436,0.29042157530784607,0.7049721479415894,0.35739725828170776,0.2594463527202606,0.3571609556674957,-0.02150970697402954,0.23959101736545563,0.27377432584762573
elements,0.2152351289987564,0.25270146131515503,0.19743908941745758,0.22297804057598114,0.25144946575164795,1.0000001192092896,0.23613712191581726,0.09995603561401367,-0.04167265072464943,0.14778903126716614,0.15222592651844025
of,0.33290785551071167,0.3041822910308838,0.2985292971134186,0.733189046382904,0.29815003275871277,0.23613712191581726,1.0,0.231930211186409,-0.03817026689648628,0.3475167155265808,0.1826142966747284
the,0.42745697498321533,0.30397531390190125,0.271378755569458,1.0,0.32074835896492004,0.22297804057598114,0.733189046382904,0.32886171340942383,-0.01540423184633255,0.31798112392425537,0.22068053483963013
bureaucracy,0.3576729893684387,0.19296953082084656,0.13543614745140076,0.24530325829982758,0.27556920051574707,0.15669693052768707,0.25510287284851074,0.23733268678188324,-0.0030092187225818634,0.4388015568256378,0.33511215448379517
mainly,0.29325804114341736,0.13128536939620972,0.2236827313899994,0.3790479004383087,0.2868642807006836,0.19480198621749878,0.3325652480125427,0.0967162474989891,0.08966390043497086,0.20839311182498932,0.07608037441968918
came,0.2728535234928131,0.23107942938804626,0.30117174983024597,0.39390382170677185,0.23376230895519257,0.1213211715221405,0.3201526999473572,0.2661736011505127,0.03627123311161995,0.1738913655281067,0.1739392727613449
from,0.2737620174884796,0.18746085464954376,0.2121204286813736,0.40150508284568787,0.22648893296718597,0.17875328660011292,0.4249346852302551,0.13737952709197998,-0.01936490088701248,0.16793464124202728,0.19969791173934937
the,0.42745697498321533,0.30397531390190125,0.271378755569458,1.0,0.32074835896492004,0.22297804057598114,0.733189046382904,0.32886171340942383,-0.01540423184633255,0.31798112392425537,0.22068053483963013
native,0.19453833997249603,0.1662568747997284,0.20917481184005737,0.24374492466449738,0.2804686725139618,0.20107322931289673,0.2524676024913788,0.1094076856970787,0.0551753006875515,0.1598607748746872,0.1457047313451767
tang,0.13630065321922302,0.4787638187408447,0.13719719648361206,0.23153425753116608,0.5242795944213867,0.16048917174339294,0.23320819437503815,0.44507551193237305,-0.03584471344947815,0.2092437595129013,0.09867355972528458
