,what,is,the,second,largest,contrubtor,to,kenyas,gdp,?
agriculture,0.18790777027606964,0.23420868813991547,0.29133129119873047,0.05532298982143402,0.19875791668891907,0.24030420184135437,0.2176959365606308,0.3089575171470642,0.36818188428878784,0.11401621997356415
is,0.28837618231773376,1.0,0.5823672413825989,0.3161451518535614,0.3413417339324951,0.36746010184288025,0.42745086550712585,0.202436625957489,0.1348358541727066,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.3757036626338959,0.36891767382621765,0.535392165184021,0.2898688018321991,0.16116170585155487,0.22068053483963013
second,0.19948028028011322,0.3161451518535614,0.4620301127433777,1.0,0.3370759189128876,0.2170071005821228,0.3098561465740204,0.22485829889774323,0.14886075258255005,0.17239587008953094
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.3370759189128876,0.9999999403953552,0.15381358563899994,0.18687231838703156,0.22001534700393677,0.27223852276802063,0.12401245534420013
contributor,0.2946086823940277,0.25014519691467285,0.23006539046764374,0.15331247448921204,0.12283126264810562,0.5287162065505981,0.2564351558685303,0.09952866286039352,0.28257033228874207,0.32557573914527893
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3098561465740204,0.18687231838703156,0.3937176764011383,1.0,0.25614386796951294,0.16873480379581451,0.29463258385658264
kenya,0.18398970365524292,0.17591087520122528,0.21657514572143555,0.16383537650108337,0.20862577855587006,0.19111308455467224,0.17769291996955872,0.9117282629013062,0.14304453134536743,0.17197901010513306
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.060212843120098114,-0.02050611935555935,0.015493303537368774,0.03782717138528824,-0.06609450280666351,0.09762780368328094,-0.023395681753754616
gross,0.1786828190088272,0.14047035574913025,0.1785203367471695,0.15606465935707092,0.19227372109889984,0.22980144619941711,0.1351269632577896,0.15229728817939758,0.47875675559043884,0.22810624539852142
domestic,0.11560896784067154,0.16967669129371643,0.21731778979301453,0.17665047943592072,0.2306249737739563,0.23810423910617828,0.22657187283039093,0.23735542595386505,0.3320516049861908,0.1850636899471283
product,0.2465333193540573,0.2903512120246887,0.23984220623970032,0.17519475519657135,0.1521213948726654,0.2801772952079773,0.24510730803012848,0.15390744805335999,0.43135324120521545,0.19651241600513458
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.27435752749443054,0.14214102923870087,0.3410104215145111,0.30882009863853455,0.18731775879859924,0.16074123978614807,0.40561532974243164
gdp,0.2943311929702759,0.1348358541727066,0.16116170585155487,0.14886075258255005,0.27223852276802063,0.2824311852455139,0.16873480379581451,0.1583176702260971,1.0000001192092896,0.232579305768013
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.29819294810295105,0.1570781171321869,0.33761170506477356,0.31236231327056885,0.19684213399887085,0.182301327586174,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.26626327633857727,0.3988977372646332,0.44245919585227966,0.32898539304733276,0.17147020995616913,0.31091248989105225
after,0.21973377466201782,0.2835143506526947,0.4565047025680542,0.3736267685890198,0.2332882136106491,0.2707449793815613,0.37890323996543884,0.29057246446609497,0.09241541475057602,0.16608688235282898
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.3757036626338959,0.36891767382621765,0.535392165184021,0.2898688018321991,0.16116170585155487,0.22068053483963013
service,0.16857224702835083,0.15705204010009766,0.22661015391349792,0.191622793674469,0.18257638812065125,0.19457587599754333,0.24411341547966003,0.16925258934497833,0.24556602537631989,0.1676298975944519
sector,0.18244388699531555,0.22561627626419067,0.27798449993133545,0.20154374837875366,0.30269354581832886,0.3644654154777527,0.25943341851234436,0.22097231447696686,0.3653808832168579,0.06294605135917664
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.346034437417984,0.18871670961380005,0.32969823479652405,0.4645031690597534,0.3082246780395508,0.17039258778095245,0.4130953550338745
