,what,denver,player,caught,the,ball,76,times,in,the,2015,season,?
veteran,0.12123548984527588,0.2472800314426422,0.23122860491275787,0.2259833663702011,0.2511998414993286,0.13600806891918182,0.019971409812569618,0.08724800497293472,0.18765248358249664,0.2511998414993286,0.04494095966219902,0.154934823513031,0.15891358256340027
receiver,0.17021551728248596,0.3274553716182709,0.3959048390388489,0.18284621834754944,0.21850530803203583,0.24596534669399261,-0.07762281596660614,0.1673157662153244,0.16248875856399536,0.21850530803203583,-0.09899421036243439,0.21946853399276733,0.11587938666343689
demaryius,0.24778690934181213,0.2089807093143463,0.1286727339029312,0.19066694378852844,0.2600218653678894,0.12345822900533676,0.007766492199152708,0.21200259029865265,0.245906263589859,0.2600218653678894,0.4592615067958832,0.13046765327453613,0.24024760723114014
thomas,0.1806955188512802,0.21843333542346954,0.12414050847291946,0.14392966032028198,0.23505409061908722,0.14303697645664215,-0.03532000631093979,0.0909549668431282,0.21133768558502197,0.23505409061908722,0.09675221145153046,0.1667458862066269,0.16133050620555878
led,0.12112844735383987,0.20768572390079498,0.15605029463768005,0.28027909994125366,0.3267505168914795,0.0395304299890995,-0.12298986315727234,0.18787620961666107,0.2990247309207916,0.3267505168914795,0.1679353564977646,0.16559264063835144,0.09273858368396759
the,0.42745697498321533,0.2052404284477234,0.19900773465633392,0.2087310254573822,1.0,0.18895584344863892,-0.4725710153579712,0.29093852639198303,0.6662389636039734,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
team,0.17632107436656952,0.18347741663455963,0.4632323682308197,0.11847984045743942,0.22564226388931274,0.2774640917778015,0.030730294063687325,0.22555524110794067,0.18841172754764557,0.22564226388931274,-0.009967954829335213,0.3451383709907532,0.11243411153554916
with,0.2464839518070221,0.20079316198825836,0.15822981297969818,0.2018279731273651,0.4223487675189972,0.1654299646615982,-0.3046833574771881,0.3026435673236847,0.4080928862094879,0.4223487675189972,-0.05818283185362816,0.26700887084007263,0.2433311939239502
105,0.1624133586883545,-0.018304763361811638,0.04038999602198601,0.12839263677597046,0.1126137226819992,-0.013078178279101849,0.166322723031044,0.1253700852394104,0.11406851559877396,0.1126137226819992,0.3267339766025543,0.11436831951141357,0.1772395223379135
receptions,0.15346844494342804,0.22907143831253052,0.1306208074092865,0.2364336997270584,0.19359152019023895,0.21508567035198212,-0.0368649885058403,0.2406584769487381,0.19997993111610413,0.19359152019023895,0.006485253572463989,0.2773783802986145,0.12913717329502106
for,0.3017193675041199,0.22017966210842133,0.2470785230398178,0.19414915144443512,0.4739971458911896,0.1708642989397049,-0.24215015769004822,0.2999500632286072,0.4322226941585541,0.4739971458911896,-0.08512632548809052,0.24490800499916077,0.264628142118454
"1,304",-0.03894387558102608,0.29035133123397827,0.18056857585906982,0.00998291838914156,0.17036905884742737,0.02768164686858654,0.06852355599403381,0.1050533875823021,0.2020789235830307,0.17036905884742737,0.03776010870933533,0.17524990439414978,-0.0522308424115181
yards,0.1304803043603897,0.3131333589553833,0.2452496588230133,0.29220256209373474,0.16070343554019928,0.31545811891555786,-0.10725899785757065,0.21166743338108063,0.14206624031066895,0.16070343554019928,0.02945392206311226,0.3280850648880005,0.12453813850879669
and,0.31309178471565247,0.20625516772270203,0.22685286402702332,0.2659677565097809,0.5171257257461548,0.19981779158115387,-0.35593488812446594,0.2611900568008423,0.4954058527946472,0.5171257257461548,0.015077123418450356,0.2369309365749359,0.20544172823429108
