,natural,killer,cells,recognize,cells,that,should,be,targeted,by,a,condition,known,as,what,?
rather,0.23018884658813477,0.13145653903484344,0.22974437475204468,0.19384510815143585,0.22974437475204468,0.4945213496685028,0.38420456647872925,0.4789743721485138,0.25095322728157043,0.2593236565589905,0.4061340093612671,0.27094125747680664,0.18398405611515045,0.38414403796195984,0.3923804461956024,0.3053998053073883
",",0.30864179134368896,0.26255282759666443,0.20582014322280884,0.28637704253196716,0.20582014322280884,0.4137537479400635,0.2706286907196045,0.39254459738731384,0.24727021157741547,0.3680937886238098,0.427140474319458,0.16265787184238434,0.3604377806186676,0.48816442489624023,0.3087472915649414,0.31091248989105225
nk,0.15470367670059204,0.33958637714385986,0.4314545691013336,0.1698368638753891,0.4314545691013336,0.1860036551952362,0.151658296585083,0.15390576422214508,0.2135857194662094,0.1633773148059845,0.23390038311481476,0.14217700064182281,0.16809697449207306,0.18400567770004272,0.17948241531848907,0.27499058842658997
cells,0.19689854979515076,0.2414173036813736,1.0,0.21322911977767944,1.0,0.2709589898586273,0.23723585903644562,0.2454119622707367,0.2290567308664322,0.19208736717700958,0.2297232300043106,0.2901037633419037,0.14049942791461945,0.2328435331583023,0.1758001297712326,0.1898086667060852
destroy,0.19748249650001526,0.27967074513435364,0.24425821006298065,0.2614062428474426,0.24425821006298065,0.3336958885192871,0.13075534999370575,0.23161578178405762,0.312364786863327,0.18557852506637573,0.24181854724884033,0.12273449450731277,0.12077800929546356,0.24359431862831116,0.24247540533542633,0.1295877993106842
compromised,0.15795065462589264,0.10265426337718964,0.18879909813404083,0.3368856906890869,0.18879909813404083,0.4190484285354614,0.3494468033313751,0.37826815247535706,0.3091510236263275,0.2556210458278656,0.28210926055908203,0.32082849740982056,0.15532520413398743,0.26241615414619446,0.31090739369392395,0.32521679997444153
host,0.17433668673038483,0.13632121682167053,0.2798769474029541,0.25117984414100647,0.2798769474029541,0.18125994503498077,0.0973314642906189,0.15821070969104767,0.20279406011104584,0.17084096372127533,0.1733594834804535,0.17325721681118011,0.2254912406206131,0.19779783487319946,0.12779991328716278,0.1021634042263031
cells,0.19689854979515076,0.2414173036813736,1.0,0.21322911977767944,1.0,0.2709589898586273,0.23723585903644562,0.2454119622707367,0.2290567308664322,0.19208736717700958,0.2297232300043106,0.2901037633419037,0.14049942791461945,0.2328435331583023,0.1758001297712326,0.1898086667060852
",",0.30864179134368896,0.26255282759666443,0.20582014322280884,0.28637704253196716,0.20582014322280884,0.4137537479400635,0.2706286907196045,0.39254459738731384,0.24727021157741547,0.3680937886238098,0.427140474319458,0.16265787184238434,0.3604377806186676,0.48816442489624023,0.3087472915649414,0.31091248989105225
such,0.2202329933643341,0.1525784730911255,0.19361209869384766,0.24061766266822815,0.19361209869384766,0.4479874074459076,0.4382869005203247,0.5239806771278381,0.262046754360199,0.2736194431781769,0.2706976532936096,0.24851687252521515,0.30818676948547363,0.6207084655761719,0.23989605903625488,0.17851735651493073
as,0.2089606076478958,0.19462208449840546,0.2328435331583023,0.30355125665664673,0.2328435331583023,0.4735107421875,0.414644330739975,0.5230465531349182,0.25869080424308777,0.3815547823905945,0.39550232887268066,0.26620447635650635,0.4815765619277954,1.0,0.31749409437179565,0.27043893933296204
tumor,0.2310054749250412,0.21588508784770966,0.46796542406082153,0.20332863926887512,0.46796542406082153,0.2366403490304947,0.16482076048851013,0.17106430232524872,0.18683116137981415,0.15780745446681976,0.25356221199035645,0.3354935944080353,0.19149728119373322,0.15087388455867767,0.245636448264122,0.18998058140277863
cells,0.19689854979515076,0.2414173036813736,1.0,0.21322911977767944,1.0,0.2709589898586273,0.23723585903644562,0.2454119622707367,0.2290567308664322,0.19208736717700958,0.2297232300043106,0.2901037633419037,0.14049942791461945,0.2328435331583023,0.1758001297712326,0.1898086667060852
