,how,many,touchdowns,did,manning,throw,in,the,game,?
manning,0.2318497896194458,0.17441397905349731,0.5383488535881042,0.22743284702301025,0.9999998807907104,0.30718404054641724,0.22345924377441406,0.27058160305023193,0.3214661478996277,0.15856626629829407
finished,0.18142320215702057,0.15678347647190094,0.28872230648994446,0.34182655811309814,0.2231869399547577,0.15907371044158936,0.2933714687824249,0.2754973769187927,0.21245916187763214,0.14789283275604248
the,0.33890387415885925,0.4335206151008606,0.20508192479610443,0.34736719727516174,0.27058160305023193,0.23050227761268616,0.6662389636039734,1.0,0.285271555185318,0.22068053483963013
game,0.215279221534729,0.21957436203956604,0.3884691894054413,0.19789010286331177,0.3214661478996277,0.28504589200019836,0.23986028134822845,0.285271555185318,0.9999998807907104,0.1829071193933487
13,-0.02601788192987442,0.04598686099052429,0.10132434964179993,0.02672848105430603,0.03662071377038956,-0.065299391746521,0.02730540931224823,-0.007407139986753464,-0.016837120056152344,-0.11384815722703934
of,0.2480744868516922,0.37253960967063904,0.18799830973148346,0.2513895630836487,0.20024974644184113,0.20400571823120117,0.5696388483047485,0.733189046382904,0.2298848181962967,0.1826142966747284
23,-0.021877937018871307,-0.05538930743932724,0.025878382846713066,-0.015436539426445961,0.0025590944569557905,-0.040637481957674026,-0.00097907695453614,-0.04008803516626358,-0.003430671989917755,0.012076443061232567
for,0.3308170735836029,0.40972793102264404,0.2948407232761383,0.318512886762619,0.33057859539985657,0.26654914021492004,0.4322226941585541,0.4739971458911896,0.2608485519886017,0.264628142118454
141,-0.12393007427453995,0.015501657500863075,0.12161716818809509,-0.09340690821409225,-0.01382442843168974,-0.08460912853479385,0.17019535601139069,0.19760951399803162,-0.05470919981598854,-0.08005204051733017
yards,0.1345205456018448,0.13134367763996124,0.7052563428878784,0.11230118572711945,0.5283294916152954,0.3343540132045746,0.14206624031066895,0.16070343554019928,0.2516956329345703,0.12453813850879669
with,0.3525622487068176,0.35744401812553406,0.2383706271648407,0.25472134351730347,0.18539859354496002,0.20230844616889954,0.4080928862094879,0.4223487675189972,0.19394829869270325,0.2433311939239502
one,0.3213292360305786,0.4223630726337433,0.2601357400417328,0.27659472823143005,0.1945406049489975,0.2658301293849945,0.4129433035850525,0.5514441132545471,0.2554377615451813,0.2673267424106598
interception,0.19612377882003784,0.15024176239967346,0.7007098197937012,0.21140055358409882,0.4784112870693207,0.3231361210346222,0.18221479654312134,0.24153481423854828,0.28776344656944275,0.11704724282026291
and,0.33647966384887695,0.5296266674995422,0.2571038007736206,0.34479495882987976,0.2638654112815857,0.1982293725013733,0.4954058527946472,0.5171257257461548,0.25192898511886597,0.20544172823429108
zero,0.20801222324371338,0.19059140980243683,0.21076755225658417,0.13187135756015778,0.04303186014294624,0.1489771008491516,0.15261036157608032,0.22528071701526642,0.21722480654716492,0.16971594095230103
touchdowns,0.15057362616062164,0.1144808754324913,1.0000001192092896,0.20483340322971344,0.5383488535881042,0.3633248805999756,0.17643709480762482,0.20508192479610443,0.3884691894054413,0.1509619653224945
.,0.3287222981452942,0.3974229395389557,0.208820641040802,0.35288307070732117,0.2937074899673462,0.22780419886112213,0.5591574311256409,0.5934505462646484,0.2581658959388733,0.4130953550338745
