,what,group,of,people,can,not,be,part,of,civil,disobedience,?
civil,0.15091551840305328,0.07985135167837143,0.24698495864868164,0.24625034630298615,0.12476041913032532,0.18740713596343994,0.18061059713363647,0.12337565422058105,0.24698495864868164,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.2244253009557724,0.31932318210601807,0.2943185269832611,0.15718160569667816,0.38157403469085693,0.2944406270980835,0.20186325907707214,0.31932318210601807,0.5442691445350647,1.0,0.19890835881233215
is,0.28837618231773376,0.22153858840465546,0.4854315221309662,0.34254953265190125,0.44256699085235596,0.3776007890701294,0.4819129705429077,0.4582172930240631,0.4854315221309662,0.16941262781620026,0.21453623473644257,0.22961433231830597
usually,0.32521089911460876,0.2762543261051178,0.33931583166122437,0.25533998012542725,0.5642885565757751,0.43927186727523804,0.4821065366268158,0.2375156730413437,0.33931583166122437,0.1792614609003067,0.24451304972171783,0.19435347616672516
defined,0.25343453884124756,0.22707630693912506,0.2659633457660675,0.07290636748075485,0.25236162543296814,0.35070300102233887,0.31403958797454834,0.24683071672916412,0.2659633457660675,0.12246352434158325,0.1861807405948639,0.22494901716709137
as,0.31749409437179565,0.2519444227218628,0.3886612355709076,0.15704652667045593,0.3245031237602234,0.5105602741241455,0.5230465531349182,0.2563304007053375,0.3886612355709076,0.18100082874298096,0.25773370265960693,0.27043893933296204
pertaining,0.33592402935028076,0.15707248449325562,0.33765938878059387,0.2619703412055969,0.27710598707199097,0.3963947296142578,0.3260616362094879,0.19793647527694702,0.33765938878059387,0.17966154217720032,0.3411206603050232,0.2915913462638855
to,0.455847829580307,0.2672896385192871,0.41548454761505127,0.37275731563568115,0.4979398250579834,0.5149973034858704,0.4972836375236511,0.2875264883041382,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
a,0.3320399522781372,0.2594761848449707,0.5052502155303955,0.3483705520629883,0.3915780484676361,0.3791346549987793,0.39883795380592346,0.3994528353214264,0.5052502155303955,0.21693918108940125,0.25352153182029724,0.23916715383529663
citizen,0.20342512428760529,0.1448848843574524,0.19158314168453217,0.2842581868171692,0.0966789573431015,0.23211289942264557,0.1865282505750656,0.20009669661521912,0.19158314168453217,0.20000368356704712,0.2703973650932312,0.1601516604423523
's,0.02692362666130066,-0.01093533169478178,-0.03817026689648628,0.023582622408866882,-0.02075597457587719,0.002583299996331334,0.025217169895768166,0.007562864106148481,-0.03817026689648628,-0.06354409456253052,0.027719656005501747,-0.023395681753754616
relation,0.3144443929195404,0.2703084349632263,0.29761821031570435,0.10363361239433289,0.2000260055065155,0.29026907682418823,0.28023120760917664,0.18004639446735382,0.29761821031570435,0.18419675529003143,0.282622754573822,0.1898830384016037
to,0.455847829580307,0.2672896385192871,0.41548454761505127,0.37275731563568115,0.4979398250579834,0.5149973034858704,0.4972836375236511,0.2875264883041382,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
the,0.42745697498321533,0.30795547366142273,0.733189046382904,0.36838498711586,0.312528520822525,0.4310511648654938,0.4248143136501312,0.527681291103363,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
state,0.24273863434791565,0.16570743918418884,0.34253445267677307,0.3051503598690033,0.13665424287319183,0.23725773394107819,0.22221757471561432,0.26967647671699524,0.34253445267677307,0.2531958818435669,0.25511521100997925,0.1160883978009224
and,0.31309178471565247,0.3510662019252777,0.5116966962814331,0.3016039729118347,0.3675691485404968,0.39099299907684326,0.41766801476478577,0.35301485657691956,0.5116966962814331,0.25259146094322205,0.3041999638080597,0.20544172823429108
its,0.30393704771995544,0.2008703351020813,0.48690423369407654,0.24203898012638092,0.2625933587551117,0.29187723994255066,0.2731834948062897,0.3693010210990906,0.48690423369407654,0.15427452325820923,0.15781542658805847,0.15103481709957123
laws,0.29636016488075256,0.1776934117078781,0.2539142072200775,0.2833867371082306,0.21583211421966553,0.2995064854621887,0.24180686473846436,0.21584190428256989,0.2539142072200775,0.2589532434940338,0.4583999514579773,0.17911791801452637
