,what,were,x-rays,known,as,at,the,time,?
tesla,0.23221199214458466,0.1222306564450264,0.08711525052785873,0.09137910604476929,0.10285310447216034,0.16552478075027466,0.1324402391910553,0.14928559958934784,0.10250775516033173
held,0.0974166989326477,0.2591556906700134,0.12737703323364258,0.22108618915081024,0.16727563738822937,0.3822793960571289,0.32185450196266174,0.2842716872692108,0.14103956520557404
that,0.6297725439071655,0.35517072677612305,0.36275678873062134,0.20813259482383728,0.4735107421875,0.3183255195617676,0.5473989248275757,0.388528436422348,0.32716336846351624
",",0.3087472915649414,0.36755475401878357,0.252806156873703,0.3604377806186676,0.48816442489624023,0.38314947485923767,0.4933079481124878,0.3029961884021759,0.31091248989105225
with,0.2464839518070221,0.3179011940956116,0.239261195063591,0.23440474271774292,0.40387406945228577,0.29126521944999695,0.4223487675189972,0.31862112879753113,0.2433311939239502
his,0.26976513862609863,0.3142043352127075,0.18821834027767181,0.29665085673332214,0.3146366477012634,0.27659502625465393,0.4394008219242096,0.3553589880466461,0.18075084686279297
circuits,0.18163272738456726,0.2106456458568573,0.3269554078578949,0.13299380242824554,0.17189466953277588,0.18018461763858795,0.2556881904602051,0.2985966205596924,0.07647933810949326
",",0.3087472915649414,0.36755475401878357,0.252806156873703,0.3604377806186676,0.48816442489624023,0.38314947485923767,0.4933079481124878,0.3029961884021759,0.31091248989105225
the,0.42745697498321533,0.3906462490558624,0.2762417197227478,0.3624623417854309,0.48381632566452026,0.457212895154953,1.0,0.43061500787734985,0.22068053483963013
``,0.008517155423760414,0.006090171169489622,0.0013167144497856498,0.00922766886651516,0.03910288214683533,-0.07642947137355804,0.029072100296616554,0.041467953473329544,0.0685480609536171
instrument,0.26433292031288147,0.15332025289535522,0.21387819945812225,0.15497098863124847,0.2015579342842102,0.12212079763412476,0.2132672667503357,0.19438186287879944,0.14794185757637024
will,0.3510494530200958,0.19863811135292053,0.40985649824142456,0.15462830662727356,0.3047071695327759,0.26192525029182434,0.3635469079017639,0.3491556644439697,0.35046905279159546
...,0.001098619308322668,-0.011268461123108864,-0.009347795508801937,0.11286922544240952,0.06266240030527115,0.13381746411323547,0.04743409901857376,-0.04371348023414612,-0.07163430005311966
enable,0.29289326071739197,0.1634606570005417,0.284778356552124,0.10116136819124222,0.19633030891418457,0.14640267193317413,0.284074991941452,0.23093156516551971,0.2741726338863373
one,0.376489520072937,0.3453167676925659,0.24045273661613464,0.33883556723594666,0.3954789340496063,0.32580816745758057,0.5514441132545471,0.4878559708595276,0.2673267424106598
to,0.455847829580307,0.31913647055625916,0.3761973977088928,0.14337651431560516,0.42092081904411316,0.36524343490600586,0.535392165184021,0.3679993152618408,0.29463258385658264
generate,0.26186254620552063,0.1624951958656311,0.28051596879959106,0.13209021091461182,0.24461297690868378,0.19155579805374146,0.264517217874527,0.2287464588880539,0.28300654888153076
roentgen,0.17643509805202484,0.14316897094249725,0.20140475034713745,0.2069064825773239,0.17372168600559235,0.1785927712917328,0.27340176701545715,0.17119719088077545,0.18707747757434845
rays,0.20572713017463684,0.15632401406764984,0.8249794840812683,0.1446261703968048,0.20050792396068573,0.1290295571088791,0.22839847207069397,0.1717417687177658,0.12651073932647705
of,0.33290785551071167,0.34038281440734863,0.22301892936229706,0.35814476013183594,0.3886612355709076,0.42558613419532776,0.733189046382904,0.35127586126327515,0.1826142966747284
much,0.45316147804260254,0.25476184487342834,0.30217722058296204,0.2587057054042816,0.36514025926589966,0.23158283531665802,0.35023224353790283,0.3794040381908417,0.23442231118679047
greater,0.1946859508752823,0.1354871690273285,0.2515406012535095,0.13541997969150543,0.1750667840242386,0.17670537531375885,0.2814446687698364,0.19266469776630402,0.09723397344350815
power,0.22216427326202393,0.18395109474658966,0.18805676698684692,0.15895025432109833,0.20748355984687805,0.06751500070095062,0.2647338807582855,0.23945696651935577,0.15304024517536163
than,0.29388150572776794,0.2885614037513733,0.24329784512519836,0.21790020167827606,0.40532299876213074,0.27679139375686646,0.3227543234825134,0.30184081196784973,0.24917294085025787
obtainable,0.20687997341156006,0.06070104241371155,0.24790017306804657,0.1892714500427246,0.18479545414447784,0.1367926150560379,0.25080716609954834,0.1972482055425644,0.22356821596622467
with,0.2464839518070221,0.3179011940956116,0.239261195063591,0.23440474271774292,0.40387406945228577,0.29126521944999695,0.4223487675189972,0.31862112879753113,0.2433311939239502
ordinary,0.29406803846359253,0.20184019207954407,0.24593015015125275,0.20886819064617157,0.30608710646629333,0.13601315021514893,0.2741096615791321,0.26627716422080994,0.22565332055091858
apparatus,0.18593324720859528,0.14644360542297363,0.28043732047080994,0.18246684968471527,0.19602155685424805,0.11370545625686646,0.2711449861526489,0.15828168392181396,0.09565269947052002
.,0.3567904531955719,0.3378238379955292,0.2065625637769699,0.283290296792984,0.515582263469696,0.4549728035926819,0.5934505462646484,0.371569961309433,0.4130953550338745
'',0.08143015950918198,0.007215402089059353,-0.02195652946829796,0.06905213743448257,0.006628023460507393,0.04379578307271004,0.041273195296525955,-0.01899585872888565,0.018684765323996544
