,how,much,of,the,global,wealth,will,the,wealthiest,1,percent,own,by,2016,?
more,0.4319567084312439,0.5936280488967896,0.30478984117507935,0.39758381247520447,0.2011394202709198,0.24429993331432343,0.3627133071422577,0.39758381247520447,0.2705381214618683,-0.24222660064697266,0.3395844101905823,0.25653573870658875,0.2627272307872772,0.047379251569509506,0.27894994616508484
recently,0.24310024082660675,0.3373030722141266,0.21953822672367096,0.2774651348590851,0.2755601704120636,0.18712934851646423,0.29107585549354553,0.2774651348590851,0.18373306095600128,-0.22461506724357605,0.18290869891643524,0.2827971279621124,0.32355746626853943,0.07681839913129807,0.18352322280406952
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.1937657743692398,0.22482609748840332,0.29706671833992004,0.4933079481124878,0.2844572067260742,-0.15742997825145721,0.19088563323020935,0.2796398997306824,0.3680937886238098,-0.10076791793107986,0.31091248989105225
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.10151144117116928,0.1835664063692093,0.2580665349960327,0.6662389636039734,0.2825629413127899,-0.10660158097743988,0.24886950850486755,0.31893372535705566,0.370934396982193,0.05308714509010315,0.20430970191955566
january,0.11096196621656418,0.12328718602657318,0.19923388957977295,0.2467057853937149,0.1264040470123291,0.09754694998264313,0.19195622205734253,0.2467057853937149,0.19731613993644714,-0.18417823314666748,0.08975820988416672,0.17834395170211792,0.16497471928596497,-0.22341735661029816,0.28608936071395874
2015,-0.161673903465271,-0.02346874587237835,0.21138253808021545,0.1466771513223648,-0.022541187703609467,0.10106857866048813,-0.1012469008564949,0.1466771513223648,0.1386382132768631,0.07840792834758759,0.010359813459217548,-0.03734140843153,0.09096921235322952,-0.0004765587509609759,-0.029954981058835983
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.1937657743692398,0.22482609748840332,0.29706671833992004,0.4933079481124878,0.2844572067260742,-0.15742997825145721,0.19088563323020935,0.2796398997306824,0.3680937886238098,-0.10076791793107986,0.31091248989105225
oxfam,0.24343852698802948,0.18921233713626862,0.21295151114463806,0.2714040279388428,0.2905207574367523,0.27700603008270264,0.19252102077007294,0.2714040279388428,0.2661701440811157,-0.25283029675483704,0.17995883524417877,0.23462100327014923,0.2317522168159485,0.14022570848464966,0.19253410398960114
reported,0.11600318551063538,0.24137835204601288,0.23745855689048767,0.24444028735160828,0.2252810299396515,0.14013448357582092,0.20677196979522705,0.24444028735160828,0.17737704515457153,-0.09596442431211472,0.25393375754356384,0.14257532358169556,0.28701427578926086,0.10748995840549469,0.16150116920471191
that,0.557814359664917,0.4869440197944641,0.41498205065727234,0.5473989248275757,0.2591727674007416,0.256238728761673,0.4857470989227295,0.5473989248275757,0.2336714118719101,-0.3131840229034424,0.2902362644672394,0.37425005435943604,0.37496164441108704,0.19183695316314697,0.32716336846351624
