,the,term,``,southern,'',california,usually,refers,to,how,many,of,the,southern-most,counties,of,the,state,?
when,0.5091903209686279,0.2727346122264862,0.07174111902713776,0.22505681216716766,-0.07688097655773163,0.18115097284317017,0.42107367515563965,0.16916587948799133,0.5423505902290344,0.4767928421497345,0.36563900113105774,0.3757161796092987,0.5091903209686279,0.2913724482059479,0.17993196845054626,0.3757161796092987,0.5091903209686279,0.2549494504928589,0.22841128706932068
the,1.0,0.2740369141101837,0.029072100296616554,0.3282862603664398,0.041273195296525955,0.2750805914402008,0.36782920360565186,0.3041703402996063,0.535392165184021,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.42106354236602783,0.23370873928070068,0.733189046382904,1.0,0.3097178041934967,0.22068053483963013
state,0.3097178041934967,0.1784105747938156,0.041566602885723114,0.2978775203227997,-0.007484397850930691,0.3314559757709503,0.16599994897842407,0.20727355778217316,0.25557461380958557,0.15028610825538635,0.23203584551811218,0.34253445267677307,0.3097178041934967,0.3666835129261017,0.40980127453804016,0.34253445267677307,0.3097178041934967,1.0,0.1160883978009224
is,0.5823672413825989,0.270183801651001,0.058766357600688934,0.2419366091489792,0.0793738141655922,0.20727038383483887,0.4230746626853943,0.4262860119342804,0.42745086550712585,0.22544461488723755,0.2649032473564148,0.4854315221309662,0.5823672413825989,0.33769673109054565,0.19452480971813202,0.4854315221309662,0.5823672413825989,0.2627358138561249,0.22961433231830597
divided,0.34601110219955444,0.2551769018173218,0.21479076147079468,0.22956347465515137,0.0517084114253521,0.02264871448278427,0.256635457277298,0.2526066303253174,0.17007847130298615,0.1862497329711914,0.21604293584823608,0.37450557947158813,0.34601110219955444,0.31572380661964417,0.289902925491333,0.37450557947158813,0.34601110219955444,0.1687982976436615,0.10190024226903915
into,0.39493247866630554,0.1994943767786026,0.02736244536936283,0.1567976176738739,-0.043979667127132416,0.11373062431812286,0.24252451956272125,0.19262905418872833,0.38810545206069946,0.2303972691297531,0.2618265151977539,0.32255905866622925,0.39493247866630554,0.2194385826587677,0.20545795559883118,0.32255905866622925,0.39493247866630554,0.13660210371017456,0.15662476420402527
two,0.43858039379119873,0.15393944084644318,0.07021170109510422,0.13197177648544312,-0.004284570459276438,0.21899013221263885,0.38732194900512695,0.1368011236190796,0.3343428373336792,0.2499001920223236,0.5147606730461121,0.37726253271102905,0.43858039379119873,0.2340892255306244,0.2012631893157959,0.37726253271102905,0.43858039379119873,0.19419679045677185,0.19645625352859497
areas,0.3311663568019867,0.19843465089797974,0.06787070631980896,0.3084127902984619,0.04147288575768471,0.1730828881263733,0.344210147857666,0.18214374780654907,0.29808273911476135,0.2255835086107254,0.38976719975471497,0.2803763747215271,0.3311663568019867,0.365256667137146,0.4039498269557953,0.2803763747215271,0.3311663568019867,0.2496008425951004,0.1273590475320816
(,0.33289089798927307,0.16755855083465576,0.15585018694400787,0.20017468929290771,-0.022970275953412056,0.16755922138690948,0.19256804883480072,0.2160731554031372,0.30882009863853455,0.1676948219537735,0.1455259770154953,0.35032153129577637,0.33289089798927307,0.26922330260276794,0.17468099296092987,0.35032153129577637,0.33289089798927307,0.23423868417739868,0.40561532974243164
northern,0.3422943353652954,0.11821378022432327,0.06596051156520844,0.7355895638465881,-0.00325992819853127,0.23127253353595734,0.18857210874557495,0.15190011262893677,0.1886475831270218,0.08842652291059494,0.18460913002490997,0.32586339116096497,0.3422943353652954,0.6620896458625793,0.30084094405174255,0.32586339116096497,0.3422943353652954,0.29877153038978577,0.13149388134479523
