,who,led,the,attack,of,the,french,colony,in,1565,?
philip,0.25307518243789673,0.15064746141433716,0.21499985456466675,0.1790524274110794,0.24375313520431519,0.21499985456466675,0.2504856586456299,0.2575811445713043,0.26558998227119446,0.013123398646712303,0.11887923628091812
ii,0.20800143480300903,0.14677411317825317,0.2631464898586273,0.21758036315441132,0.2844806909561157,0.2631464898586273,0.15712468326091766,0.1495291292667389,0.21453368663787842,0.043646588921546936,0.11928234249353409
of,0.2827862501144409,0.32918456196784973,0.733189046382904,0.20644454658031464,1.0,0.733189046382904,0.19450366497039795,0.2552715241909027,0.5696388483047485,0.01333987433463335,0.1826142966747284
spain,0.1607624888420105,0.15722188353538513,0.259463906288147,0.12100310623645782,0.2591174840927124,0.259463906288147,0.3237612843513489,0.2748510539531708,0.29744213819503784,0.1860899180173874,0.16814002394676208
ordered,0.2055833488702774,0.30208826065063477,0.2839050590991974,0.23888272047042847,0.31747159361839294,0.2839050590991974,0.07284862548112869,0.20568622648715973,0.24971742928028107,0.08732716739177704,0.11423391848802567
pedro,0.2406805157661438,0.1690882444381714,0.20376646518707275,0.050581783056259155,0.19969594478607178,0.20376646518707275,0.22422930598258972,0.22234712541103363,0.19880057871341705,0.0973595455288887,0.14172832667827606
menéndez,0.27380967140197754,0.25198638439178467,0.23624977469444275,0.15848387777805328,0.24433699250221252,0.23624977469444275,0.29345569014549255,0.2347894012928009,0.24997253715991974,0.1251325011253357,0.24662910401821136
de,0.18189555406570435,0.1650221049785614,0.23491892218589783,0.1326478272676468,0.26292696595191956,0.23491892218589783,0.3256419897079468,0.19290347397327423,0.24818959832191467,0.03484926372766495,0.11064168810844421
avilés,0.22625622153282166,0.20402972400188446,0.18526721000671387,0.18616832792758942,0.21763695776462555,0.18526721000671387,0.27041563391685486,0.22829857468605042,0.23208095133304596,0.05663519725203514,0.21264192461967468
to,0.42656609416007996,0.21815308928489685,0.535392165184021,0.19954605400562286,0.41548454761505127,0.535392165184021,0.1713797152042389,0.27651169896125793,0.45010748505592346,0.08967868238687515,0.29463258385658264
protect,0.2736601233482361,0.16809837520122528,0.2559677064418793,0.28684067726135254,0.19880573451519012,0.2559677064418793,0.14664657413959503,0.16068390011787415,0.17026682198047638,0.043641649186611176,0.20180222392082214
the,0.3733934462070465,0.3267505168914795,1.0,0.2508925497531891,0.733189046382904,1.0,0.2555147111415863,0.2740810811519623,0.6662389636039734,0.04215703904628754,0.22068053483963013
interest,0.28795894980430603,0.1968705952167511,0.197127103805542,0.08622098714113235,0.2115241438150406,0.197127103805542,0.1029912605881691,0.18688619136810303,0.27232617139816284,0.03764556348323822,0.2411724328994751
of,0.2827862501144409,0.32918456196784973,0.733189046382904,0.20644454658031464,1.0,0.733189046382904,0.19450366497039795,0.2552715241909027,0.5696388483047485,0.01333987433463335,0.1826142966747284
spain,0.1607624888420105,0.15722188353538513,0.259463906288147,0.12100310623645782,0.2591174840927124,0.259463906288147,0.3237612843513489,0.2748510539531708,0.29744213819503784,0.1860899180173874,0.16814002394676208
by,0.39727845788002014,0.30694612860679626,0.4408751428127289,0.1761384904384613,0.3646814823150635,0.4408751428127289,0.23343317210674286,0.13618241250514984,0.370934396982193,-0.05273047089576721,0.17966607213020325
attacking,0.3059999942779541,0.21496330201625824,0.3005821406841278,0.6751522421836853,0.24588508903980255,0.3005821406841278,0.16282911598682404,0.17464682459831238,0.25919467210769653,-0.028605395928025246,0.14137868583202362
the,0.3733934462070465,0.3267505168914795,1.0,0.2508925497531891,0.733189046382904,1.0,0.2555147111415863,0.2740810811519623,0.6662389636039734,0.04215703904628754,0.22068053483963013
french,0.2756427824497223,0.18706461787223816,0.2555147111415863,0.17181217670440674,0.19450366497039795,0.2555147111415863,1.0000001192092896,0.2202957570552826,0.22093388438224792,0.16483072936534882,0.1386883556842804
presence,0.19076025485992432,0.2282077521085739,0.34114351868629456,0.2598643898963928,0.2917717397212982,0.34114351868629456,0.11091030389070511,0.15665030479431152,0.24880747497081757,-0.0485718660056591,0.08592845499515533
at,0.22096660733222961,0.21907441318035126,0.457212895154953,0.21748682856559753,0.42558613419532776,0.457212895154953,0.17825756967067719,0.1879788488149643,0.4374977946281433,0.07179022580385208,0.21978627145290375
fort,0.13790950179100037,0.17015990614891052,0.2420126497745514,0.22204704582691193,0.18979716300964355,0.2420126497745514,0.27450791001319885,0.29569774866104126,0.24152536690235138,-0.08215538412332535,0.15686731040477753
caroline,0.24299587309360504,0.11467231065034866,0.2156924456357956,0.031025324016809464,0.2054101526737213,0.2156924456357956,0.1764221489429474,0.1714012324810028,0.22602996230125427,-0.0661427229642868,0.13168026506900787
.,0.3541337847709656,0.19335708022117615,0.5934505462646484,0.3003302216529846,0.5352458953857422,0.5934505462646484,0.2480926215648651,0.23889021575450897,0.5591574311256409,0.0519142784178257,0.4130953550338745
