,what,music,did,the,fourth,soundtrack,feature,?
the,0.42745697498321533,0.2714049816131592,0.34736719727516174,1.0,0.40804702043533325,0.2600078582763672,0.3053930699825287,0.22068053483963013
fourth,0.137417271733284,0.20130957663059235,0.1447589099407196,0.40804702043533325,1.0,0.18819859623908997,0.16686831414699554,0.13791213929653168
was,0.22111038863658905,0.2583621144294739,0.41399896144866943,0.48711544275283813,0.35251522064208984,0.24427053332328796,0.2405846118927002,0.18412111699581146
released,0.20228935778141022,0.2761462330818176,0.20844610035419464,0.24578391015529633,0.30622661113739014,0.562637984752655,0.30323031544685364,0.20329579710960388
on,0.34226128458976746,0.2173950970172882,0.2670976221561432,0.5107308030128479,0.2738758623600006,0.2487822026014328,0.29385992884635925,0.2714994251728058
4,-0.04324747622013092,0.06634838879108429,0.0646207332611084,0.15499350428581238,0.09641153365373611,0.09766290336847305,-0.01433439739048481,0.010515431873500347
october,0.24927909672260284,0.20126843452453613,0.2746104896068573,0.2621108889579773,0.21081455051898956,0.19259612262248993,0.16954374313354492,0.29706719517707825
2010,0.2741409242153168,0.09887398779392242,0.29398393630981445,0.31722962856292725,0.08519599586725235,0.0972563698887825,0.1339830756187439,0.21232788264751434
as,0.31749409437179565,0.18681322038173676,0.3596470057964325,0.48381632566452026,0.18366172909736633,0.23606450855731964,0.26915058493614197,0.27043893933296204
a,0.3320399522781372,0.2234005630016327,0.2552328109741211,0.5829201340675354,0.3032437562942505,0.19774599373340607,0.2832804024219513,0.23916715383529663
two,0.23363454639911652,0.19403627514839172,0.2755576968193054,0.43858039379119873,0.2915630638599396,0.13169358670711517,0.2513297200202942,0.19645625352859497
disc,0.18225403130054474,0.27004069089889526,0.11295159161090851,0.24517253041267395,0.18904998898506165,0.349634051322937,0.20396950840950012,0.0880313590168953
special,0.24134232103824615,0.1869354248046875,0.20785176753997803,0.3027077615261078,0.1581827998161316,0.14994095265865326,0.22647525370121002,0.29623302817344666
edition,0.10302292555570602,0.21057920157909393,0.1429024487733841,0.24227465689182281,0.2816699147224426,0.2743939459323883,0.23812876641750336,0.20261122286319733
and,0.31309178471565247,0.2946314513683319,0.34479495882987976,0.5171257257461548,0.27958914637565613,0.1989576518535614,0.29179611802101135,0.20544172823429108
contained,0.18997789919376373,0.13327056169509888,0.22769203782081604,0.31440216302871704,0.13040277361869812,0.21988432109355927,0.2716105878353119,0.171995609998703
music,0.23070453107357025,1.0,0.21389511227607727,0.2714049816131592,0.20130957663059235,0.4626098871231079,0.2054942548274994,0.18264494836330414
from,0.2737620174884796,0.17575958371162415,0.20248863101005554,0.40150508284568787,0.22679506242275238,0.1947099268436432,0.16614282131195068,0.19969791173934937
the,0.42745697498321533,0.2714049816131592,0.34736719727516174,1.0,0.40804702043533325,0.2600078582763672,0.3053930699825287,0.22068053483963013
2008–2010,0.05204211175441742,0.09581968933343887,0.15214253962039948,0.12258899211883545,0.06936191022396088,0.11401543766260147,-0.024561678990721703,0.02080213651061058
specials,0.21306368708610535,0.2685694396495819,0.2083759605884552,0.2759421467781067,0.14753374457359314,0.30875930190086365,0.2955044209957123,0.2582153379917145
(,0.2411840260028839,0.17256039381027222,0.18979617953300476,0.33289089798927307,0.22620493173599243,0.1951693892478943,0.1903994381427765,0.40561532974243164
the,0.42745697498321533,0.2714049816131592,0.34736719727516174,1.0,0.40804702043533325,0.2600078582763672,0.3053930699825287,0.22068053483963013
next,0.25980645418167114,0.14841319620609283,0.22386232018470764,0.35833123326301575,0.3697102665901184,0.17451152205467224,0.16354231536388397,0.167460098862648
doctor,0.20870667695999146,0.19428947567939758,0.18673314154148102,0.2820442318916321,0.21519136428833008,0.18895506858825684,0.13075022399425507,0.1462511420249939
to,0.455847829580307,0.24181292951107025,0.4452643394470215,0.535392165184021,0.22159133851528168,0.18146967887878418,0.25759002566337585,0.29463258385658264
end,0.29234179854393005,0.19284293055534363,0.18808481097221375,0.39658910036087036,0.2719719111919403,0.20985227823257446,0.12306880205869675,0.12543344497680664
of,0.33290785551071167,0.25892743468284607,0.2513895630836487,0.733189046382904,0.30335766077041626,0.20855070650577545,0.2117752879858017,0.1826142966747284
time,0.36319252848625183,0.2560703754425049,0.3567926585674286,0.43061500787734985,0.2124018520116806,0.19303616881370544,0.1852640062570572,0.27391523122787476
part,0.3476244807243347,0.23303714394569397,0.23558001220226288,0.527681291103363,0.2579955756664276,0.24462980031967163,0.22717313468456268,0.08557961881160736
2,-0.049862053245306015,-0.04302481189370155,-0.044790901243686676,-0.019434669986367226,-0.09699494391679764,0.021831966936588287,-0.02535943128168583,0.001977203879505396
),0.26259949803352356,0.18973706662654877,0.18584993481636047,0.3456730246543884,0.25093355774879456,0.1996936798095703,0.1909548044204712,0.42300865054130554
.,0.3567904531955719,0.3013017475605011,0.35288307070732117,0.5934505462646484,0.27895694971084595,0.21142935752868652,0.25145211815834045,0.4130953550338745
