,where,did,the,first,huguenot,colonists,settle,?
individual,0.2943079471588135,0.18747162818908691,0.3706541955471039,0.21261492371559143,0.1708979457616806,0.16434462368488312,0.15506216883659363,0.2058374285697937
huguenots,0.2706839442253113,0.2420482039451599,0.30745792388916016,0.17457492649555206,0.9459913372993469,0.4672936797142029,0.2901375889778137,0.16010338068008423
settled,0.27520257234573364,0.20065045356750488,0.29293251037597656,0.2966093420982361,0.28613531589508057,0.45581957697868347,0.7608302235603333,0.09694210439920425
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.3138778805732727,0.23064149916172028,0.1805073767900467,0.20941193401813507,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,1.0,0.49448907375335693,0.29557526111602783,0.2727788984775543,0.2943725883960724,0.22068053483963013
cape,0.18510788679122925,0.09003951400518417,0.2352786809206009,0.21616853773593903,0.23918122053146362,0.32888245582580566,0.24721680581569672,0.10433043539524078
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.3536086082458496,0.29061198234558105,0.24155713617801666,0.2614152729511261,0.1826142966747284
good,0.24508510529994965,0.35611584782600403,0.2735973596572876,0.24823413789272308,0.1897575855255127,0.17721112072467804,0.18409930169582367,0.3187684714794159
hope,0.25707417726516724,0.2413310557603836,0.2378109097480774,0.18357741832733154,0.22309304773807526,0.2226865440607071,0.21443021297454834,0.3014601767063141
from,0.3713873624801636,0.20248863101005554,0.40150508284568787,0.23348960280418396,0.1858682930469513,0.23065456748008728,0.19305722415447235,0.19969791173934937
as,0.35409465432167053,0.3596470057964325,0.48381632566452026,0.33842000365257263,0.15821954607963562,0.20774362981319427,0.1659889966249466,0.27043893933296204
early,0.2230900675058365,0.32047218084335327,0.34442198276519775,0.4007106125354767,0.21533438563346863,0.2671760320663452,0.26252463459968567,0.15272949635982513
as,0.35409465432167053,0.3596470057964325,0.48381632566452026,0.33842000365257263,0.15821954607963562,0.20774362981319427,0.1659889966249466,0.27043893933296204
1671,0.1422734558582306,0.15533289313316345,0.13630814850330353,0.07766701281070709,0.13321639597415924,0.06276875734329224,0.11759831756353378,0.380079448223114
with,0.4142743945121765,0.25472134351730347,0.4223487675189972,0.2691199779510498,0.19856593012809753,0.18126702308654785,0.20732539892196655,0.2433311939239502
the,0.5003893971443176,0.34736719727516174,1.0,0.49448907375335693,0.29557526111602783,0.2727788984775543,0.2943725883960724,0.22068053483963013
arrival,0.23707011342048645,0.21235014498233795,0.3051127791404724,0.32971715927124023,0.30362245440483093,0.31489628553390503,0.3684593737125397,0.07185088098049164
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.3536086082458496,0.29061198234558105,0.24155713617801666,0.2614152729511261,0.1826142966747284
françois,0.09574388712644577,0.13262052834033966,0.22130244970321655,0.2098269909620285,0.4642702043056488,0.20472893118858337,0.1088271290063858,0.16150183975696564
villion,0.13743717968463898,0.1282772421836853,0.23237188160419464,0.1880805492401123,0.32701238989830017,0.16178813576698303,0.11071301251649857,0.25667011737823486
(,0.1970011591911316,0.18979617953300476,0.33289089798927307,0.2450505793094635,0.18252547085285187,0.11263756453990936,0.18722620606422424,0.40561532974243164
viljoen,0.1001015156507492,0.06157597526907921,0.1785554140806198,0.13117370009422302,0.28661587834358215,0.08201610296964645,0.07395314425230026,0.21479354798793793
),0.20711064338684082,0.18584993481636047,0.3456730246543884,0.27228695154190063,0.18730930984020233,0.10079614818096161,0.17687442898750305,0.42300865054130554
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.4345304071903229,0.2060975730419159,0.22969768941402435,0.2460833340883255,0.4130953550338745
