,students,build,stronger,relationships,with,what,type,of,teachers,?
students,1.0,0.1825328767299652,0.1374104917049408,0.19040459394454956,0.17162418365478516,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.7183375358581543,0.18017297983169556
are,0.2835792899131775,0.24050216376781464,0.23034387826919556,0.2517375648021698,0.38996943831443787,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2565288841724396,0.24591213464736938
likely,0.19751271605491638,0.128804549574852,0.2776254415512085,0.24045579135417938,0.2721078097820282,0.4101858139038086,0.20120690762996674,0.2704482078552246,0.11304396390914917,0.35971182584762573
to,0.2905822694301605,0.38783395290374756,0.32863837480545044,0.24882912635803223,0.4239959120750427,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2668606638908386,0.29463258385658264
build,0.1825328767299652,1.0000001192092896,0.33904382586479187,0.18942709267139435,0.25872841477394104,0.27055490016937256,0.20549337565898895,0.22630037367343903,0.20148025453090668,0.1704305112361908
stronger,0.1374104917049408,0.33904382586479187,1.0000001192092896,0.17550089955329895,0.270704984664917,0.26740801334381104,0.20023520290851593,0.19056105613708496,0.14249840378761292,0.12132075428962708
relations,0.2846711277961731,0.1754002869129181,0.14192785322666168,0.6917946338653564,0.29748082160949707,0.184731587767601,0.05423892289400101,0.272710919380188,0.2687673270702362,0.13942402601242065
with,0.17162418365478516,0.25872841477394104,0.270704984664917,0.32151785492897034,0.9999999403953552,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.17936164140701294,0.2433311939239502
teachers,0.7183375358581543,0.20148025453090668,0.14249840378761292,0.2242608666419983,0.17936164140701294,0.2526462972164154,0.09933348745107651,0.27737662196159363,1.0,0.19522249698638916
who,0.3510516881942749,0.1959037184715271,0.19857533276081085,0.25385087728500366,0.3282766342163086,0.40942975878715515,0.1257498413324356,0.2827862501144409,0.34250906109809875,0.26220351457595825
are,0.2835792899131775,0.24050216376781464,0.23034387826919556,0.2517375648021698,0.38996943831443787,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2565288841724396,0.24591213464736938
friendly,0.18258066475391388,0.21211457252502441,0.2680624723434448,0.23473325371742249,0.34006279706954956,0.24098175764083862,0.14739982783794403,0.14716918766498566,0.1737314611673355,0.2218340039253235
and,0.28111961483955383,0.27539998292922974,0.337919682264328,0.3358020782470703,0.5477725267410278,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28640416264533997,0.20544172823429108
supportive,0.2293892800807953,0.24190129339694977,0.28549546003341675,0.29238617420196533,0.28989285230636597,0.2531377375125885,0.1444595456123352,0.25233203172683716,0.21884414553642273,0.1928483247756958
and,0.28111961483955383,0.27539998292922974,0.337919682264328,0.3358020782470703,0.5477725267410278,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28640416264533997,0.20544172823429108
will,0.2392929345369339,0.2883019745349884,0.25062817335128784,0.1963963359594345,0.33888739347457886,0.3510494530200958,0.1847439557313919,0.2473582625389099,0.2233489602804184,0.35046905279159546
show,0.15391837060451508,0.1893128603696823,0.18607915937900543,0.22433245182037354,0.3004990220069885,0.29653704166412354,0.10632410645484924,0.21383242309093475,0.17230913043022156,0.2520138621330261
more,0.27059733867645264,0.29524558782577515,0.4462660253047943,0.25578272342681885,0.3535402715206146,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.22816872596740723,0.27894994616508484
interest,0.25365766882896423,0.2100316286087036,0.19084899127483368,0.330194890499115,0.1937357634305954,0.23849236965179443,0.1279594600200653,0.2115241438150406,0.2429947704076767,0.2411724328994751
in,0.2676171064376831,0.26063278317451477,0.20021474361419678,0.2185511291027069,0.4080928862094879,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2128150761127472,0.20430970191955566
courses,0.5292260646820068,0.213140606880188,0.14585967361927032,0.21375621855258942,0.21453464031219482,0.16680994629859924,0.1892250031232834,0.2450425922870636,0.5003960728645325,0.15338684618473053
taught,0.5147935152053833,0.14479592442512512,0.17792119085788727,0.25504449009895325,0.15994487702846527,0.25590506196022034,0.10239885002374649,0.23614580929279327,0.58847576379776,0.18297621607780457
by,0.19252489507198334,0.15823611617088318,0.21266263723373413,0.2061600238084793,0.39731505513191223,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.20573484897613525,0.17966607213020325
these,0.267805814743042,0.29266977310180664,0.2772030532360077,0.30786392092704773,0.37595367431640625,0.4164220690727234,0.26445475220680237,0.42684608697891235,0.26086926460266113,0.2571668326854706
teachers,0.7183375358581543,0.20148025453090668,0.14249840378761292,0.2242608666419983,0.17936164140701294,0.2526462972164154,0.09933348745107651,0.27737662196159363,1.0,0.19522249698638916
.,0.2607303857803345,0.275961309671402,0.26046520471572876,0.20492441952228546,0.4446153938770294,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24628326296806335,0.4130953550338745
