,who,did,berengaria,of,navarre,marry,?
while,0.4068111777305603,0.3330625295639038,0.2413012534379959,0.3366928696632385,0.10561508685350418,0.1442723274230957,0.21076419949531555
in,0.2792111933231354,0.2593238651752472,0.28983184695243835,0.5696388483047485,0.20258194208145142,0.17190752923488617,0.20430970191955566
limassol,0.14403916895389557,0.10937079787254333,0.4391838014125824,0.3043941855430603,0.34046459197998047,0.0999503880739212,0.09044361859560013
",",0.3365725874900818,0.3015086054801941,0.4354943633079529,0.4946078956127167,0.23727230727672577,0.2495274543762207,0.31091248989105225
richard,0.27835920453071594,0.17407897114753723,0.34676772356033325,0.2227524220943451,0.24325676262378693,0.23474031686782837,0.15003317594528198
the,0.3733934462070465,0.34736719727516174,0.24224331974983215,0.733189046382904,0.22569294273853302,0.16624797880649567,0.22068053483963013
lion-heart,0.27018269896507263,0.20554834604263306,0.37190496921539307,0.25904229283332825,0.2578905522823334,0.2919909656047821,0.21997591853141785
married,0.299703449010849,0.199991375207901,0.4146147668361664,0.1619977355003357,0.2935391366481781,0.6243249773979187,0.18062160909175873
berengaria,0.2704499363899231,0.13636580109596252,1.0000001192092896,0.3055189847946167,0.5405579209327698,0.36629268527030945,0.21576333045959473
of,0.2827862501144409,0.2513895630836487,0.3055189847946167,1.0,0.27995768189430237,0.15853992104530334,0.1826142966747284
navarre,0.16350392997264862,0.15701428055763245,0.5405579209327698,0.27995768189430237,0.9999999403953552,0.32804349064826965,0.18471768498420715
",",0.3365725874900818,0.3015086054801941,0.4354943633079529,0.4946078956127167,0.23727230727672577,0.2495274543762207,0.31091248989105225
first-born,0.34192460775375366,0.26315951347351074,0.4197816550731659,0.33080047369003296,0.3100863993167877,0.39107415080070496,0.29029735922813416
daughter,0.36132487654685974,0.16868793964385986,0.38048407435417175,0.23132967948913574,0.2905047833919525,0.5340411067008972,0.10566599667072296
of,0.2827862501144409,0.2513895630836487,0.3055189847946167,1.0,0.27995768189430237,0.15853992104530334,0.1826142966747284
king,0.24555552005767822,0.24472618103027344,0.3538932502269745,0.2938710153102875,0.41375982761383057,0.3586818277835846,0.19130074977874756
sancho,0.25435540080070496,0.14753243327140808,0.4102950692176819,0.20085421204566956,0.47340160608291626,0.2746942341327667,0.20265625417232513
vi,0.14720222353935242,0.07291742414236069,0.3005560636520386,0.19112659990787506,0.3479915261268616,0.16896438598632812,0.18897955119609833
of,0.2827862501144409,0.2513895630836487,0.3055189847946167,1.0,0.27995768189430237,0.15853992104530334,0.1826142966747284
navarre,0.16350392997264862,0.15701428055763245,0.5405579209327698,0.27995768189430237,0.9999999403953552,0.32804349064826965,0.18471768498420715
.,0.3541337847709656,0.35288307070732117,0.35052862763404846,0.5352458953857422,0.23024553060531616,0.19600537419319153,0.4130953550338745
