,what,is,the,expression,used,to,identify,any,given,series,of,problems,capable,of,being,solved,within,time,on,a,deterministic,turing,machine,?
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.33762842416763306,0.4236139953136444,0.4451248347759247,0.2645174264907837,0.3944643437862396,0.44294488430023193,0.2715710699558258,0.4185989499092102,0.27039530873298645,0.31242474913597107,0.4185989499092102,0.41687241196632385,0.18016043305397034,0.3087334632873535,0.3992156386375427,0.36199691891670227,0.44038116931915283,0.3079332709312439,0.2892029285430908,0.25323837995529175,0.264628142118454
instance,0.3862040638923645,0.33154773712158203,0.3539782464504242,0.38134193420410156,0.4317927062511444,0.3533851206302643,0.2816741168498993,0.5144610404968262,0.30268949270248413,0.1568293422460556,0.3011147379875183,0.26415565609931946,0.22949978709220886,0.3011147379875183,0.36374738812446594,0.30417802929878235,0.32792040705680847,0.31412214040756226,0.27506861090660095,0.40728384256362915,0.4194823205471039,0.3197348713874817,0.2857376039028168,0.30205854773521423
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22825834155082703,0.3120402991771698,0.44245919585227966,0.1614028364419937,0.3237466514110565,0.2843315005302429,0.24060699343681335,0.4946078956127167,0.2596952021121979,0.17765167355537415,0.4946078956127167,0.34499165415763855,0.25483599305152893,0.2513136863708496,0.3029961884021759,0.49057599902153015,0.427140474319458,0.22677423059940338,0.2807261645793915,0.21841607987880707,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2569258511066437,0.3718377649784088,0.535392165184021,0.2653810381889343,0.4525727927684784,0.37508252263069153,0.31376904249191284,0.733189046382904,0.2659202516078949,0.18860051035881042,0.733189046382904,0.419739305973053,0.21140827238559723,0.39827480912208557,0.43061500787734985,0.5107308030128479,0.5829201340675354,0.33725428581237793,0.2644472122192383,0.22788187861442566,0.22068053483963013
set,0.28954121470451355,0.21148966252803802,0.2927955985069275,0.17199566960334778,0.2491818517446518,0.320547491312027,0.1578781008720398,0.2833866775035858,0.25759026408195496,0.28456470370292664,0.20671486854553223,0.17702552676200867,0.10900986194610596,0.20671486854553223,0.1785641312599182,0.22059224545955658,0.2636004388332367,0.258029967546463,0.23748746514320374,0.2540091574192047,0.2321997433900833,0.23849166929721832,0.18266715109348297,0.1698019951581955
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2863939702510834,0.3075267970561981,0.41548454761505127,0.244131401181221,0.3769088089466095,0.39388060569763184,0.22268271446228027,1.0,0.2450421154499054,0.21464630961418152,1.0,0.34885138273239136,0.17960071563720703,0.39594778418540955,0.35127586126327515,0.3966929316520691,0.5052502155303955,0.3430701494216919,0.2670239806175232,0.15468473732471466,0.1826142966747284
problems,0.3306994140148163,0.16985496878623962,0.2659202516078949,0.22615519165992737,0.25633504986763,0.28989166021347046,0.20285017788410187,0.3620428442955017,0.20150630176067352,0.1760769486427307,0.2450421154499054,1.0,0.20808522403240204,0.2450421154499054,0.27170485258102417,0.4872119128704071,0.15260569751262665,0.2643886208534241,0.22423362731933594,0.21523453295230865,0.32895514369010925,0.22053948044776917,0.20043540000915527,0.2638136148452759
solvable,0.3505726754665375,0.31545230746269226,0.2564215660095215,0.31800204515457153,0.34430834650993347,0.29019930958747864,0.23870529234409332,0.4001360237598419,0.24569880962371826,0.25783291459083557,0.24158811569213867,0.3760342001914978,0.3457539975643158,0.24158811569213867,0.23201419413089752,0.6210904717445374,0.2421393245458603,0.30290457606315613,0.18138627707958221,0.3367801904678345,0.47819986939430237,0.40974587202072144,0.3703952729701996,0.2862088680267334
within,0.2498195916414261,0.30135563015937805,0.39827480912208557,0.22867892682552338,0.1944712996482849,0.34980177879333496,0.32870587706565857,0.34662479162216187,0.18818950653076172,0.17408162355422974,0.39594778418540955,0.15260569751262665,0.25808069109916687,0.39594778418540955,0.27758464217185974,0.15531101822853088,1.0,0.2541442811489105,0.2702226936817169,0.3858051896095276,0.35202154517173767,0.118022121489048,0.08184213191270828,0.1870293766260147
time,0.36319252848625183,0.25187405943870544,0.43061500787734985,0.1823306530714035,0.2869652807712555,0.3679993152618408,0.18129877746105194,0.3699842095375061,0.317789226770401,0.2359362095594406,0.35127586126327515,0.2643886208534241,0.26054146885871887,0.35127586126327515,0.3508506119251251,0.2711636424064636,0.2541442811489105,0.9999998807907104,0.30044233798980713,0.3292340338230133,0.3150995075702667,0.3296571373939514,0.25790056586265564,0.27391523122787476
