,ip,and,am,are,most,commonly,defined,by,what,type,of,proof,system,?
classes,0.14338892698287964,0.2892279624938965,0.12241080403327942,0.2913099527359009,0.21616819500923157,0.1464134007692337,0.2014472633600235,0.1743253618478775,0.20746955275535583,0.29090338945388794,0.19099700450897217,0.10712781548500061,0.1976381242275238,0.14397528767585754
like,0.19655407965183258,0.46997135877609253,0.21609625220298767,0.4686352014541626,0.4050426185131073,0.3076494634151459,0.23888051509857178,0.2583819031715393,0.4320242702960968,0.2712353765964508,0.3244853615760803,0.26115167140960693,0.1939726322889328,0.3268813192844391
ip,1.0,0.1728854775428772,0.3217828571796417,0.2352840006351471,0.14604194462299347,0.12103300541639328,0.13900522887706757,0.16174575686454773,0.31860238313674927,0.11827583611011505,0.1514824479818344,0.2585580348968506,0.2163216918706894,0.36959925293922424
and,0.1728854775428772,1.0,0.22989323735237122,0.48576638102531433,0.4309377074241638,0.2290310114622116,0.2678177058696747,0.4289871156215668,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.19803832471370697,0.231138214468956,0.20544172823429108
am,0.3217828571796417,0.22989323735237122,0.9999999403953552,0.26947084069252014,0.18253089487552643,0.08814264833927155,0.1271681934595108,0.1507876068353653,0.25965139269828796,0.13666750490665436,0.1489860564470291,0.19312214851379395,0.10058175027370453,0.3437723219394684
are,0.2352840006351471,0.48576638102531433,0.26947084069252014,1.0,0.48698675632476807,0.4038049578666687,0.2598877251148224,0.37842893600463867,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.1946345865726471,0.21917270123958588,0.24591213464736938
defined,0.13900522887706757,0.2678177058696747,0.1271681934595108,0.2598877251148224,0.17652170360088348,0.2574748396873474,1.0,0.23525729775428772,0.25343453884124756,0.27646204829216003,0.2659633457660675,0.21011079847812653,0.2620893120765686,0.22494901716709137
using,0.29103797674179077,0.33157408237457275,0.1249796524643898,0.3385874032974243,0.25117412209510803,0.3275452256202698,0.26240116357803345,0.349493145942688,0.27984681725502014,0.26539579033851624,0.24298200011253357,0.2546004056930542,0.31511810421943665,0.2804589569568634
interactive,0.19703735411167145,0.2555690109729767,0.1410549432039261,0.2421581894159317,0.2174062877893448,0.20635230839252472,0.2186400294303894,0.2336673140525818,0.2204633206129074,0.17155414819717407,0.21953164041042328,0.18943504989147186,0.2671290934085846,0.15266580879688263
proof,0.2585580348968506,0.19803832471370697,0.19312214851379395,0.1946345865726471,0.16653193533420563,0.1686067432165146,0.21011079847812653,0.18131296336650848,0.2957751154899597,0.17880846560001373,0.14443641901016235,1.0000001192092896,0.20866504311561584,0.27836254239082336
systems,0.21347475051879883,0.27479326725006104,0.12736892700195312,0.29607290029525757,0.2624094784259796,0.2349473088979721,0.2619873881340027,0.2058878391981125,0.1871482878923416,0.2776927351951599,0.277031809091568,0.20546233654022217,0.7890681028366089,0.1575973927974701
.,0.23685991764068604,0.588965117931366,0.20696339011192322,0.3452940285205841,0.35404038429260254,0.2135825902223587,0.23198837041854858,0.3936232924461365,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.25528866052627563,0.2277725487947464,0.4130953550338745
