,what,does,each,packet,includ,in,connectionless,mode
in,0.30808621644973755,0.214483380317688,0.30816060304641724,0.1529032289981842,0.3393888473510742,1.0,0.27131563425064087,0.1449393332004547
connectionless,0.26037684082984924,0.2803881764411926,0.34752488136291504,0.39171841740608215,0.16596941649913788,0.27131563425064087,1.0000001192092896,0.33026832342147827
mode,0.22054550051689148,0.19629999995231628,0.2851977050304413,0.23263481259346008,0.12508974969387054,0.1449393332004547,0.33026832342147827,1.0
each,0.3353266417980194,0.31699198484420776,1.0,0.2744428515434265,0.19021417200565338,0.30816060304641724,0.34752488136291504,0.2851977050304413
packet,0.2392171323299408,0.26850301027297974,0.2744428515434265,1.0000001192092896,0.16056369245052338,0.1529032289981842,0.39171841740608215,0.23263481259346008
includes,0.17138352990150452,0.2753782868385315,0.20556209981441498,0.14272519946098328,0.7613139748573303,0.32460328936576843,0.20298266410827637,0.17009328305721283
complete,0.29213884472846985,0.22842764854431152,0.2634847164154053,0.18764886260032654,0.1978309005498886,0.2201821506023407,0.19812947511672974,0.222259521484375
addressing,0.3198613226413727,0.26350468397140503,0.28145521879196167,0.3830297589302063,0.1329624503850937,0.18677078187465668,0.38699832558631897,0.09486401826143265
information,0.35283446311950684,0.279457688331604,0.292409747838974,0.33543625473976135,0.2027490884065628,0.20385970175266266,0.3636752963066101,0.15223950147628784
.,0.3567904531955719,0.3022993505001068,0.31204065680503845,0.1900589019060135,0.28487879037857056,0.5591574311256409,0.29343926906585693,0.24058961868286133
