,who,might,temüjin,have,been,named,after,?
according,0.22336459159851074,0.1857611984014511,0.2713835537433624,0.23988237977027893,0.24240265786647797,0.26684674620628357,0.1990763396024704,0.21173474192619324
to,0.42656609416007996,0.5153919458389282,0.36858871579170227,0.4544740617275238,0.34945759177207947,0.23689822852611542,0.37890323996543884,0.29463258385658264
the,0.3733934462070465,0.32504433393478394,0.43713900446891785,0.40389683842658997,0.3563927710056305,0.3521348536014557,0.4565047025680542,0.22068053483963013
secret,0.2725749909877777,0.1477862000465393,0.3609839379787445,0.20777279138565063,0.1915043145418167,0.13319435715675354,0.16978414356708527,0.16440534591674805
history,0.22458811104297638,0.15936025977134705,0.3064565062522888,0.24434958398342133,0.27890413999557495,0.1511867493391037,0.24675065279006958,0.2501974403858185
",",0.3365725874900818,0.2533247768878937,0.3484273850917816,0.3541618287563324,0.34873589873313904,0.2530003488063812,0.38860568404197693,0.31091248989105225
temüjin,0.416724294424057,0.3063511848449707,1.0,0.3523968458175659,0.32750746607780457,0.27967900037765503,0.380215048789978,0.21090233325958252
was,0.3318818509578705,0.25552675127983093,0.38774195313453674,0.2863433063030243,0.518218457698822,0.37528327107429504,0.49306565523147583,0.18412111699581146
named,0.38541290163993835,0.10975036770105362,0.27967900037765503,0.18059904873371124,0.20494630932807922,1.0,0.4528660774230957,0.1297498345375061
after,0.32549580931663513,0.2106364369392395,0.380215048789978,0.2838422358036041,0.2954521179199219,0.4528660774230957,1.0,0.16608688235282898
a,0.36608949303627014,0.4210625886917114,0.36845725774765015,0.338716596364975,0.3315402865409851,0.3292267918586731,0.3831600844860077,0.23916715383529663
tatar,0.24411942064762115,0.11038311570882797,0.42862632870674133,0.10688886791467667,0.13546127080917358,0.12934309244155884,0.1483197659254074,0.15055009722709656
chieftain,0.38326001167297363,0.1519760638475418,0.5634509325027466,0.11093346029520035,0.11281920969486237,0.22327931225299835,0.25230687856674194,0.09497888386249542
",",0.3365725874900818,0.2533247768878937,0.3484273850917816,0.3541618287563324,0.34873589873313904,0.2530003488063812,0.38860568404197693,0.31091248989105225
temüjin-üge,0.4495369493961334,0.338646799325943,0.921495258808136,0.37729412317276,0.3502390384674072,0.29459792375564575,0.37056976556777954,0.27054455876350403
",",0.3365725874900818,0.2533247768878937,0.3484273850917816,0.3541618287563324,0.34873589873313904,0.2530003488063812,0.38860568404197693,0.31091248989105225
whom,0.6214004158973694,0.1704711616039276,0.34102556109428406,0.25754275918006897,0.2744016945362091,0.28758057951927185,0.26001983880996704,0.222135990858078
his,0.44966956973075867,0.18476447463035583,0.4682264029979706,0.25689181685447693,0.2785126268863678,0.19388648867607117,0.41949746012687683,0.18075084686279297
father,0.4164644777774811,0.19194766879081726,0.40216585993766785,0.1205211728811264,0.1658407300710678,0.22699850797653198,0.31013625860214233,0.14826634526252747
had,0.36173108220100403,0.33089837431907654,0.4177429676055908,0.6263401508331299,0.6048885583877563,0.2452518343925476,0.4133172631263733,0.20728366076946259
just,0.357815682888031,0.5100241303443909,0.2941338121891022,0.45864632725715637,0.3169039189815521,0.20595073699951172,0.3790239691734314,0.4144178032875061
captured,0.26148858666419983,0.15468165278434753,0.32279106974601746,0.15952374041080475,0.25062474608421326,0.23406702280044556,0.3176967203617096,0.11851847916841507
.,0.3541337847709656,0.27493223547935486,0.31788840889930725,0.41614407300949097,0.33645182847976685,0.24760639667510986,0.35870397090911865,0.4130953550338745
