,what,did,smedley,butler,call,us,foreign,policy,?
american,0.1909721940755844,0.21486236155033112,0.34192371368408203,0.2884335219860077,0.1607629656791687,0.23595276474952698,0.16844871640205383,0.11977551132440567,0.18877598643302917
foreign,0.1784719079732895,0.16029956936836243,0.06757970154285431,0.14323878288269043,0.07352326810359955,0.18228672444820404,1.0000001192092896,0.40446552634239197,0.13770383596420288
policy,0.3869883120059967,0.2751549482345581,0.06037842482328415,0.15820817649364471,0.12982775270938873,0.26135963201522827,0.40446552634239197,0.9999998807907104,0.30462446808815
was,0.22111038863658905,0.41399896144866943,0.2834869623184204,0.23930388689041138,0.16074088215827942,0.19898231327533722,0.18690811097621918,0.1882478892803192,0.18412111699581146
denounced,0.1807350069284439,0.3275679647922516,0.17814317345619202,0.18201692402362823,0.27412134408950806,0.13075952231884003,0.2486163079738617,0.2878257930278778,0.1610281616449356
as,0.31749409437179565,0.3596470057964325,0.22560745477676392,0.2576999068260193,0.2785561680793762,0.1875484585762024,0.267986536026001,0.2869105041027069,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.2277912199497223,0.20797064900398254,0.2774817645549774,0.1862444281578064,0.16994866728782654,0.17720282077789307,0.23916715383529663
``,0.008517155423760414,-0.029888948425650597,0.004547849763184786,-0.022396331652998924,0.11138522624969482,0.01951291412115097,0.0731719359755516,0.06104245409369469,0.0685480609536171
racket,0.17534352838993073,0.16238121688365936,0.1319897472858429,0.12206392735242844,0.17429254949092865,0.2162470519542694,0.19338205456733704,0.1905985027551651,0.16627950966358185
'',0.08143015950918198,0.01978493109345436,0.012483527883887291,-0.05452323332428932,-0.01835283823311329,-0.05206549912691116,-0.022735629230737686,0.07160447537899017,0.018684765323996544
by,0.2455483376979828,0.18574509024620056,0.26083287596702576,0.21796877682209015,0.1639126092195511,0.1641579419374466,0.22881895303726196,0.13463684916496277,0.17966607213020325
smedley,0.1527552455663681,0.18084126710891724,1.0,0.39535367488861084,0.14639271795749664,0.21350741386413574,0.06757970154285431,0.06037842482328415,0.1804630011320114
butler,0.17500723898410797,0.19437997043132782,0.39535367488861084,1.0000001192092896,0.11085716634988785,0.13016818463802338,0.14323878288269043,0.15820817649364471,0.16209237277507782
",",0.3087472915649414,0.3015086054801941,0.32140037417411804,0.33382004499435425,0.2670435905456543,0.3120202422142029,0.2636609673500061,0.2903050184249878,0.31091248989105225
an,0.2821882665157318,0.22598257660865784,0.24568025767803192,0.24745045602321625,0.1605527549982071,0.1722210943698883,0.17563144862651825,0.19907741248607635,0.19793890416622162
american,0.1909721940755844,0.21486236155033112,0.34192371368408203,0.2884335219860077,0.1607629656791687,0.23595276474952698,0.16844871640205383,0.11977551132440567,0.18877598643302917
general,0.24928055703639984,0.19499315321445465,0.1296900063753128,0.18609724938869476,-0.003686151932924986,0.16030950844287872,0.21742403507232666,0.271578311920166,0.1972234547138214
.,0.3567904531955719,0.35288307070732117,0.280165433883667,0.2757592499256134,0.2601918876171112,0.3162994682788849,0.20514161884784698,0.25152966380119324,0.4130953550338745
