,what,type,of,prime,distribution,is,characterized,about,x/log,x,of,numbers,less,than,x,?
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.16725490987300873,0.13387413322925568,0.27355384826660156,0.17707842588424683,0.3421173691749573,0.1447138488292694,0.16927196085453033,0.4249346852302551,0.21346062421798706,0.2665170431137085,0.2633618414402008,0.16927196085453033,0.19969791173934937
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.17998681962490082,0.21514776349067688,0.658733606338501,0.3205097019672394,0.34171196818351746,0.24380727112293243,0.21952441334724426,0.5052502155303955,0.24434582889080048,0.3475147485733032,0.3126874566078186,0.21952441334724426,0.23916715383529663
mathematical,0.2707732021808624,0.08984915167093277,0.2863022983074188,0.18383847177028656,0.3342825770378113,0.18057724833488464,0.2105933278799057,0.19412928819656372,0.4071745276451111,0.27368542551994324,0.2863022983074188,0.3830449879169464,0.20462094247341156,0.19886751472949982,0.27368542551994324,0.1630573719739914
viewpoint,0.3907443583011627,0.1304972767829895,0.20330668985843658,0.10374827682971954,0.15561777353286743,0.24497917294502258,0.29178184270858765,0.2914458215236664,0.2805692255496979,0.18953050673007965,0.20330668985843658,0.27137359976768494,0.27323204278945923,0.2511599659919739,0.18953050673007965,0.3248816728591919
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2565026581287384,0.20136328041553497,0.4691906273365021,0.23185861110687256,0.3877100944519043,0.26064008474349976,0.2696380019187927,0.4946078956127167,0.26479464769363403,0.28111666440963745,0.3371901512145996,0.2696380019187927,0.31091248989105225
it,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.16581475734710693,0.2561117708683014,0.6328473687171936,0.23098841309547424,0.4291239380836487,0.2720324993133545,0.19160020351409912,0.38761502504348755,0.21458786725997925,0.3841782212257385,0.3603973984718323,0.19160020351409912,0.25732165575027466
roughly,0.2731170356273651,0.08108308911323547,0.35703447461128235,0.1228027269244194,0.18861103057861328,0.26754480600357056,0.22461232542991638,0.4872671067714691,0.1751137226819992,0.17566661536693573,0.35703447461128235,0.22644847631454468,0.3822464644908905,0.3543790876865387,0.17566661536693573,0.09299357235431671
states,0.21526020765304565,0.15023280680179596,0.30884552001953125,0.1575697958469391,0.17878855764865875,0.21939043700695038,0.17717324197292328,0.22842468321323395,0.1290634274482727,0.14802663028240204,0.30884552001953125,0.2084389477968216,0.19701696932315826,0.24014748632907867,0.14802663028240204,0.16272737085819244
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.18163643777370453,0.25933966040611267,0.3995479643344879,0.295734703540802,0.4500710964202881,0.27297443151474,0.2282639741897583,0.41498205065727234,0.342125803232193,0.42165717482566833,0.4891277849674225,0.2282639741897583,0.32716336846351624
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.19960100948810577,0.27569329738616943,0.5823672413825989,0.30089181661605835,0.37995871901512146,0.19001157581806183,0.20980626344680786,0.733189046382904,0.293011337518692,0.29185041785240173,0.3227543234825134,0.20980626344680786,0.22068053483963013
asymptotic,0.2701796591281891,0.3440277874469757,0.300331175327301,0.17926239967346191,0.3223889470100403,0.3114830255508423,0.4582095146179199,0.2624095678329468,0.2729021906852722,0.30544111132621765,0.300331175327301,0.31379857659339905,0.37552013993263245,0.32864341139793396,0.30544111132621765,0.19730989634990692
distribution,0.17429208755493164,0.1195337325334549,0.254255473613739,0.1501522660255432,1.0,0.2414398044347763,0.22327476739883423,0.18622231483459473,0.22736266255378723,0.21962817013263702,0.254255473613739,0.31260761618614197,0.18247641623020172,0.18538735806941986,0.21962817013263702,0.0929616317152977
of,0.33290785551071167,0.18112817406654358,1.0,0.23935265839099884,0.254255473613739,0.4854315221309662,0.30984818935394287,0.40939709544181824,0.12709543108940125,0.1708947718143463,1.0,0.228018656373024,0.30836719274520874,0.33036211133003235,0.1708947718143463,0.1826142966747284
primes,0.2505246102809906,0.14125247299671173,0.22199293971061707,0.7104739546775818,0.2172791212797165,0.2382466346025467,0.17867672443389893,0.18830472230911255,0.29392388463020325,0.24774925410747528,0.22199293971061707,0.47689586877822876,0.2438860982656479,0.28400641679763794,0.24774925410747528,0.18851876258850098
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.21646767854690552,0.15190289914608002,0.35393038392066956,0.14028404653072357,0.27495184540748596,0.27899014949798584,0.2501775324344635,0.35032153129577637,0.16701039671897888,0.20576579868793488,0.19419437646865845,0.2501775324344635,0.40561532974243164
about,0.47976887226104736,0.1371919810771942,0.40939709544181824,0.1290404349565506,0.18622231483459473,0.3532065451145172,0.21238882839679718,1.0,0.15828892588615417,0.11477513611316681,0.40939709544181824,0.17381024360656738,0.37624892592430115,0.40586400032043457,0.11477513611316681,0.302409827709198
x/log,0.2847920358181,0.18139663338661194,0.12709543108940125,0.16079597175121307,0.22736266255378723,0.19694100320339203,0.10788177698850632,0.15828892588615417,1.0,0.2534381151199341,0.12709543108940125,0.26379382610321045,0.1778576672077179,0.18907740712165833,0.2534381151199341,0.3966628611087799
x,0.13783220946788788,0.151067852973938,0.1708947718143463,0.10484098643064499,0.21962817013263702,0.1738782823085785,0.1320362687110901,0.11477513611316681,0.2534381151199341,0.9999999403953552,0.1708947718143463,0.23992422223091125,0.1685672402381897,0.2102220505475998,0.9999999403953552,0.23304535448551178
