,approximately,how,many,items,are,in,the,glass,collection,of,the,v,&,a,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.40399202704429626,0.6662389636039734,1.0,0.20646950602531433,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
glass,0.17150555551052094,0.17437775433063507,0.2138942927122116,0.26045045256614685,0.22719284892082214,0.21226459741592407,0.20646950602531433,1.0000001192092896,0.20833949744701385,0.24470314383506775,0.20646950602531433,0.07635462284088135,0.1512424498796463,0.2592375874519348,0.1252557635307312
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.38827261328697205,0.22862131893634796,0.23004686832427979,0.25281965732574463,0.20833949744701385,0.9999998807907104,0.2915455996990204,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
covers,0.2923051416873932,0.0757373496890068,0.2542455792427063,0.2468070387840271,0.30161428451538086,0.30597710609436035,0.326327383518219,0.1640758067369461,0.2575444281101227,0.3789252042770386,0.326327383518219,0.08359728753566742,0.13655826449394226,0.28468799591064453,0.1432708352804184
4000,-0.10928041487932205,0.02000647597014904,0.046342696994543076,-0.02141006849706173,-0.05879361182451248,0.11787246912717819,0.12473944574594498,0.055200301110744476,0.10721607506275177,0.14749622344970703,0.12473944574594498,0.01480858027935028,0.05802087485790253,0.11111292988061905,0.041968125849962234
years,0.3163083791732788,0.21949264407157898,0.2731519937515259,0.1993444263935089,0.17491404712200165,0.33554986119270325,0.2912273406982422,0.16983340680599213,0.1788054257631302,0.2904134690761566,0.2912273406982422,0.15056827664375305,0.0772986188530922,0.23773819208145142,0.1914375126361847
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.21522082388401031,0.39081433415412903,0.5696388483047485,0.733189046382904,0.24470314383506775,0.2915455996990204,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
glass,0.17150555551052094,0.17437775433063507,0.2138942927122116,0.26045045256614685,0.22719284892082214,0.21226459741592407,0.20646950602531433,1.0000001192092896,0.20833949744701385,0.24470314383506775,0.20646950602531433,0.07635462284088135,0.1512424498796463,0.2592375874519348,0.1252557635307312
making,0.2353993058204651,0.32306843996047974,0.3595695495605469,0.2595180571079254,0.3466905653476715,0.280230849981308,0.35185980796813965,0.2780562937259674,0.22094093263149261,0.3250596821308136,0.35185980796813965,0.13766321539878845,0.17952188849449158,0.3237393796443939,0.2539324164390564
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.23527590930461884,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.2645854949951172,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.2681989371776581,0.2379438579082489,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
has,0.29600146412849426,0.26820555329322815,0.4266262650489807,0.21942897140979767,0.4313911199569702,0.4173259735107422,0.4177538752555847,0.24024318158626556,0.1728775054216385,0.3909035325050354,0.4177538752555847,0.07488378137350082,0.1216270700097084,0.4670248031616211,0.15994466841220856
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.22679616510868073,0.2778770923614502,0.3605569899082184,0.39856547117233276,0.15826863050460815,0.21212655305862427,0.36136594414711,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.25742942094802856
6000,-0.18795853853225708,-0.08042212575674057,-0.060008492320775986,-0.0990973487496376,-0.14673203229904175,-0.030085144564509392,-0.015774738043546677,0.03847735747694969,0.00685616210103035,0.024499543011188507,-0.015774738043546677,-0.05598467215895653,0.04315951094031334,-0.021400416269898415,-0.057236284017562866
items,0.13907083868980408,0.25054052472114563,0.30115842819213867,1.0000001192092896,0.3372188210487366,0.2189844399690628,0.23580949008464813,0.26045045256614685,0.38827261328697205,0.21522082388401031,0.23580949008464813,0.07684866338968277,0.07111205160617828,0.2916238307952881,0.19807128608226776
from,0.302482545375824,0.22939439117908478,0.33099696040153503,0.22521184384822845,0.2674213647842407,0.4274188280105591,0.40150508284568787,0.1566731482744217,0.2754948139190674,0.4249346852302551,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.19969791173934937
africa,0.17610260844230652,0.1568063348531723,0.285052627325058,0.14776553213596344,0.19885441660881042,0.27806714177131653,0.2903064787387848,0.18159127235412598,0.11708277463912964,0.2694264054298401,0.2903064787387848,0.059770625084638596,0.08740679919719696,0.18140724301338196,0.12926554679870605
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.23527590930461884,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
britain,0.17122909426689148,0.21808192133903503,0.31913602352142334,0.18306370079517365,0.19201767444610596,0.26246872544288635,0.29784059524536133,0.15382073819637299,0.1765190064907074,0.28899943828582764,0.29784059524536133,0.17508196830749512,0.14032991230487823,0.18575294315814972,0.1268460750579834
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.23527590930461884,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
europe,0.20520205795764923,0.1606675088405609,0.3837028741836548,0.1752118617296219,0.22028589248657227,0.33061710000038147,0.34463706612586975,0.16194221377372742,0.15164971351623535,0.29299741983413696,0.34463706612586975,0.10453177988529205,0.1580963432788849,0.18710176646709442,0.18278923630714417
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.23527590930461884,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
america,0.17797903716564178,0.19301444292068481,0.30219417810440063,0.14031870663166046,0.2022080272436142,0.3098583221435547,0.37090015411376953,0.1433459222316742,0.20775489509105682,0.28803038597106934,0.37090015411376953,0.11695870757102966,0.15439684689044952,0.22012436389923096,0.19333907961845398
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.2645854949951172,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.2681989371776581,0.2379438579082489,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
asia,0.19344057142734528,0.15617841482162476,0.3236691951751709,0.12039196491241455,0.21773061156272888,0.26562291383743286,0.2838890850543976,0.20466476678848267,0.1448836624622345,0.2372564673423767,0.2838890850543976,0.060981590300798416,0.12218131124973297,0.14726082980632782,0.1340748518705368
.,0.27396154403686523,0.3287222981452942,0.3974229395389557,0.23707115650177002,0.3452940285205841,0.5591574311256409,0.5934505462646484,0.2393880933523178,0.2516246736049652,0.5352458953857422,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.4130953550338745
