,where,did,kublai,extend,the,grand,canal,to,?
kublai,0.2104915827512741,0.2875992953777313,0.9999999403953552,0.14417746663093567,0.32886171340942383,0.3053946793079376,0.11530797928571701,0.2918815314769745,0.14562560617923737
expanded,0.1920405477285385,0.20851697027683258,0.20425182580947876,0.43805938959121704,0.3258892893791199,0.12787944078445435,0.2124733328819275,0.29032543301582336,0.2124357968568802
the,0.5003893971443176,0.34736719727516174,0.32886171340942383,0.29680711030960083,1.0,0.305169016122818,0.26047348976135254,0.535392165184021,0.22068053483963013
grand,0.14345501363277435,0.17368978261947632,0.3053946793079376,0.05033070221543312,0.305169016122818,0.9999999403953552,0.19265727698802948,0.21583840250968933,0.1168735921382904
canal,0.18127882480621338,0.08102171123027802,0.11530797928571701,0.2264307737350464,0.26047348976135254,0.19265727698802948,1.0,0.15252184867858887,0.1123519018292427
from,0.3713873624801636,0.20248863101005554,0.13737952709197998,0.23901566863059998,0.40150508284568787,0.10258761048316956,0.15640263259410858,0.4069952368736267,0.19969791173934937
southern,0.2580642104148865,0.13322393596172333,0.24261532723903656,0.26566314697265625,0.3282862603664398,0.17145918309688568,0.21499167382717133,0.18284058570861816,0.11225555837154388
china,0.2026863694190979,0.16472692787647247,0.4708422124385834,0.13646985590457916,0.3110525608062744,0.19611923396587372,0.17641934752464294,0.1938052773475647,0.18007943034172058
to,0.47735077142715454,0.4452643394470215,0.2918815314769745,0.3343263864517212,0.535392165184021,0.21583840250968933,0.15252184867858887,1.0,0.29463258385658264
daidu,0.18025697767734528,0.11935389041900635,0.44662579894065857,0.044042978435754776,0.27974653244018555,0.19261278212070465,0.09126345813274384,0.15852566063404083,0.15795040130615234
in,0.5344807505607605,0.2593238651752472,0.2070179283618927,0.21083860099315643,0.6662389636039734,0.24767720699310303,0.25331923365592957,0.45010748505592346,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,0.32886171340942383,0.29680711030960083,1.0,0.305169016122818,0.26047348976135254,0.535392165184021,0.22068053483963013
north,0.23586879670619965,0.16732536256313324,0.1451452374458313,0.23845942318439484,0.36298373341560364,0.2314176708459854,0.3234170377254486,0.2743184268474579,0.11829731613397598
.,0.41390106081962585,0.35288307070732117,0.2311694622039795,0.23276987671852112,0.5934505462646484,0.22995266318321228,0.20299389958381653,0.4645031690597534,0.4130953550338745
