,who,designed,the,illumination,systems,that,tesla,electric,light,&,manufacturing,installed,?
after,0.32549580931663513,0.11683481931686401,0.4565047025680542,0.07691589742898941,0.08999557793140411,0.373811811208725,0.0752151682972908,0.11947925388813019,0.14589063823223114,0.08896223455667496,0.20798125863075256,0.1641712337732315,0.16608688235282898
leaving,0.26084476709365845,0.10750878602266312,0.35353413224220276,0.14517369866371155,0.11865583062171936,0.33599653840065,0.04802955687046051,0.08859419077634811,0.15755340456962585,0.08637518435716629,0.1568945199251175,0.19129203259944916,0.11571593582630157
edison,0.19920577108860016,0.2144099324941635,0.25419825315475464,0.26105061173439026,0.11299415677785873,0.21377308666706085,0.35526686906814575,0.3382755219936371,0.2813663184642792,0.15902625024318695,0.31354236602783203,0.12799867987632751,0.10244420915842056
's,0.05599616840481758,0.026795532554388046,-0.01540423184633255,0.004866864997893572,0.06028321012854576,0.04397977516055107,0.06449045985937119,-0.0115516884252429,0.047048170119524,-0.02038128487765789,-0.030407974496483803,0.00133028335403651,-0.023395681753754616
company,0.2383776307106018,0.24965356290340424,0.26591673493385315,0.21218235790729523,0.2402237206697464,0.22723333537578583,0.23045730590820312,0.27608945965766907,0.2409716695547104,0.22427646815776825,0.49409720301628113,0.1722271591424942,0.12195809185504913
tesla,0.1520961970090866,0.22829914093017578,0.1324402391910553,0.1763586699962616,0.23349368572235107,0.22102725505828857,0.9999999403953552,0.3824412524700165,0.15772268176078796,0.12341691553592682,0.350337952375412,0.20824137330055237,0.10250775516033173
partnered,0.21066147089004517,0.2453984022140503,0.1498856395483017,0.14983265101909637,0.13132789731025696,0.13922534883022308,0.10853637754917145,0.16647367179393768,0.04375123977661133,0.19211030006408691,0.21260011196136475,0.1742979884147644,0.15653236210346222
with,0.3282766342163086,0.21504513919353485,0.4223487675189972,0.21502134203910828,0.16664795577526093,0.4154358208179474,0.16424812376499176,0.17031213641166687,0.20245222747325897,0.20013411343097687,0.218266099691391,0.15225934982299805,0.2433311939239502
two,0.2791741192340851,0.17904981970787048,0.43858039379119873,0.15380237996578217,0.1953020691871643,0.3858162462711334,0.18793831765651703,0.18613938987255096,0.23638439178466797,0.16074252128601074,0.19837823510169983,0.15984508395195007,0.19645625352859497
businessmen,0.39281243085861206,0.184951514005661,0.2639414370059967,0.1319526582956314,0.27206769585609436,0.24658729135990143,0.13815727829933167,0.1440277397632599,0.06460326910018921,0.20370766520500183,0.35386738181114197,0.1641942709684372,0.15025284886360168
in,0.2792111933231354,0.22657902538776398,0.6662389636039734,0.18508875370025635,0.21664761006832123,0.435920387506485,0.17097744345664978,0.19779469072818756,0.1819845736026764,0.1358654648065567,0.2715393304824829,0.1724025458097458,0.20430970191955566
1886,0.10808108001947403,0.12494395673274994,0.16194075345993042,0.11696188151836395,0.3027154803276062,0.1918906271457672,0.22070029377937317,0.10923153162002563,0.0036777069326490164,0.05490952357649803,0.1768098622560501,0.2029203623533249,0.15507127344608307
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.23463280498981476,0.22053997218608856,0.4137537479400635,0.20599327981472015,0.22981849312782288,0.22209852933883667,0.2516871392726898,0.24209043383598328,0.18052662909030914,0.31091248989105225
robert,0.2748492956161499,0.15970760583877563,0.2257954627275467,0.1708962470293045,0.1143157035112381,0.17482081055641174,0.13741932809352875,0.06542565673589706,0.04272991046309471,0.1899324357509613,0.10141801834106445,0.07213721424341202,0.11293095350265503
lane,0.16658775508403778,0.11355476826429367,0.17604383826255798,0.19280262291431427,0.12778449058532715,0.14122256636619568,0.16600798070430756,0.15933482348918915,0.19460947811603546,0.21265295147895813,0.107968270778656,0.09442206472158432,0.12951500713825226
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.21071572601795197,0.27479326725006104,0.4731321930885315,0.19560420513153076,0.212884783744812,0.20458035171031952,0.34093084931373596,0.26176297664642334,0.15501943230628967,0.20544172823429108
benjamin,0.27949002385139465,0.14856980741024017,0.2507040798664093,0.16485558450222015,0.11519470810890198,0.17914853990077972,0.13292011618614197,0.15851236879825592,0.19117827713489532,0.23256851732730865,0.21076786518096924,0.13505786657333374,0.20336422324180603
vail,0.22504176199436188,0.195808544754982,0.21898703277111053,0.23450809717178345,0.1491328477859497,0.20493991672992706,0.22038593888282776,0.2582438290119171,0.16788411140441895,0.12503387033939362,0.21174515783786774,0.13912290334701538,0.08528917282819748
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.23463280498981476,0.22053997218608856,0.4137537479400635,0.20599327981472015,0.22981849312782288,0.22209852933883667,0.2516871392726898,0.24209043383598328,0.18052662909030914,0.31091248989105225
who,0.9999998807907104,0.21097040176391602,0.3733934462070465,0.14177776873111725,0.11571111530065536,0.45444270968437195,0.1520961970090866,0.19416284561157227,0.16200783848762512,0.09244576841592789,0.08808956295251846,0.20669250190258026,0.26220351457595825
agreed,0.3223225474357605,0.22522079944610596,0.24722334742546082,0.11395259201526642,0.1373426914215088,0.3681057095527649,0.12057691067457199,0.07839538156986237,0.07580669969320297,0.09476979821920395,0.1680787056684494,0.234207883477211,0.21258382499217987
to,0.42656609416007996,0.3077097535133362,0.535392165184021,0.2218901813030243,0.2514978349208832,0.5436353087425232,0.17548894882202148,0.2115597426891327,0.22474321722984314,0.1254875510931015,0.22432498633861542,0.23096364736557007,0.29463258385658264
