,when,was,his,lab,destroyed,?
[,0.07002913951873779,0.03263993561267853,0.07722601294517517,0.09035921841859818,0.17476829886436462,0.011015460826456547
citation,0.19754578173160553,0.17611537873744965,0.2327781468629837,0.056308116763830185,0.09364538639783859,0.3382055461406708
needed,0.3670521080493927,0.227164626121521,0.1912635713815689,0.21957527101039886,0.22482387721538544,0.2863257825374603
],-0.0009315960924141109,0.0001094614781322889,-0.008013250306248665,0.0282443817704916,-0.03347036615014076,-0.0022520492784678936
his,0.37120407819747925,0.4405253231525421,0.9999998807907104,0.19110973179340363,0.21838152408599854,0.18075084686279297
lab,0.20239342749118805,0.22224277257919312,0.19110973179340363,1.0,0.18236523866653442,0.15959888696670532
was,0.37326499819755554,1.0000001192092896,0.4405253231525421,0.22224277257919312,0.3184264302253723,0.18412111699581146
torn,0.24751824140548706,0.2938840091228485,0.2515830099582672,0.12264777719974518,0.35693827271461487,0.13564015924930573
down,0.3649565279483795,0.19277216494083405,0.21882498264312744,0.13741980493068695,0.3036927580833435,0.13836295902729034
in,0.4431333839893341,0.45514053106307983,0.3598145842552185,0.19344905018806458,0.3248254656791687,0.20430970191955566
1904,0.04960932210087776,0.10088343173265457,0.1009378507733345,0.03465966507792473,0.031005848199129105,0.1387721598148346
",",0.36674630641937256,0.45456063747406006,0.3378419280052185,0.1915702074766159,0.26472628116607666,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.4234102666378021,0.2452252358198166,0.2592630386352539,0.20544172823429108
its,0.34032323956489563,0.3518870174884796,0.37344956398010254,0.11606563627719879,0.25646665692329407,0.15103481709957123
contents,0.2611851692199707,0.14497898519039154,0.17085948586463928,0.15935184061527252,0.22815005481243134,0.3202747702598572
were,0.29649975895881653,0.590133786201477,0.3142043352127075,0.12855634093284607,0.3411653935909271,0.17890112102031708
sold,0.1698245257139206,0.3255009949207306,0.21726791560649872,0.2136867642402649,0.2649238705635071,0.14943712949752808
two,0.3743424117565155,0.27166637778282166,0.3376699388027191,0.17766568064689636,0.222796231508255,0.19645625352859497
years,0.3409145474433899,0.35855233669281006,0.3523389995098114,0.1648714691400528,0.21992817521095276,0.1914375126361847
later,0.4627884030342102,0.5684447288513184,0.4538118839263916,0.2774299681186676,0.29791539907455444,0.1417175978422165
to,0.5423505902290344,0.3636345863342285,0.3715193271636963,0.22717534005641937,0.16806039214134216,0.29463258385658264
satisfy,0.2182515412569046,0.10330002009868622,0.17337074875831604,0.17966043949127197,0.03150017186999321,0.29956161975860596
a,0.44397395849227905,0.4508470594882965,0.3497250974178314,0.19764700531959534,0.20851761102676392,0.23916715383529663
debt,0.23719337582588196,0.22891651093959808,0.23592530190944672,0.08957814425230026,0.16764645278453827,0.14442241191864014
.,0.475719153881073,0.40146201848983765,0.3119256794452667,0.2572387754917145,0.278834730386734,0.4130953550338745
