,by,how,many,kilometers,does,the,traveling,salesman,problem,seek,to,classify,a,route,between,the,15,largest,cities,in,germany,?
to,0.33534231781959534,0.44169697165489197,0.40243685245513916,0.2404150515794754,0.4391997456550598,0.535392165184021,0.2899523079395294,0.28244882822036743,0.2502208352088928,0.39650240540504456,1.0,0.3082689046859741,0.45503583550453186,0.2605549395084381,0.3639189600944519,0.535392165184021,-0.047946229577064514,0.18687231838703156,0.20735321938991547,0.45010748505592346,0.24172882735729218,0.29463258385658264
further,0.2836849093437195,0.3163740038871765,0.22751253843307495,0.17583557963371277,0.1860228180885315,0.32531118392944336,0.1489076167345047,0.04428834840655327,0.23829175531864166,0.25459328293800354,0.4001762866973877,0.2522958219051361,0.1668005734682083,0.12271689623594284,0.24998696148395538,0.32531118392944336,0.027389371767640114,0.1260840892791748,0.1531510204076767,0.233941450715065,0.16313700377941132,0.20960763096809387
highlight,0.13092470169067383,0.22682225704193115,0.196658656001091,0.04445767402648926,0.22511397302150726,0.26126983761787415,0.02622152864933014,0.11517051607370377,0.13874296844005585,0.16630807518959045,0.2521567940711975,0.17855116724967957,0.20532912015914917,0.15468370914459229,0.13228915631771088,0.26126983761787415,-0.07871929556131363,0.05951477959752083,0.2129719853401184,0.2666685879230499,0.08788976818323135,0.19680358469486237
the,0.4408751428127289,0.33890387415885925,0.4335206151008606,0.3189322352409363,0.35928019881248474,1.0,0.2753162384033203,0.18677568435668945,0.24928659200668335,0.24523614346981049,0.535392165184021,0.2376265525817871,0.5829201340675354,0.22322526574134827,0.39067012071609497,1.0,-0.011810222640633583,0.3757036626338959,0.2621172070503235,0.6662389636039734,0.3181285262107849,0.22068053483963013
difference,0.19057638943195343,0.3906289339065552,0.28380265831947327,0.13638830184936523,0.34595608711242676,0.3050459623336792,0.19464309513568878,0.15275457501411438,0.46518474817276,0.1747673749923706,0.294858455657959,0.346079021692276,0.3304765522480011,0.136226087808609,0.4893479645252228,0.3050459623336792,-0.007696333806961775,0.17556294798851013,0.1682165265083313,0.2025471031665802,0.1713898628950119,0.2842230200767517
between,0.28115302324295044,0.2747800648212433,0.29423660039901733,0.26942193508148193,0.16966454684734344,0.39067012071609497,0.3142082989215851,0.2031240314245224,0.26457515358924866,0.12562842667102814,0.3639189600944519,0.17416925728321075,0.29385313391685486,0.20162291824817657,0.9999999403953552,0.39067012071609497,-0.010854351334273815,0.213475301861763,0.21209171414375305,0.41100412607192993,0.22155004739761353,0.12887074053287506
a,0.32094135880470276,0.29312583804130554,0.2872205972671509,0.26029402017593384,0.38201746344566345,0.5829201340675354,0.26968079805374146,0.3150462508201599,0.2605542540550232,0.24095171689987183,0.45503583550453186,0.25596383213996887,1.0,0.18244044482707977,0.29385313391685486,0.5829201340675354,-0.052463941276073456,0.24042341113090515,0.18820415437221527,0.539380669593811,0.2606942057609558,0.23916715383529663
problem,0.2011435180902481,0.4059199392795563,0.2891656458377838,0.1440339982509613,0.27746546268463135,0.24928659200668335,0.1737433224916458,0.31256964802742004,1.0,0.24477243423461914,0.2502208352088928,0.3111083507537842,0.2605542540550232,0.20822855830192566,0.26457515358924866,0.24928659200668335,-0.05341360718011856,0.12685228884220123,0.17753945291042328,0.16969570517539978,0.14089995622634888,0.3762950301170349
and,0.4289871156215668,0.33647966384887695,0.5296266674995422,0.21645788848400116,0.3461615741252899,0.5171257257461548,0.24387767910957336,0.21448032557964325,0.24328261613845825,0.2554384469985962,0.48971283435821533,0.21344339847564697,0.3739250600337982,0.2168188840150833,0.40645647048950195,0.5171257257461548,0.031420208513736725,0.24602696299552917,0.292957067489624,0.4954058527946472,0.29381805658340454,0.20544172823429108
an,0.2719563841819763,0.2520636022090912,0.2465583086013794,0.13008949160575867,0.29477936029434204,0.4207492768764496,0.17678745090961456,0.24204237759113312,0.21292734146118164,0.1553484946489334,0.3138085603713989,0.16348358988761902,0.44552403688430786,0.21633395552635193,0.18003802001476288,0.4207492768764496,-0.0056430683471262455,0.18550355732440948,0.14263588190078735,0.2605783939361572,0.10986391454935074,0.19793890416622162
